method,noise_type,test_acc_mean,test_acc_std,n,bad_edge_f1_mean,runtime_mean
Feature-only,feature_similar_cross_class,0.6077333333333333,0.04993204906479928,15,0.26772862218106647,2.475059445699056
Feature-only,low_feature_similarity,0.6986000000000001,0.04785364592767648,15,0.7662067118108854,2.508683109283447
Feature-only,degree_aligned_random,0.7068666666666666,0.05734590116958998,15,0.5762883803245017,2.2800506432851155
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_similar_cross_class,0.5841333333333333,0.044615606921259966,15,0.08496584227049482,4.2090973377227785
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,low_feature_similarity,0.6889999999999998,0.05533792293071465,15,0.5550190718671817,4.646349954605102
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,degree_aligned_random,0.6955999999999999,0.059853153634541266,15,0.3811712214871659,3.6583428700764973
MCGC-cw3.0-lp0.1-ln0.5,feature_similar_cross_class,0.6066,0.03292155177734748,15,0.15676133719046395,6.736733309427897
MCGC-cw3.0-lp0.1-ln0.5,low_feature_similarity,0.672,0.05613631368629147,15,0.3362435959835339,7.599058198928833
MCGC-cw3.0-lp0.1-ln0.5,degree_aligned_random,0.6918000000000001,0.059067999554992305,15,0.3709051186942656,6.056090434392293
Random-Matched,feature_similar_cross_class,0.6109333333333334,0.049218850434515814,15,0.21276167166590662,2.6786245663960773
Random-Matched,low_feature_similarity,0.6532000000000001,0.06412955636833922,15,0.21276167166590662,2.797581752141317
Random-Matched,degree_aligned_random,0.6752666666666666,0.07152169168128213,15,0.21276167166590662,2.301405080159505
