dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,hp_ambig_scale,hp_base_alpha,hp_base_beta,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.607,0.5763062103142015,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.121180772781372,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.603,0.573507272151189,0.578,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5915467143058777,13722,10978,1.2213797569274902,0.1,0.5,0.3,,,,,,
Cora,feature_similar_cross_class,0.3,0,FAA-Hybrid-as0.5-lp0.1-ln0.5,faa_hybrid,GCN,0.609,0.5781224388096918,0.602,0.06997084548104957,0.060644346178142766,0.0649746192893401,0.19997084973036006,0.6230869889259338,0.6035707592964172,13722,10978,1.2398056983947754,0.1,0.5,0.3,0.5,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,0,FAA-Hybrid-as0.5-lp0.25-ln0.25,faa_hybrid,GCN,0.602,0.5685074209058756,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6079431176185608,13722,10978,1.1836659908294678,0.25,0.25,0.3,0.5,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,0,FAA-Hybrid-as1.0-lp0.1-ln0.5,faa_hybrid,GCN,0.61,0.5826159323224472,0.592,0.047376093294460644,0.0410612760581175,0.04399323181049069,0.19997084973036006,0.6230869889259338,0.5999271273612976,13722,10978,1.186145544052124,0.1,0.5,0.3,1.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,0,FAA-Hybrid-as1.0-lp0.25-ln0.25,faa_hybrid,GCN,0.603,0.5765605708623484,0.606,0.09329446064139942,0.08085912823752368,0.08663282571912014,0.19997084973036006,0.6230869889259338,0.6073966026306152,13722,10978,1.1843631267547607,0.25,0.25,0.3,1.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,0,FAA-Hybrid-as2.0-lp0.1-ln0.5,faa_hybrid,GCN,0.596,0.5671549713922274,0.596,0.021137026239067054,0.01831964624131396,0.019627749576988155,0.19997084973036006,0.6230869889259338,0.5955547094345093,13722,10978,1.4150211811065674,0.1,0.5,0.3,2.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,0,FAA-Hybrid-as2.0-lp0.25-ln0.25,faa_hybrid,GCN,0.617,0.5883183294921588,0.61,0.10495626822157435,0.09096651926721415,0.09746192893401015,0.19997084973036006,0.6230869889259338,0.6114045977592468,13722,10978,1.2489044666290283,0.25,0.25,0.3,2.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,0,FAA-Hybrid-as3.0-lp0.1-ln0.5,faa_hybrid,GCN,0.593,0.5614319664353499,0.592,0.0036443148688046646,0.003158559696778269,0.0033840947546531306,0.19997084973036006,0.6230869889259338,0.59245765209198,13722,10978,1.1815083026885986,0.1,0.5,0.3,3.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,0,FAA-Hybrid-as3.0-lp0.25-ln0.25,faa_hybrid,GCN,0.614,0.5893291586551468,0.606,0.13994169096209913,0.12128869235628553,0.1299492385786802,0.19997084973036006,0.6230869889259338,0.6179631948471069,13722,10978,1.1787960529327393,0.25,0.25,0.3,3.0,0.0,0.0,,,
Cora,feature_similar_cross_class,0.3,0,MCGC-cw0.5-lp0.1-ln0.5,mcgc,GCN,0.591,0.5772613804271222,0.58,0.016034985422740525,0.013897662665824383,0.014890016920473773,0.19997084973036006,0.6230869889259338,0.5971943736076355,13722,10978,1.9942309856414795,0.1,0.5,0.3,,,,0.5,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,0,MCGC-cw0.5-lp0.25-ln0.25,mcgc,GCN,0.605,0.5991141626825082,0.602,0.10860058309037901,0.09412507896399241,0.10084602368866329,0.19997084973036006,0.6230869889259338,0.6143195629119873,13722,10978,2.3362512588500977,0.25,0.25,0.3,,,,0.5,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,0,MCGC-cw1.0-lp0.1-ln0.5,mcgc,GCN,0.602,0.5775973793080486,0.572,0.033527696793002916,0.029058749210360075,0.0311336717428088,0.19997084973036006,0.6230869889259338,0.5997449159622192,13722,10978,1.9687683582305908,0.1,0.5,0.3,,,,1.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,0,MCGC-cw1.0-lp0.25-ln0.25,mcgc,GCN,0.608,0.5958070488049068,0.598,0.10568513119533528,0.0915982312065698,0.09813874788494079,0.19997084973036006,0.6230869889259338,0.6132264137268066,13722,10978,2.472890615463257,0.25,0.25,0.3,,,,1.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,0,MCGC-cw2.0-lp0.1-ln0.5,mcgc,GCN,0.619,0.5990061014218195,0.61,0.09620991253644315,0.08338597599494631,0.08934010152284264,0.19997084973036006,0.6230869889259338,0.6126798987388611,13722,10978,1.9889614582061768,0.1,0.5,0.3,,,,2.0,"[0.3, 0.5, 0.7, 0.9]",200.0
