method,mean,std,count
FAA-Hybrid-as2.0-lp0.25-ln0.25,0.61775,0.044124050337449976,12
MCGC-cw2.0-lp0.25-ln0.25,0.6164999999999999,0.043489810718875734,12
FAA-Hybrid-as1.0-lp0.25-ln0.25,0.6154166666666666,0.04519746238518937,12
FAA-Hybrid-as3.0-lp0.25-ln0.25,0.615,0.04501312939778591,12
Feature-only,0.6135833333333334,0.046815806059168706,12
MCGC-cw1.0-lp0.25-ln0.25,0.6135833333333333,0.0427284413121951,12
FAA-Hybrid-as0.5-lp0.25-ln0.25,0.6124999999999999,0.04687992398380435,12
MCGC-cw0.5-lp0.25-ln0.25,0.6101666666666666,0.0438610063585855,12
FAA-Hybrid-as1.0-lp0.1-ln0.5,0.6101666666666666,0.04583137736873238,12
FAA-Hybrid-as0.5-lp0.1-ln0.5,0.6100833333333333,0.045751221212381225,12
MCGC-cw3.0-lp0.25-ln0.25,0.6094166666666666,0.04338088882389934,12
MCGC-cw3.0-lp0.1-ln0.5,0.60875,0.04775148736379365,12
MCGC-cw2.0-lp0.1-ln0.5,0.6041666666666666,0.043434032181172796,12
FAA-Hybrid-as3.0-lp0.1-ln0.5,0.6009166666666667,0.04980226050607694,12
Random-Matched,0.5998333333333333,0.0487457845885315,12
FAA-Hybrid-as2.0-lp0.1-ln0.5,0.5996666666666667,0.049933288829530714,12
MCGC-cw0.5-lp0.1-ln0.5,0.5958333333333333,0.041704225496254285,12
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,0.5951666666666667,0.04673490681654897,12
MCGC-cw1.0-lp0.1-ln0.5,0.5950000000000001,0.035914038784550226,12
