dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.61,0.5801098131124263,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.2074756622314453,,,,,,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.607,0.5739480909460187,0.584,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.591728925704956,13722,10978,1.5340220928192139,0.1,0.5,0.3,,,
Cora,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.617,0.59918459048917,0.606,0.14358600583090378,0.1244472520530638,0.13333333333333333,0.19997084973036006,0.6230869889259338,0.6225177645683289,13722,10978,2.1435863971710205,0.1,0.5,0.3,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.653,0.6315980738675152,0.638,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,0.7715353965759277,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.597,0.5815039390110296,0.6,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7858474254608154,,,,,,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.613,0.5921949909560572,0.578,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261,0.19997084973036006,0.6230869889259338,0.5911823511123657,13722,10978,1.3521912097930908,0.1,0.5,0.3,,,
Cora,feature_similar_cross_class,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.62,0.6178195940809532,0.608,0.1552478134110787,0.13455464308275428,0.1441624365482234,0.19997084973036006,0.6230869889259338,0.6257970333099365,13722,10978,2.2920169830322266,0.1,0.5,0.3,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,1,Random-Matched,random_matched,GCN,0.665,0.656838535523365,0.684,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6230869889259338,0.6257970333099365,13722,10978,0.9624366760253906,,,,,,
Cora,feature_similar_cross_class,0.3,2,Feature-only,feature_only,GCN,0.586,0.5756273644917492,0.568,0.08965014577259475,0.07770056854074542,0.083248730964467,0.19997084973036006,0.6230869889259338,0.6072143912315369,13722,10978,0.8253886699676514,,,,,,
Cora,feature_similar_cross_class,0.3,2,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.587,0.5830842594166238,0.564,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5900892615318298,13722,10978,2.417924165725708,0.1,0.5,0.3,,,
Cora,feature_similar_cross_class,0.3,2,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.619,0.6165448745257878,0.588,0.15160349854227406,0.131396083385976,0.14077834179357024,0.19997084973036006,0.6230869889259338,0.6236108541488647,13722,10978,7.9714741706848145,0.1,0.5,0.3,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,2,Random-Matched,random_matched,GCN,0.634,0.6244265554202667,0.628,0.22813411078717202,0.19772583701831964,0.21184433164128597,0.19997084973036006,0.6230869889259338,0.6236108541488647,13722,10978,0.8695142269134521,,,,,,
Cora,feature_similar_cross_class,0.3,3,Feature-only,feature_only,GCN,0.59,0.5757965923352105,0.566,0.08454810495626822,0.07327858496525584,0.07851099830795262,0.19997084973036006,0.6230869889259338,0.6063035130500793,13722,10978,2.5314671993255615,,,,,,
Cora,feature_similar_cross_class,0.3,3,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.601,0.5940189512736814,0.574,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5922754406929016,13722,10978,4.972275972366333,0.1,0.5,0.3,,,
Cora,feature_similar_cross_class,0.3,3,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.631,0.6269716876395824,0.602,0.16472303206997085,0.14276689829437778,0.1529610829103215,0.19997084973036006,0.6230869889259338,0.6254326701164246,13722,10978,4.642319440841675,0.1,0.5,0.3,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,3,Random-Matched,random_matched,GCN,0.672,0.651996638927779,0.642,0.2259475218658892,0.19583070120025267,0.2098138747884941,0.19997084973036006,0.6230869889259338,0.6237930059432983,13722,10978,2.7165324687957764,,,,,,
Cora,feature_similar_cross_class,0.3,4,Feature-only,feature_only,GCN,0.625,0.6140027954420869,0.578,0.08454810495626822,0.07327858496525584,0.07851099830795262,0.19997084973036006,0.6230869889259338,0.6063035130500793,13722,10978,0.806365966796875,,,,,,
Cora,feature_similar_cross_class,0.3,4,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.607,0.5921685368632313,0.574,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5931863784790039,13722,10978,1.3432071208953857,0.1,0.5,0.3,,,
Cora,feature_similar_cross_class,0.3,4,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.629,0.6163285805310165,0.59,0.14212827988338192,0.1231838281743525,0.1319796954314721,0.19997084973036006,0.6230869889259338,0.6203315854072571,13722,10978,4.886300563812256,0.1,0.5,0.3,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,feature_similar_cross_class,0.3,4,Random-Matched,random_matched,GCN,0.645,0.6324373052137863,0.642,0.22157434402332363,0.19204042956411876,0.20575296108291033,0.19997084973036006,0.6230869889259338,0.6232464909553528,13722,10978,2.726912260055542,,,,,,
Cora,low_feature_similarity,0.3,0,Feature-only,feature_only,GCN,0.714,0.7048652733178803,0.674,0.5830903790087464,0.505369551484523,0.5414551607445008,0.19997084973036006,0.6563183069229126,0.7176170349121094,13722,10978,0.7901556491851807,,,,,,
Cora,low_feature_similarity,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.747,0.7355172294013437,0.712,0.6479591836734694,0.5615919140871762,0.6016920473773265,0.19997084973036006,0.6563183069229126,0.7363818287849426,13722,10978,1.3641934394836426,0.1,0.5,0.3,,,
Cora,low_feature_similarity,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.735,0.7232173193861369,0.722,0.5728862973760933,0.4965255843335439,0.531979695431472,0.19997084973036006,0.6563183069229126,0.7236290574073792,13722,10978,7.624701261520386,0.1,0.5,0.3,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,low_feature_similarity,0.3,0,Random-Matched,random_matched,GCN,0.704,0.6881038120464277,0.68,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6563183069229126,0.6609582901000977,13722,10978,2.866279363632202,,,,,,
Cora,low_feature_similarity,0.3,1,Feature-only,feature_only,GCN,0.713,0.7073108207082439,0.676,0.5830903790087464,0.505369551484523,0.5414551607445008,0.19997084973036006,0.6542778015136719,0.7187101244926453,13722,10978,0.8099997043609619,,,,,,
Cora,low_feature_similarity,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.732,0.7297619893594656,0.692,0.6603498542274052,0.5723310170562224,0.6131979695431471,0.19997084973036006,0.6542778015136719,0.7325559854507446,13722,10978,2.413545846939087,0.1,0.5,0.3,,,
Cora,low_feature_similarity,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.706,0.7006109208697033,0.678,0.5626822157434402,0.48768161718256475,0.5225042301184433,0.19997084973036006,0.6542778015136719,0.7196210622787476,13722,10978,6.423759460449219,0.1,0.5,0.3,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0
Cora,low_feature_similarity,0.3,1,Random-Matched,random_matched,GCN,0.675,0.6695966481565641,0.686,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6542778015136719,0.6584076881408691,13722,10978,1.2013709545135498,,,,,,
