method,method_type,test_acc_mean,test_acc_std,test_acc_min,test_acc_max,n,bad_edge_f1_mean,runtime_mean,acc_feature_similar_cross_class,acc_cross_class_oracle
FAA-Hybrid-as2.0-lp0.25-ln0.25,faa_hybrid,0.61775,0.044124050337449976,0.555,0.686,12,0.38754656229275514,1.4460307558377583,0.5871666666666667,0.6483333333333333
MCGC-cw2.0-lp0.25-ln0.25,mcgc,0.6164999999999999,0.04348981071887571,0.561,0.695,12,0.35258595042859,2.245469391345978,0.5910000000000001,0.642
FAA-Hybrid-as1.0-lp0.25-ln0.25,faa_hybrid,0.6154166666666666,0.04519746238518936,0.542,0.685,12,0.38312058781601915,1.4397647778193157,0.5828333333333333,0.648
FAA-Hybrid-as3.0-lp0.25-ln0.25,faa_hybrid,0.6150000000000001,0.04501312939778591,0.559,0.689,12,0.3958262388646725,1.4496992429097493,0.5841666666666666,0.6458333333333334
Feature-only,feature_only,0.6135833333333334,0.046815806059168706,0.553,0.683,12,0.37661986309557016,0.9452682534853617,0.5798333333333333,0.6473333333333333
MCGC-cw1.0-lp0.25-ln0.25,mcgc,0.6135833333333333,0.042728441312195074,0.563,0.696,12,0.35163022256930887,2.4581159750620523,0.5874999999999999,0.6396666666666667
FAA-Hybrid-as0.5-lp0.25-ln0.25,faa_hybrid,0.6125,0.04687992398380435,0.551,0.684,12,0.3809169860837736,1.4643301566441853,0.5803333333333334,0.6446666666666667
FAA-Hybrid-as1.0-lp0.1-ln0.5,faa_hybrid,0.6101666666666666,0.04583137736873236,0.541,0.683,12,0.33375092194889144,1.452496588230133,0.5768333333333333,0.6435000000000001
MCGC-cw0.5-lp0.25-ln0.25,mcgc,0.6101666666666666,0.04386100635858553,0.548,0.675,12,0.3529431309162998,2.232595463593801,0.5834999999999999,0.6368333333333335
FAA-Hybrid-as0.5-lp0.1-ln0.5,faa_hybrid,0.6100833333333333,0.04575122121238123,0.544,0.678,12,0.3563990115114118,1.4360784888267517,0.5763333333333333,0.6438333333333334
MCGC-cw3.0-lp0.25-ln0.25,mcgc,0.6094166666666666,0.043380888823899365,0.551,0.681,12,0.3471521629607199,2.291719694932302,0.5816666666666667,0.6371666666666667
MCGC-cw3.0-lp0.1-ln0.5,mcgc,0.6087499999999999,0.04775148736379367,0.547,0.695,12,0.2553711657772571,2.243278443813324,0.5946666666666667,0.6228333333333333
MCGC-cw2.0-lp0.1-ln0.5,mcgc,0.6041666666666669,0.043434032181172776,0.551,0.674,12,0.22626467481434845,2.419257958730062,0.5881666666666666,0.6201666666666666
FAA-Hybrid-as3.0-lp0.1-ln0.5,faa_hybrid,0.6009166666666667,0.04980226050607693,0.548,0.689,12,0.26272203141311185,1.4785028298695881,0.5658333333333333,0.636
Random-Matched,random_matched,0.5998333333333333,0.048745784588531495,0.544,0.665,12,0.21468499673720845,0.9369398951530457,0.6003333333333334,0.5993333333333334
FAA-Hybrid-as2.0-lp0.1-ln0.5,faa_hybrid,0.5996666666666667,0.04993328882953069,0.541,0.686,12,0.2950991499033558,1.455358366171519,0.5644999999999999,0.6348333333333334
MCGC-cw0.5-lp0.1-ln0.5,mcgc,0.5958333333333333,0.041704225496254264,0.552,0.674,12,0.21054665260611594,2.198886811733246,0.5795,0.6121666666666666
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,0.5951666666666665,0.04673490681654897,0.531,0.676,12,0.2149181955744682,1.4564677079518635,0.571,0.6193333333333334
MCGC-cw1.0-lp0.1-ln0.5,mcgc,0.5950000000000001,0.035914038784550274,0.554,0.653,12,0.18938415142185985,2.2384540836016336,0.5815,0.6084999999999999
