dataset,noise_type,seed,pair,spearman_corr,spearman_p
Cora,feature_similar_cross_class,0,feature_vs_raw_grad,0.03290696875985435,0.0001155187404244176
Cora,feature_similar_cross_class,0,feature_vs_pos_grad,0.04582207045508681,7.874887503364086e-08
Cora,feature_similar_cross_class,0,feature_vs_neg_grad,0.010094022704827685,0.2370685525994637
Cora,feature_similar_cross_class,0,feature_vs_hybrid,0.933941990214328,0.0
Cora,feature_similar_cross_class,1,feature_vs_raw_grad,0.031303351713946104,0.0002449635067029659
Cora,feature_similar_cross_class,1,feature_vs_pos_grad,0.044253062513762945,2.149585264670314e-07
Cora,feature_similar_cross_class,1,feature_vs_neg_grad,0.0075602008503548295,0.37586490799499556
Cora,feature_similar_cross_class,1,feature_vs_hybrid,0.935495307903966,0.0
Cora,feature_similar_cross_class,2,feature_vs_raw_grad,0.04251478301565647,6.29237835051089e-07
Cora,feature_similar_cross_class,2,feature_vs_pos_grad,0.054060090395031894,2.3472824671308657e-10
Cora,feature_similar_cross_class,2,feature_vs_neg_grad,0.00448272605264323,0.5995376249538291
Cora,feature_similar_cross_class,2,feature_vs_hybrid,0.9343199611504504,0.0
Cora,feature_similar_cross_class,3,feature_vs_raw_grad,0.05342756320739935,3.7895674471243095e-10
Cora,feature_similar_cross_class,3,feature_vs_pos_grad,0.06491525513694277,2.7078613316166136e-14
Cora,feature_similar_cross_class,3,feature_vs_neg_grad,-0.005288549033944601,0.5356176430111659
Cora,feature_similar_cross_class,3,feature_vs_hybrid,0.9344691643350281,0.0
Cora,feature_similar_cross_class,4,feature_vs_raw_grad,0.02835029035709161,0.0008958482827895338
Cora,feature_similar_cross_class,4,feature_vs_pos_grad,0.034135475560324126,6.348639167468698e-05
Cora,feature_similar_cross_class,4,feature_vs_neg_grad,-0.003228086163391942,0.7053506723872917
Cora,feature_similar_cross_class,4,feature_vs_hybrid,0.933853857697379,0.0
Cora,feature_similar_cross_class,5,feature_vs_raw_grad,0.06782499476242419,1.8128656440140586e-15
Cora,feature_similar_cross_class,5,feature_vs_pos_grad,0.089452813414421,8.759309869095228e-26
Cora,feature_similar_cross_class,5,feature_vs_neg_grad,0.009240483919612887,0.2790910506801735
Cora,feature_similar_cross_class,5,feature_vs_hybrid,0.9345648041034497,0.0
Cora,feature_similar_cross_class,6,feature_vs_raw_grad,0.057504088260615184,1.5724883124007243e-11
Cora,feature_similar_cross_class,6,feature_vs_pos_grad,0.0742719819250158,2.9979877008736906e-18
Cora,feature_similar_cross_class,6,feature_vs_neg_grad,0.0025450784369590736,0.7656221053253748
Cora,feature_similar_cross_class,6,feature_vs_hybrid,0.9353666900074089,0.0
Cora,feature_similar_cross_class,7,feature_vs_raw_grad,0.04998674495040018,4.667200448739805e-09
Cora,feature_similar_cross_class,7,feature_vs_pos_grad,0.06382191928546224,7.258527273282879e-14
Cora,feature_similar_cross_class,7,feature_vs_neg_grad,0.005566042606107496,0.5144288351446796
Cora,feature_similar_cross_class,7,feature_vs_hybrid,0.9351323108722919,0.0
Cora,feature_similar_cross_class,8,feature_vs_raw_grad,0.06047923572917773,1.3368637772731254e-12
Cora,feature_similar_cross_class,8,feature_vs_pos_grad,0.07774124260976174,7.536297842274858e-20
Cora,feature_similar_cross_class,8,feature_vs_neg_grad,0.007676597395192895,0.36855936465939876
Cora,feature_similar_cross_class,8,feature_vs_hybrid,0.9343159416111826,0.0
Cora,feature_similar_cross_class,9,feature_vs_raw_grad,0.06370500323271225,8.057874301154234e-14
Cora,feature_similar_cross_class,9,feature_vs_pos_grad,0.07219971470639856,2.5001929318372677e-17
Cora,feature_similar_cross_class,9,feature_vs_neg_grad,-0.01356100655727473,0.11217843062310036
Cora,feature_similar_cross_class,9,feature_vs_hybrid,0.9346470570922583,0.0
Cora,cross_class_oracle,0,feature_vs_raw_grad,0.0450988958883966,1.2561221967202954e-07
