dataset,noise_type,seed,bin,score,auc,n_edges,n_bad
Cora,feature_similar_cross_class,0,bin_0,feature_risk,0.7425729578082879,3428,156
Cora,feature_similar_cross_class,0,bin_0,raw_grad,0.47650617516143184,3428,156
Cora,feature_similar_cross_class,0,bin_0,hybrid,0.2120713434894364,3428,156
Cora,feature_similar_cross_class,0,bin_0,shuffled_hybrid,0.23045577079806906,3428,156
Cora,feature_similar_cross_class,0,bin_1,feature_risk,0.6135446427177493,3380,792
Cora,feature_similar_cross_class,0,bin_1,raw_grad,0.5033609862145411,3380,792
Cora,feature_similar_cross_class,0,bin_1,hybrid,0.17406386117746242,3380,792
Cora,feature_similar_cross_class,0,bin_1,shuffled_hybrid,0.1770008820820258,3380,792
Cora,feature_similar_cross_class,0,bin_2,feature_risk,0.5733393257202781,3444,1554
Cora,feature_similar_cross_class,0,bin_2,raw_grad,0.5142482618673095,3444,1554
Cora,feature_similar_cross_class,0,bin_2,hybrid,0.17397942159846924,3444,1554
Cora,feature_similar_cross_class,0,bin_2,shuffled_hybrid,0.16351385399004448,3444,1554
Cora,feature_similar_cross_class,0,bin_3,feature_risk,0.08414842549098747,3470,664
Cora,feature_similar_cross_class,0,bin_3,raw_grad,0.5239053147729907,3470,664
Cora,feature_similar_cross_class,0,bin_3,hybrid,0.02350063117759706,3470,664
Cora,feature_similar_cross_class,0,bin_3,shuffled_hybrid,0.02192054032237288,3470,664
Cora,feature_similar_cross_class,1,bin_0,feature_risk,0.7396097492251339,3406,130
Cora,feature_similar_cross_class,1,bin_0,raw_grad,0.5519054663285434,3406,130
Cora,feature_similar_cross_class,1,bin_0,hybrid,0.2534234995773457,3406,130
Cora,feature_similar_cross_class,1,bin_0,shuffled_hybrid,0.24622898469052318,3406,130
Cora,feature_similar_cross_class,1,bin_1,feature_risk,0.5945794140842904,3446,780
Cora,feature_similar_cross_class,1,bin_1,raw_grad,0.48552979591051604,3446,780
Cora,feature_similar_cross_class,1,bin_1,hybrid,0.19981437667109087,3446,780
Cora,feature_similar_cross_class,1,bin_1,shuffled_hybrid,0.19767730394136995,3446,780
Cora,feature_similar_cross_class,1,bin_2,feature_risk,0.554611122413228,3374,1566
Cora,feature_similar_cross_class,1,bin_2,raw_grad,0.5270560316572294,3374,1566
Cora,feature_similar_cross_class,1,bin_2,hybrid,0.18535612970309334,3374,1566
Cora,feature_similar_cross_class,1,bin_2,shuffled_hybrid,0.18327300828445167,3374,1566
Cora,feature_similar_cross_class,1,bin_3,feature_risk,0.08073693018066876,3496,690
Cora,feature_similar_cross_class,1,bin_3,raw_grad,0.5080107843441074,3496,690
Cora,feature_similar_cross_class,1,bin_3,hybrid,0.027420537771028958,3496,690
Cora,feature_similar_cross_class,1,bin_3,shuffled_hybrid,0.03319801254041546,3496,690
Cora,feature_similar_cross_class,2,bin_0,feature_risk,0.7585026017177606,3428,156
Cora,feature_similar_cross_class,2,bin_0,raw_grad,0.5146552332142184,3428,156
Cora,feature_similar_cross_class,2,bin_0,hybrid,0.2075105009090339,3428,156
Cora,feature_similar_cross_class,2,bin_0,shuffled_hybrid,0.21217321798006394,3428,156
Cora,feature_similar_cross_class,2,bin_1,feature_risk,0.6058486102897694,3430,760
Cora,feature_similar_cross_class,2,bin_1,raw_grad,0.521921446875616,3430,760
Cora,feature_similar_cross_class,2,bin_1,hybrid,0.17220776660753007,3430,760
Cora,feature_similar_cross_class,2,bin_1,shuffled_hybrid,0.1520530258229844,3430,760
Cora,feature_similar_cross_class,2,bin_2,feature_risk,0.5604679374600857,3360,1552
Cora,feature_similar_cross_class,2,bin_2,raw_grad,0.4972731801956938,3360,1552
Cora,feature_similar_cross_class,2,bin_2,hybrid,0.1372251619377794,3360,1552
