dataset,noise_type,seed,score,auc
Cora,feature_similar_cross_class,0,feature_risk,0.6080494619197867
Cora,feature_similar_cross_class,0,raw_grad,0.5146491072371111
Cora,feature_similar_cross_class,0,pos_grad,0.5081289824602392
Cora,feature_similar_cross_class,0,neg_grad,0.48896528325183
Cora,feature_similar_cross_class,0,hybrid,0.4718846296274575
Cora,feature_similar_cross_class,0,shuffled_hybrid,0.4671491838372706
Cora,feature_similar_cross_class,1,feature_risk,0.6129795199898888
Cora,feature_similar_cross_class,1,raw_grad,0.5155455385553737
Cora,feature_similar_cross_class,1,pos_grad,0.5094954126079554
Cora,feature_similar_cross_class,1,neg_grad,0.4887104381122178
Cora,feature_similar_cross_class,1,hybrid,0.4864213051853281
Cora,feature_similar_cross_class,1,shuffled_hybrid,0.48233007870426997
Cora,feature_similar_cross_class,2,feature_risk,0.6125906245713681
Cora,feature_similar_cross_class,2,raw_grad,0.5066886451274998
Cora,feature_similar_cross_class,2,pos_grad,0.49733817438361405
Cora,feature_similar_cross_class,2,neg_grad,0.48684108004309706
Cora,feature_similar_cross_class,2,hybrid,0.46840494770004437
Cora,feature_similar_cross_class,2,shuffled_hybrid,0.4646213785778558
Cora,feature_similar_cross_class,3,feature_risk,0.611504398405089
Cora,feature_similar_cross_class,3,raw_grad,0.5119410522276643
Cora,feature_similar_cross_class,3,pos_grad,0.5059971341965375
Cora,feature_similar_cross_class,3,neg_grad,0.49090263892336555
Cora,feature_similar_cross_class,3,hybrid,0.4772636364441536
Cora,feature_similar_cross_class,3,shuffled_hybrid,0.4740138148387435
Cora,feature_similar_cross_class,4,feature_risk,0.6130533374091001
Cora,feature_similar_cross_class,4,raw_grad,0.5082519915442999
Cora,feature_similar_cross_class,4,pos_grad,0.4961201271227519
Cora,feature_similar_cross_class,4,neg_grad,0.48118801820307044
Cora,feature_similar_cross_class,4,hybrid,0.47597047015980953
Cora,feature_similar_cross_class,4,shuffled_hybrid,0.47031510433061396
Cora,feature_similar_cross_class,5,feature_risk,0.6113908147312639
Cora,feature_similar_cross_class,5,raw_grad,0.5185315833229005
Cora,feature_similar_cross_class,5,pos_grad,0.5084769297076243
Cora,feature_similar_cross_class,5,neg_grad,0.4801236799338941
Cora,feature_similar_cross_class,5,hybrid,0.48332839421889023
Cora,feature_similar_cross_class,5,shuffled_hybrid,0.47532104443359807
Cora,feature_similar_cross_class,6,feature_risk,0.6081828539160754
Cora,feature_similar_cross_class,6,raw_grad,0.5243295421440911
Cora,feature_similar_cross_class,6,pos_grad,0.5155286176998553
Cora,feature_similar_cross_class,6,neg_grad,0.4820393422009189
Cora,feature_similar_cross_class,6,hybrid,0.4730365643679517
Cora,feature_similar_cross_class,6,shuffled_hybrid,0.46605021092572013
Cora,feature_similar_cross_class,7,feature_risk,0.610501564677943
Cora,feature_similar_cross_class,7,raw_grad,0.5125596733194703
Cora,feature_similar_cross_class,7,pos_grad,0.5050707510190814
Cora,feature_similar_cross_class,7,neg_grad,0.4865757023815708
Cora,feature_similar_cross_class,7,hybrid,0.4756199047429143
Cora,feature_similar_cross_class,7,shuffled_hybrid,0.4708616584365381
Cora,feature_similar_cross_class,8,feature_risk,0.6142827998890255
Cora,feature_similar_cross_class,8,raw_grad,0.5168581241769971
Cora,feature_similar_cross_class,8,pos_grad,0.5110855241976312
Cora,feature_similar_cross_class,8,neg_grad,0.4893871975281129
Cora,feature_similar_cross_class,8,hybrid,0.4780513613643637
Cora,feature_similar_cross_class,8,shuffled_hybrid,0.47270449070828097
Cora,feature_similar_cross_class,9,feature_risk,0.614053358474144
Cora,feature_similar_cross_class,9,raw_grad,0.5126049751324764
Cora,feature_similar_cross_class,9,pos_grad,0.5061799123502676
Cora,feature_similar_cross_class,9,neg_grad,0.4891956672077351
Cora,feature_similar_cross_class,9,hybrid,0.47560332798967425
Cora,feature_similar_cross_class,9,shuffled_hybrid,0.47005155190726017
Cora,cross_class_oracle,0,feature_risk,0.8006762417663804
Cora,cross_class_oracle,0,raw_grad,0.532944860811526
Cora,cross_class_oracle,0,pos_grad,0.5243569955215239
Cora,cross_class_oracle,0,neg_grad,0.4812541905673128
Cora,cross_class_oracle,0,hybrid,0.6829739628877015
Cora,cross_class_oracle,0,shuffled_hybrid,0.6744387901292077
Cora,cross_class_oracle,1,feature_risk,0.8090187471708807
Cora,cross_class_oracle,1,raw_grad,0.5161156262649499
Cora,cross_class_oracle,1,pos_grad,0.5014721593130116
Cora,cross_class_oracle,1,neg_grad,0.4781083476938684
Cora,cross_class_oracle,1,hybrid,0.6917400133140652
Cora,cross_class_oracle,1,shuffled_hybrid,0.680937176618663
Cora,cross_class_oracle,2,feature_risk,0.8105022169761752
Cora,cross_class_oracle,2,raw_grad,0.5177020275344061
Cora,cross_class_oracle,2,pos_grad,0.5110927653064474
Cora,cross_class_oracle,2,neg_grad,0.4888312628948589
Cora,cross_class_oracle,2,hybrid,0.6777343324547455
Cora,cross_class_oracle,2,shuffled_hybrid,0.6714986007305261
Cora,cross_class_oracle,3,feature_risk,0.8123544148142794
Cora,cross_class_oracle,3,raw_grad,0.5095586675833153
Cora,cross_class_oracle,3,pos_grad,0.5007540178578909
Cora,cross_class_oracle,3,neg_grad,0.4860628403769972
Cora,cross_class_oracle,3,hybrid,0.7019374693748972
Cora,cross_class_oracle,3,shuffled_hybrid,0.6955571548498553
Cora,cross_class_oracle,4,feature_risk,0.8041884488395914
Cora,cross_class_oracle,4,raw_grad,0.5160167342623178
Cora,cross_class_oracle,4,pos_grad,0.5066046991325271
Cora,cross_class_oracle,4,neg_grad,0.483183033447699
Cora,cross_class_oracle,4,hybrid,0.6796378464152442
Cora,cross_class_oracle,4,shuffled_hybrid,0.6727842266866817
Cora,cross_class_oracle,5,feature_risk,0.8001287600804015
Cora,cross_class_oracle,5,raw_grad,0.5215907273831447
Cora,cross_class_oracle,5,pos_grad,0.5141970914919485
Cora,cross_class_oracle,5,neg_grad,0.4860200819286579
Cora,cross_class_oracle,5,hybrid,0.6716199042641633
Cora,cross_class_oracle,5,shuffled_hybrid,0.665663284370671
Cora,cross_class_oracle,6,feature_risk,0.8108150508301901
Cora,cross_class_oracle,6,raw_grad,0.5231716230161457
Cora,cross_class_oracle,6,pos_grad,0.513841065321504
Cora,cross_class_oracle,6,neg_grad,0.483735826277541
Cora,cross_class_oracle,6,hybrid,0.6922975786928997
Cora,cross_class_oracle,6,shuffled_hybrid,0.6852979399105263
Cora,cross_class_oracle,7,feature_risk,0.8182245603091007
Cora,cross_class_oracle,7,raw_grad,0.5126180809409946
Cora,cross_class_oracle,7,pos_grad,0.505686649214597
Cora,cross_class_oracle,7,neg_grad,0.4899600081339795
Cora,cross_class_oracle,7,hybrid,0.6977266149886884
Cora,cross_class_oracle,7,shuffled_hybrid,0.693008404234361
Cora,cross_class_oracle,8,feature_risk,0.8064424683731107
Cora,cross_class_oracle,8,raw_grad,0.5152707055616742
Cora,cross_class_oracle,8,pos_grad,0.5058932302694147
Cora,cross_class_oracle,8,neg_grad,0.48538756209699635
Cora,cross_class_oracle,8,hybrid,0.6781594034954088
Cora,cross_class_oracle,8,shuffled_hybrid,0.6728748303126939
Cora,cross_class_oracle,9,feature_risk,0.8064884284687366
Cora,cross_class_oracle,9,raw_grad,0.5220744304598618
Cora,cross_class_oracle,9,pos_grad,0.516019412275702
Cora,cross_class_oracle,9,neg_grad,0.4880117608772825
Cora,cross_class_oracle,9,hybrid,0.6858294732039477
Cora,cross_class_oracle,9,shuffled_hybrid,0.6796271343617064
Cora,low_feature_similarity,0,feature_risk,0.9458128078817734
Cora,low_feature_similarity,0,raw_grad,0.4961306596446661
