dataset,noise_type,seed,score,residual_auc,residual_direction,residual_spearman,residual_spearman_p
Cora,feature_similar_cross_class,0,raw_grad,0.5122055621530103,negative,-0.01781327202614517,0.036920788458216704
Cora,feature_similar_cross_class,0,pos_grad,0.533613616109205,negative,-0.049058581374705194,8.939833214597252e-09
Cora,feature_similar_cross_class,0,hybrid,0.8913325603100584,negative,-0.5711160206903457,0.0
Cora,feature_similar_cross_class,1,raw_grad,0.5088792301540357,negative,-0.012958650747410988,0.12903608492087867
Cora,feature_similar_cross_class,1,pos_grad,0.5336281282487744,negative,-0.04907987992168781,8.808634728739663e-09
Cora,feature_similar_cross_class,1,hybrid,0.8670497711929301,negative,-0.5356773904913701,0.0
Cora,feature_similar_cross_class,2,raw_grad,0.5336424758176888,negative,-0.04909961071866001,8.688764862669033e-09
Cora,feature_similar_cross_class,2,pos_grad,0.55829788281947,negative,-0.08508581766797023,1.7867645495653022e-23
Cora,feature_similar_cross_class,2,hybrid,0.9064117804342605,negative,-0.5931228380872877,0.0
Cora,feature_similar_cross_class,3,raw_grad,0.5131653382124444,negative,-0.01921388394148239,0.024402316842576537
Cora,feature_similar_cross_class,3,pos_grad,0.5372453014778804,negative,-0.05435806158632844,1.869622799305103e-10
Cora,feature_similar_cross_class,3,hybrid,0.8837470499962058,negative,-0.5600456245445297,0.0
Cora,feature_similar_cross_class,4,raw_grad,0.5191604377172483,negative,-0.027963406750249727,0.0010528783946233426
Cora,feature_similar_cross_class,4,pos_grad,0.5482929744248823,negative,-0.07048264616186341,1.3860732656111635e-16
Cora,feature_similar_cross_class,4,hybrid,0.8890061895322531,negative,-0.5677208837859481,0.0
Cora,feature_similar_cross_class,5,raw_grad,0.5097931957275303,negative,-0.01429244084197477,0.09409857906210796
Cora,feature_similar_cross_class,5,pos_grad,0.5362749180916889,negative,-0.05294160821747382,5.455220395746974e-10
Cora,feature_similar_cross_class,5,hybrid,0.8695027716092042,negative,-0.539257332408684,0.0
Cora,feature_similar_cross_class,6,raw_grad,0.5050770944697798,negative,-0.007409674609146249,0.38544409896754145
Cora,feature_similar_cross_class,6,pos_grad,0.530210010707266,negative,-0.0440905629305797,2.3806960573515158e-07
Cora,feature_similar_cross_class,6,hybrid,0.8897309586964759,negative,-0.5687786216831437,0.0
Cora,feature_similar_cross_class,7,raw_grad,0.5151284267500205,negative,-0.022078903919659096,0.00969777745566424
Cora,feature_similar_cross_class,7,pos_grad,0.5376844507900229,negative,-0.054999412990205304,1.1410398348729607e-10
Cora,feature_similar_cross_class,7,hybrid,0.8885077499014372,negative,-0.5669934542667516,0.0
Cora,feature_similar_cross_class,8,raw_grad,0.5149744334999307,negative,-0.021854195465405107,0.01046439974219629
Cora,feature_similar_cross_class,8,pos_grad,0.5381457124137978,negative,-0.0556728339192677,6.753334353877605e-11
Cora,feature_similar_cross_class,8,hybrid,0.8883416831496646,negative,-0.5667510941865952,0.0
Cora,feature_similar_cross_class,9,raw_grad,0.5166075877963499,negative,-0.02423762765442947,0.004520172661366933
Cora,feature_similar_cross_class,9,pos_grad,0.540078056160843,negative,-0.05849238378649123,7.0272580269738534e-12
Cora,feature_similar_cross_class,9,hybrid,0.8949811216513464,negative,-0.5764407803591248,0.0
Cora,cross_class_oracle,0,raw_grad,0.5248040143031647,negative,-0.036204778215463834,2.2147146094792886e-05
Cora,cross_class_oracle,0,pos_grad,0.580075607349498,negative,-0.11691052340996334,5.775108707731451e-43
Cora,cross_class_oracle,0,hybrid,0.7964328622343739,negative,-0.4326181204233254,0.0
Cora,cross_class_oracle,1,raw_grad,0.5564054399757561,negative,-0.0823354526380992,4.442193333069898e-22
Cora,cross_class_oracle,1,pos_grad,0.6191557220199366,negative,-0.17398346624683972,1.036775402760104e-93
