dataset,noise_type,seed,real_hybrid_auc,shuffled_hybrid_auc,delta
Cora,feature_similar_cross_class,0,0.47090387829000674,0.4638724324883299,0.007031445801676861
Cora,feature_similar_cross_class,1,0.48440389337066314,0.47898431240704753,0.005419580963615611
Cora,feature_similar_cross_class,2,0.46710618601343334,0.46484245681127423,0.002263729202159115
Cora,feature_similar_cross_class,3,0.4755812007170732,0.47016643718535595,0.00541476353171727
Cora,feature_similar_cross_class,4,0.473702088096407,0.4675910710066721,0.006111017089734938
Cora,feature_similar_cross_class,5,0.4809503781773806,0.46970221328979256,0.011248164887588064
Cora,feature_similar_cross_class,6,0.4712210957078298,0.46493925427829846,0.00628184142953131
Cora,feature_similar_cross_class,7,0.47484147058422227,0.46958780676269296,0.0052536638215293086
Cora,feature_similar_cross_class,8,0.47591008769042614,0.4684400910153519,0.007469996675074253
Cora,feature_similar_cross_class,9,0.47270293476754366,0.46622939844697964,0.006473536320564022
Cora,cross_class_oracle,0,0.6723676385152304,0.6676798284491556,0.004687810066074771
Cora,cross_class_oracle,1,0.6812300076576222,0.6723616541277792,0.008868353529843054
Cora,cross_class_oracle,2,0.6685551797626209,0.6640085862794273,0.004546593483193639
Cora,cross_class_oracle,3,0.6905362837001803,0.6845845560434294,0.005951727656750894
Cora,cross_class_oracle,4,0.6690254329285413,0.6647202795570691,0.004305153371472192
Cora,cross_class_oracle,5,0.662632985057942,0.6586244179285545,0.004008567129387464
Cora,cross_class_oracle,6,0.6816125596254443,0.6745120390316112,0.007100520593833148
Cora,cross_class_oracle,7,0.6870172693862437,0.6797311729375467,0.007286096448697044
Cora,cross_class_oracle,8,0.6682772947313212,0.6637691060545963,0.004508188676724978
Cora,cross_class_oracle,9,0.6751100887915534,0.6718256475047377,0.003284441286815709
Cora,low_feature_similarity,0,0.8797086357344052,0.879885444461653,-0.0001768087272477903
Cora,low_feature_similarity,1,0.8814755560513288,0.8788145532882173,0.002661002763111431
Cora,low_feature_similarity,2,0.8761742116227816,0.8765095467736133,-0.00033533515083161713
Cora,low_feature_similarity,3,0.8783612359387839,0.8822027189705322,-0.0038414830317482496
Cora,low_feature_similarity,4,0.8705743958701024,0.8733555950551726,-0.002781199185070138
Cora,low_feature_similarity,5,0.8758049150731639,0.8770187732628101,-0.0012138581896461442
Cora,low_feature_similarity,6,0.8797240604930608,0.8803009853653001,-0.0005769248722392595
Cora,low_feature_similarity,7,0.8822743371273553,0.8817128070918341,0.0005615300355211739
Cora,low_feature_similarity,8,0.8718239060479896,0.8755910330656558,-0.0037671270176661276
Cora,low_feature_similarity,9,0.8752648241056873,0.8753965105515522,-0.0001316864458649203
CiteSeer,feature_similar_cross_class,0,0.5976078220256603,0.5983441042700709,-0.0007362822444105799
CiteSeer,feature_similar_cross_class,1,0.6083637309527028,0.6054632830555502,0.0029004478971526026
CiteSeer,feature_similar_cross_class,2,0.6071532981517604,0.6057570395334015,0.0013962586183589032
