dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean
Cora,cross_class_oracle,0.3,0,Feature-only,feature_only,GCN,0.68,0.6496580101722894,0.654,0.5080174927113703,0.4403032217308907,0.4717428087986464,0.19997084973036006,0.6230869889259338,0.6870103478431702,13722,10978,1.1678094863891602,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.663,0.6517783718685229,0.644,0.3965014577259475,0.34365129500947567,0.3681895093062605,0.19997084973036006,0.6230869889259338,0.6651484370231628,13722,10978,1.607330322265625,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8579437136650085,1.1708939240406835e-07,9.943876193574397e-07,8.772981345828157e-07,0.2999999523162842,0.28100189566612244,0.6835381110927324,,,,,,,,,,
Cora,cross_class_oracle,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.666,0.6450055740108276,0.644,0.37973760932944606,0.32912192040429566,0.3526226734348562,0.19997084973036006,0.6230869889259338,0.6622335314750671,13722,10978,2.3354039192199707,0.1,0.5,0.3,,0.1,0.5,,0.8579437136650085,,,,0.3334755003452301,0.34503740072250366,0.6718796266795483,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,2.339152729291527e-07,0.848819375038147,0.4499369263648987,0.4999999701976776
Cora,cross_class_oracle,0.3,0,DegreeAwareRandom,degree_aware_random,GCN,0.661,0.6213665223354082,0.636,0.226875,0.22931143398610235,0.22808671065032984,0.2332021571199534,0.6230869889259338,0.6247861385345459,13722,10522,0.44638776779174805,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,0,GCN-Jaccard,jaccard,GCN,0.679,0.6505698998734131,0.654,0.5043731778425656,0.43714466203411245,0.4683587140439932,0.19997084973036006,0.6230869889259338,0.6862816214561462,13722,10978,0.7271571159362793,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,0,Random-Matched,random_matched,GCN,0.639,0.624938399302109,0.632,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,1.0620872974395752,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,1,Feature-only,feature_only,GCN,0.683,0.6721391083850081,0.674,0.5065597667638484,0.4390397978521794,0.4703891708967851,0.19997084973036006,0.6230869889259338,0.6866459846496582,13722,10978,1.6300899982452393,,,,,,,,,,,,,,,,,,,,,,,,
Cora,cross_class_oracle,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.682,0.6709715339080712,0.662,0.39504373177842567,0.34238787113076435,0.3668358714043993,0.19997084973036006,0.6230869889259338,0.6646019220352173,13722,10978,2.0177993774414062,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8584863543510437,3.2426544294139603e-06,1.801883445295971e-05,1.4776179341424722e-05,0.2999999523162842,0.27759504318237305,0.6912792154803177,,,,,,,,,,
Cora,cross_class_oracle,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.677,0.6562405129901598,0.636,0.36661807580174927,0.31775110549589386,0.34043993231810493,0.19997084973036006,0.6230869889259338,0.663690984249115,13722,10978,3.5538747310638428,0.1,0.5,0.3,,0.1,0.5,,0.8584863543510437,,,,0.3147827684879303,0.34409472346305847,0.6199113257405021,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,9.333488293350456e-08,0.9159014225006104,0.551007091999054,0.4999999701976776
Cora,cross_class_oracle,0.3,1,DegreeAwareRandom,degree_aware_random,GCN,0.663,0.6364888321442539,0.634,0.22264631043256997,0.22109917877447885,0.22187004754358164,0.22912111937035418,0.6230869889259338,0.6263943910598755,13722,10578,0.5332365036010742,,,,,,,,,,,,,,,,,,,,,,,,
