dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean
Texas,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.6756756756756757,0.30338983050847457,0.6440677966101694,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.06734006851911545,746,594,0.6397054195404053,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.5945945945945946,0.2037037037037037,0.6271186440677966,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.07407407462596893,746,594,0.6522440910339355,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.6200312376022339,-2.51132019002398e-06,0.0007577401120215654,0.0007602514233440161,0.30000004172325134,0.31217527389526367,0.22607568268373712,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.5675675675675675,0.310760667903525,0.6101694915254238,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.06397306174039841,746,594,1.0474252700805664,0.1,0.5,0.3,,0.1,0.5,,0.6200312376022339,,,,0.30689796805381775,0.4050420820713043,0.2506279880074548,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,-5.9654168580891564e-05,0.7094504237174988,0.27949807047843933,0.5
Texas,feature_similar_cross_class,0.3,0,DegreeAwareRandom,degree_aware_random,GCN,0.6216216216216216,0.19491525423728814,0.5932203389830508,0.19696969696969696,0.1511627906976744,0.17105263157894737,0.1769436997319035,0.06702413409948349,0.06840390712022781,746,614,0.21292591094970703,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,0,GCN-Jaccard,jaccard,GCN,0.6486486486486487,0.2,0.5932203389830508,0.02631578947368421,0.023255813953488372,0.024691358024691357,0.20375335120643434,0.06702413409948349,0.06397306174039841,746,594,0.41060543060302734,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.6216216216216216,0.19166666666666668,0.576271186440678,0.25,0.22093023255813954,0.23456790123456792,0.20375335120643434,0.06702413409948349,0.08080808073282242,746,594,0.3442397117614746,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.6756756756756757,0.34461152882205515,0.6271186440677966,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.06734006851911545,746,594,0.38501882553100586,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.6486486486486487,0.28160919540229884,0.6440677966101694,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.07070706784725189,746,594,0.6723051071166992,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.6202784776687622,7.784826448187232e-05,0.0012250160798430443,0.001147167757153511,0.30000001192092896,0.3073637783527374,0.25704967182562194,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.6756756756756757,0.30338983050847457,0.5932203389830508,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.07070706784725189,746,594,1.0389270782470703,0.1,0.5,0.3,,0.1,0.5,,0.6202784776687622,,,,0.277251273393631,0.435214638710022,0.2487237663074305,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,5.003446858609095e-06,0.7734584808349609,0.3563064932823181,0.5
Texas,feature_similar_cross_class,0.3,1,DegreeAwareRandom,degree_aware_random,GCN,0.5945945945945946,0.2534090909090909,0.6271186440677966,0.18461538461538463,0.13953488372093023,0.15894039735099336,0.1742627345844504,0.06702413409948349,0.06168831139802933,746,616,0.2164921760559082,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,1,GCN-Jaccard,jaccard,GCN,0.5945945945945946,0.2,0.6271186440677966,0.013157894736842105,0.011627906976744186,0.012345679012345678,0.20375335120643434,0.06702413409948349,0.06397306174039841,746,594,0.3881101608276367,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,1,Random-Matched,random_matched,GCN,0.5945945945945946,0.19298245614035087,0.5423728813559322,0.2894736842105263,0.2558139534883721,0.2716049382716049,0.20375335120643434,0.06702413409948349,0.08080808073282242,746,594,0.23576593399047852,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,2,Feature-only,feature_only,GCN,0.6756756756756757,0.3411330049261084,0.6101694915254238,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.06734006851911545,746,594,0.2225205898284912,,,,,,,,,,,,,,,,,,,,,,,,
