dataset,noise_type,method,n_seeds,method_mean_acc,method_std_acc,fo_mean_acc,fo_std_acc,delta_pp,delta_std_pp,t_stat,t_pval,wilcoxon_pval,win_rate,cohens_d,mean_runtime
CiteSeer,cross_class_oracle,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,10,0.5784999999999999,0.011568635759385507,0.6162,0.010538817137927144,-3.7700000000000027,0.9274217547109345,-12.854762914797773,4.275994774509467e-07,0.001953125,0.0,-4.065032959222596,1.9935911417007446
CiteSeer,cross_class_oracle,MCGC-cw3.0-lp0.1-ln0.5,10,0.5740999999999999,0.014947686554558618,0.6162,0.010538817137927144,-4.210000000000001,1.596141180054779,-8.340859264624683,1.5835968515205017e-05,0.001953125,0.0,-2.6376112919131094,2.723312497138977
CiteSeer,cross_class_oracle,DegreeAwareRandom,10,0.5445,0.025825267558041765,0.6162,0.010538817137927144,-7.169999999999997,2.7398499553402145,-8.275464420675489,1.687246523890643e-05,0.001953125,0.0,-2.6169316265020357,0.6480135917663574
CiteSeer,cross_class_oracle,GCN-Jaccard,10,0.6140000000000001,0.013106402167558345,0.6162,0.010538817137927144,-0.2200000000000002,0.616080802781223,-1.1292367528681055,0.2879964757418429,0.33984375,0.3,-0.3570960156635891,0.8478206396102905
CiteSeer,cross_class_oracle,Random-Matched,10,0.5578000000000001,0.01208120670941255,0.6162,0.010538817137927144,-5.839999999999997,1.2258330500792771,-15.06542961473341,1.0862474640608051e-07,0.001953125,0.0,-4.764107151151058,1.0440085411071778
CiteSeer,degree_aligned_random,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,10,0.616,0.01651934892448517,0.6348999999999999,0.013411852138231248,-1.8900000000000017,1.6264822299811483,-3.6746203970439413,0.00511800793068486,0.0078125,0.1,-1.1620169991171116,2.281439185142517
CiteSeer,degree_aligned_random,MCGC-cw3.0-lp0.1-ln0.5,10,0.6197,0.01662026875033415,0.6348999999999999,0.013411852138231248,-1.5200000000000014,1.7580291996058175,-2.7341195723789355,0.023068488508541034,0.029296875,0.2,-0.8646045243963032,3.329167103767395
CiteSeer,degree_aligned_random,DegreeAwareRandom,10,0.5976999999999999,0.017391249396048466,0.6348999999999999,0.013411852138231248,-3.7200000000000033,1.964575159049804,-5.9878965900780585,0.00020552950566402633,0.001953125,0.0,-1.8935391618202262,0.6650919675827026
CiteSeer,degree_aligned_random,GCN-Jaccard,10,0.6345000000000001,0.012580849644510424,0.6348999999999999,0.013411852138231248,-0.040000000000000036,0.5929212051829115,-0.21333544036043336,0.8358195999373791,0.677734375,0.4,-0.06746258971739821,0.9075145244598388
CiteSeer,degree_aligned_random,Random-Matched,10,0.5900000000000001,0.023814094799322335,0.6348999999999999,0.013411852138231248,-4.490000000000003,1.8211412783075218,-7.796554206575084,2.717666693100426e-05,0.001953125,0.0,-2.4654869193744187,1.1888052463531493
