method,dataset,noise_type,mean,std,count
DegreeAwareRandom,CiteSeer,cross_class_oracle,0.5445,0.025825267558041702,10
DegreeAwareRandom,CiteSeer,degree_aligned_random,0.5976999999999999,0.017391249396048476,10
DegreeAwareRandom,CiteSeer,low_feature_similarity,0.5740999999999999,0.014783248778412784,10
DegreeAwareRandom,Cora,cross_class_oracle,0.6442,0.01261216344116532,10
DegreeAwareRandom,Cora,degree_aligned_random,0.7129,0.020701315041427776,10
DegreeAwareRandom,Cora,low_feature_similarity,0.6822,0.021049148834731187,10
DegreeAwareRandom,PubMed,cross_class_oracle,0.623,0.016268579122549927,10
DegreeAwareRandom,PubMed,degree_aligned_random,0.7282,0.009715966241192892,10
DegreeAwareRandom,PubMed,low_feature_similarity,0.6910999999999999,0.009538809615926278,10
Feature-only,CiteSeer,cross_class_oracle,0.6162,0.010538817137927146,10
Feature-only,CiteSeer,degree_aligned_random,0.6349,0.01341185213823125,10
Feature-only,CiteSeer,low_feature_similarity,0.6393,0.011738351199759245,10
Feature-only,Cora,cross_class_oracle,0.6811,0.0058585170668200605,10
Feature-only,Cora,degree_aligned_random,0.7344999999999999,0.018524758208048695,10
Feature-only,Cora,low_feature_similarity,0.7133,0.016145518814140915,10
Feature-only,PubMed,cross_class_oracle,0.7011,0.014738083698741552,10
Feature-only,PubMed,degree_aligned_random,0.7509,0.01746393108349005,10
Feature-only,PubMed,low_feature_similarity,0.7416,0.009371351141762982,10
GCN-Jaccard,CiteSeer,cross_class_oracle,0.614,0.013106402167558324,10
GCN-Jaccard,CiteSeer,degree_aligned_random,0.6345,0.012580849644510424,10
GCN-Jaccard,CiteSeer,low_feature_similarity,0.6421,0.011100050049937221,10
GCN-Jaccard,Cora,cross_class_oracle,0.6834,0.005460972644339296,10
GCN-Jaccard,Cora,degree_aligned_random,0.7349,0.01437165420000232,10
GCN-Jaccard,Cora,low_feature_similarity,0.7135,0.01529887432315059,10
GCN-Jaccard,PubMed,cross_class_oracle,0.6928,0.009461031186456921,10
GCN-Jaccard,PubMed,degree_aligned_random,0.7496,0.010079682534683351,10
GCN-Jaccard,PubMed,low_feature_similarity,0.7495,0.004972144630058756,10
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,CiteSeer,cross_class_oracle,0.5785,0.011568635759385498,10
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,CiteSeer,degree_aligned_random,0.616,0.01651934892448517,10
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,CiteSeer,low_feature_similarity,0.6117,0.010328493490232625,10
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,Cora,cross_class_oracle,0.6639,0.013453211099543824,10
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,Cora,degree_aligned_random,0.7221,0.011219526628952668,10
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,Cora,low_feature_similarity,0.7351,0.01742571535276405,10
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,PubMed,cross_class_oracle,0.6615,0.009180292902613612,10
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,PubMed,degree_aligned_random,0.7383,0.017262998323324695,10
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,PubMed,low_feature_similarity,0.7169,0.010785278031753411,10
MCGC-cw3.0-lp0.1-ln0.5,CiteSeer,cross_class_oracle,0.5740999999999999,0.014947686554558618,10
MCGC-cw3.0-lp0.1-ln0.5,CiteSeer,degree_aligned_random,0.6197,0.016620268750334136,10
MCGC-cw3.0-lp0.1-ln0.5,CiteSeer,low_feature_similarity,0.6039,0.02104202144915424,10
MCGC-cw3.0-lp0.1-ln0.5,Cora,cross_class_oracle,0.6585,0.014916433890176318,10
MCGC-cw3.0-lp0.1-ln0.5,Cora,degree_aligned_random,0.7215,0.014096886969193667,10
MCGC-cw3.0-lp0.1-ln0.5,Cora,low_feature_similarity,0.7224,0.014222048610051469,10
MCGC-cw3.0-lp0.1-ln0.5,PubMed,cross_class_oracle,0.6351,0.0137230544057153,10
MCGC-cw3.0-lp0.1-ln0.5,PubMed,degree_aligned_random,0.7363,0.011499275339486985,10
MCGC-cw3.0-lp0.1-ln0.5,PubMed,low_feature_similarity,0.693,0.016505891204186576,10
Random-Matched,CiteSeer,cross_class_oracle,0.5578000000000001,0.012081206709412545,10
Random-Matched,CiteSeer,degree_aligned_random,0.59,0.023814094799322335,10
Random-Matched,CiteSeer,low_feature_similarity,0.5685,0.010416333327999794,10
Random-Matched,Cora,cross_class_oracle,0.6416000000000001,0.01778388783890259,10
Random-Matched,Cora,degree_aligned_random,0.7083999999999999,0.019155503995805845,10
Random-Matched,Cora,low_feature_similarity,0.6898,0.01956073163821386,10
Random-Matched,PubMed,cross_class_oracle,0.6328,0.013620246367489519,10
Random-Matched,PubMed,degree_aligned_random,0.723,0.009591663046625468,10
Random-Matched,PubMed,low_feature_similarity,0.696,0.01372750685464928,10
