method,dataset,noise_type,mean,std,count
DegreeAwareRandom,Actor,degree_aligned_random,0.27618421052631575,0.00950424529725322,5
DegreeAwareRandom,Actor,feature_similar_cross_class,0.2760526315789474,0.00928774025872672,5
DegreeAwareRandom,Texas,degree_aligned_random,0.6270270270270271,0.051987524491003634,5
DegreeAwareRandom,Texas,feature_similar_cross_class,0.6,0.02261243314956961,5
DegreeAwareRandom,Wisconsin,degree_aligned_random,0.5411764705882354,0.02235638088429686,5
DegreeAwareRandom,Wisconsin,feature_similar_cross_class,0.5372549019607844,0.022356380884296832,5
Feature-only,Actor,degree_aligned_random,0.29434210526315785,0.002927446771221984,5
Feature-only,Actor,feature_similar_cross_class,0.28078947368421053,0.009639897902931746,5
Feature-only,Texas,degree_aligned_random,0.6162162162162163,0.02960662473000901,5
Feature-only,Texas,feature_similar_cross_class,0.6702702702702703,0.012086853932431264,5
Feature-only,Wisconsin,degree_aligned_random,0.5882352941176471,0.060435431401656664,5
Feature-only,Wisconsin,feature_similar_cross_class,0.6431372549019608,0.06706914265289048,5
GCN-Jaccard,Actor,degree_aligned_random,0.2946052631578947,0.003645235572946069,5
GCN-Jaccard,Actor,feature_similar_cross_class,0.2814473684210526,0.009025395073496064,5
GCN-Jaccard,Texas,degree_aligned_random,0.6054054054054054,0.024173707864862587,5
GCN-Jaccard,Texas,feature_similar_cross_class,0.5891891891891892,0.04834741572972519,5
GCN-Jaccard,Wisconsin,degree_aligned_random,0.5647058823529412,0.05947353289452198,5
GCN-Jaccard,Wisconsin,feature_similar_cross_class,0.6039215686274509,0.04681308386789532,5
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,Actor,degree_aligned_random,0.28421052631578947,0.009791365832985002,5
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,Actor,feature_similar_cross_class,0.2760526315789474,0.008038709154792576,5
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,Texas,degree_aligned_random,0.664864864864865,0.056044436090074916,5
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,Texas,feature_similar_cross_class,0.6054054054054054,0.030815552029706445,5
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,Wisconsin,degree_aligned_random,0.6078431372549019,0.048029210642807386,5
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,Wisconsin,feature_similar_cross_class,0.5882352941176471,0.041594516540385144,5
MCGC-cw3.0-lp0.1-ln0.5,Actor,degree_aligned_random,0.2851315789473684,0.01573180257276218,5
MCGC-cw3.0-lp0.1-ln0.5,Actor,feature_similar_cross_class,0.2744736842105263,0.007122299264591774,5
MCGC-cw3.0-lp0.1-ln0.5,Texas,degree_aligned_random,0.6108108108108108,0.062220888828223485,5
MCGC-cw3.0-lp0.1-ln0.5,Texas,feature_similar_cross_class,0.6324324324324324,0.045224866299139216,5
MCGC-cw3.0-lp0.1-ln0.5,Wisconsin,degree_aligned_random,0.6078431372549019,0.06043543140165663,5
MCGC-cw3.0-lp0.1-ln0.5,Wisconsin,feature_similar_cross_class,0.580392156862745,0.07414772706348648,5
Random-Matched,Actor,degree_aligned_random,0.28421052631578947,0.016195438980383118,5
Random-Matched,Actor,feature_similar_cross_class,0.2722368421052631,0.008300952787151306,5
Random-Matched,Texas,degree_aligned_random,0.572972972972973,0.09244665608911928,5
Random-Matched,Texas,feature_similar_cross_class,0.5567567567567567,0.08673949478854712,5
Random-Matched,Wisconsin,degree_aligned_random,0.5294117647058824,0.057166195047502956,5
Random-Matched,Wisconsin,feature_similar_cross_class,0.5725490196078431,0.0913397231282519,5
