method,noise_type,test_acc_mean,test_acc_std,n,bad_edge_f1_mean,runtime_mean
Feature-only,feature_similar_cross_class,0.6084666666666667,0.047864192799847285,15,0.26772862218106647,2.4905760447184244
Feature-only,low_feature_similarity,0.6989333333333333,0.04769017069535797,15,0.7662067118108854,2.8544122695922853
Feature-only,degree_aligned_random,0.7078666666666666,0.05652921705589403,15,0.5762883803245017,2.5239291350046793
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_similar_cross_class,0.5837333333333334,0.04240866937425928,15,0.08479811280844661,4.674123764038086
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,low_feature_similarity,0.6851999999999999,0.0561352957467174,15,0.5538953756191259,4.090730539957682
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,degree_aligned_random,0.6954,0.05984241209806208,15,0.3808727424601571,3.9023802439371744
MCGC-cw3.0-lp0.1-ln0.5,feature_similar_cross_class,0.6034,0.03602935311262589,15,0.15837491754566985,6.714655097325643
MCGC-cw3.0-lp0.1-ln0.5,low_feature_similarity,0.6743333333333333,0.05595746684078985,15,0.3338900829266126,6.259111118316651
MCGC-cw3.0-lp0.1-ln0.5,degree_aligned_random,0.6888,0.05703532739827634,15,0.37162704981925937,6.796989186604818
Selective-MCGC-hard-q0.5-lp0.1-ln0.5,feature_similar_cross_class,0.6094,0.048948661151980745,15,0.268746406751014,7.986529095967611
Selective-MCGC-hard-q0.5-lp0.1-ln0.5,low_feature_similarity,0.7179333333333334,0.058188691423023166,15,0.9258657700196173,8.288214937845867
Selective-MCGC-hard-q0.5-lp0.1-ln0.5,degree_aligned_random,0.7087333333333333,0.055354012200261205,15,0.5778892466244252,7.385801935195923
Random-Matched,feature_similar_cross_class,0.6072000000000001,0.05130329981032966,15,0.21276167166590662,2.4924150943756103
Random-Matched,low_feature_similarity,0.6528666666666666,0.06428048655992696,15,0.21276167166590662,2.4361390908559164
Random-Matched,degree_aligned_random,0.6754,0.07128594331483391,15,0.21276167166590662,2.458751106262207
