dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,hp_gate_type,hp_tau_quantile,hp_soft_k,hp_checkpoint_control,diag_gate_type,diag_tau,diag_tau_quantile,diag_soft_k,diag_feature_sim_mean,diag_gate_active_fraction,diag_gate_mean,diag_dynamic_contribution_mean,diag_dynamic_contribution_abs_mean,hp_tau
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.614,0.58247429889329,0.6,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.1232502460479736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.605,0.5747714665046314,0.586,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.592093288898468,13722,10978,1.2128276824951172,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.842603862285614,1.7982256395043805e-06,1.702445479168091e-05,1.5226230061671231e-05,0.29999998211860657,0.297473669052124,0.47101288390743157,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.629,0.6074830199050144,0.612,0.15306122448979592,0.1326595072646873,0.14213197969543148,0.19997084973036006,0.6230869889259338,0.6239752173423767,13722,10978,2.036966323852539,0.1,0.5,0.3,,0.1,0.5,,0.842603862285614,,,,0.32724034786224365,0.3597607910633087,0.46880590165927916,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.326657184108626e-07,0.9136787056922913,0.5249555110931396,0.4999999701976776,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.613,0.5829386821170873,0.602,0.08892128279883382,0.07706885660138976,0.08257191201353638,0.19997084973036006,0.6230869889259338,0.6070322394371033,13722,10978,2.276639223098755,0.1,0.5,0.3,,0.1,0.5,,0.842603862285614,,,,0.4208696484565735,0.3862540125846863,0.5621823337531182,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,2.0035966485920653e-07,0.8798643946647644,0.48896151781082153,0.4999999701976776,hard,0.5,20.0,real,hard,0.13650470972061157,0.5,20.0,0.1573961079120636,0.5013846158981323,0.5013846158981323,-0.07913032919168472,0.09408222138881683,
Cora,feature_similar_cross_class,0.3,0,Selective-MCGC-hard-q0.5-lp0.25-ln0.25,selective_mcgc,GCN,0.609,0.5767852063216703,0.594,0.08892128279883382,0.07706885660138976,0.08257191201353638,0.19997084973036006,0.6230869889259338,0.6070322394371033,13722,10978,2.327420711517334,0.25,0.25,0.3,,0.25,0.25,,0.842603862285614,,,,0.49716493487358093,0.30155134201049805,0.5859962461134396,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,1.489369623186576e-07,0.9102535843849182,0.4979507029056549,0.4999999701976776,hard,0.5,20.0,real,hard,0.13650470972061157,0.5,20.0,0.1573961079120636,0.5013846158981323,0.5013846158981323,-0.0028349983040243387,0.04148302599787712,
Cora,feature_similar_cross_class,0.3,0,Selective-MCGC-hard-q0.75-lp0.1-ln0.5,selective_mcgc,GCN,0.609,0.577717744434942,0.598,0.08892128279883382,0.07706885660138976,0.08257191201353638,0.19997084973036006,0.6230869889259338,0.6070322394371033,13722,10978,2.2693488597869873,0.1,0.5,0.3,,0.1,0.5,,0.842603862285614,,,,0.46214011311531067,0.35457104444503784,0.6038134431843452,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,2.0030482517086057e-07,0.8820506930351257,0.4938295781612396,0.4999999701976776,hard,0.75,20.0,real,hard,0.20446521043777466,0.75,20.0,0.1573961079120636,0.25010931491851807,0.25010931491851807,-0.03785983473062515,0.044855695217847824,
Cora,feature_similar_cross_class,0.3,0,Selective-MCGC-hard-q0.75-lp0.25-ln0.25,selective_mcgc,GCN,0.612,0.5816891986000723,0.598,0.08892128279883382,0.07706885660138976,0.08257191201353638,0.19997084973036006,0.6230869889259338,0.6070322394371033,13722,10978,2.341810464859009,0.25,0.25,0.3,,0.25,0.25,,0.842603862285614,,,,0.5018303990364075,0.2910088002681732,0.6041648464154835,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,2.2096979535035643e-07,0.9064640402793884,0.5148101449012756,0.4999999701976776,hard,0.75,20.0,real,hard,0.20446521043777466,0.75,20.0,0.1573961079120636,0.25010931491851807,0.25010931491851807,0.001830468187108636,0.01888352632522583,
Cora,feature_similar_cross_class,0.3,0,Selective-MCGC-hard-q0.9-lp0.1-ln0.5,selective_mcgc,GCN,0.609,0.5775889534317752,0.596,0.08892128279883382,0.07706885660138976,0.08257191201353638,0.19997084973036006,0.6230869889259338,0.6070322394371033,13722,10978,2.280163288116455,0.1,0.5,0.3,,0.1,0.5,,0.842603862285614,,,,0.48507925868034363,0.319492906332016,0.6093339209203892,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,2.4318543978552043e-07,0.8950589895248413,0.5030363202095032,0.4999999403953552,hard,0.9,20.0,real,hard,0.2941741943359375,0.9,20.0,0.1573961079120636,0.10027692466974258,0.10027692466974258,-0.014920718036592007,0.017185062170028687,
Cora,feature_similar_cross_class,0.3,0,Selective-MCGC-hard-q0.9-lp0.25-ln0.25,selective_mcgc,GCN,0.609,0.5778724915520093,0.598,0.08892128279883382,0.07706885660138976,0.08257191201353638,0.19997084973036006,0.6230869889259338,0.6070322394371033,13722,10978,2.2646331787109375,0.25,0.25,0.3,,0.25,0.25,,0.842603862285614,,,,0.5006359815597534,0.28967785835266113,0.6087654041125189,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,2.147040589761673e-07,0.8815041184425354,0.4975375533103943,0.4999999701976776,hard,0.9,20.0,real,hard,0.2941741943359375,0.9,20.0,0.1573961079120636,0.10027692466974258,0.10027692466974258,0.0006360643892548978,0.007836061529815197,
Cora,feature_similar_cross_class,0.3,0,Selective-MCGC-soft-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.627,0.609522765838576,0.6,0.08381924198250729,0.07264687302590019,0.077834179357022,0.19997084973036006,0.6230869889259338,0.6066678762435913,13722,10978,2.3445355892181396,0.1,0.5,0.3,,0.1,0.5,,0.842603862285614,,,,0.4148337244987488,0.35323214530944824,0.5480017292485979,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,2.0240064202425856e-07,0.8792085647583008,0.48962637782096863,0.4999999403953552,soft,0.5,20.0,real,soft,0.13650470972061157,0.5,20.0,0.1573961079120636,0.4961375594139099,0.5232587456703186,-0.08516623824834824,0.10093262791633606,
