method,mean,std,count
Selective-MCGC-hard-q0.5-lp0.1-ln0.5,0.64475,0.07906053491988392,12
Selective-MCGC-zero-gate,0.64425,0.0795020011183252,12
Selective-MCGC-hard-q0.75-lp0.25-ln0.25,0.6440833333333333,0.07941657524876293,12
Selective-MCGC-soft-q0.9-lp0.25-ln0.25,0.6439166666666667,0.08158816573424595,12
Selective-MCGC-soft-q0.75-lp0.25-ln0.25,0.6435000000000001,0.08259705035455399,12
Selective-MCGC-hard-q0.75-frozen,0.6430833333333333,0.08053735252362816,12
Selective-MCGC-soft-q0.9-lp0.1-ln0.5,0.643,0.08061130080938914,12
Selective-MCGC-hard-q0.5-lp0.25-ln0.25,0.6429166666666667,0.07961778962168205,12
Selective-MCGC-hard-q0.9-lp0.25-ln0.25,0.6424166666666666,0.07964062272407715,12
Selective-MCGC-hard-q0.75-shuffled,0.6424166666666666,0.08058587552005213,12
Selective-MCGC-soft-q0.5-lp0.25-ln0.25,0.6420833333333333,0.08313237891605428,12
Selective-MCGC-hard-q0.75-lp0.1-ln0.5,0.642,0.08011355577043014,12
Selective-MCGC-hard-q0.9-lp0.1-ln0.5,0.6419166666666667,0.08025352819582943,12
Selective-MCGC-soft-q0.75-lp0.1-ln0.5,0.6416666666666667,0.08002651075888803,12
Selective-MCGC-soft-q0.5-lp0.1-ln0.5,0.64125,0.08462658619434613,12
Feature-only,0.6274166666666666,0.05780603669849608,12
MCGC-cw3.0-lp0.1-ln0.5,0.6231666666666666,0.06600665714819065,12
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,0.6193333333333334,0.07667562530003594,12
Random-Matched,0.6110833333333333,0.06291474510411009,12
