dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,hp_gate_type,hp_tau_quantile,hp_checkpoint_control,diag_gate_type,diag_tau,diag_tau_quantile,diag_soft_k,diag_feature_sim_mean,diag_gate_active_fraction,diag_gate_mean,diag_dynamic_contribution_mean,diag_dynamic_contribution_abs_mean
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.607,0.5758684318321805,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.1525580883026123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.606,0.5754505013876926,0.582,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5919110774993896,13722,10978,1.2699596881866455,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.842603862285614,1.7987343881031848e-06,1.6978725398075767e-05,1.5179991351033095e-05,0.2999999523162842,0.29789599776268005,0.47082563242408143,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.623,0.5996567554635713,0.6,0.15451895043731778,0.13392293114339862,0.14348561759729273,0.19997084973036006,0.6230869889259338,0.6205137372016907,13722,10978,2.3012497425079346,0.1,0.5,0.3,,0.1,0.5,,0.842603862285614,,,,0.3228367269039154,0.362508088350296,0.46854821393562757,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.021145266122403e-07,0.9168488383293152,0.5273646712303162,0.4999999701976776,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.609,0.5769283568285524,0.596,0.08892128279883382,0.07706885660138976,0.08257191201353638,0.19997084973036006,0.6230869889259338,0.6070322394371033,13722,10978,2.3850910663604736,0.1,0.5,0.3,,0.1,0.5,,0.842603862285614,,,,0.4163967967033386,0.3921171724796295,0.5624168618973333,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,1.7608026325888204e-07,0.8843462467193604,0.48566290736198425,0.4999999701976776,hard,0.5,real,hard,0.13650470972061157,0.5,20.0,0.1573961079120636,0.5013846158981323,0.5013846158981323,-0.0836031436920166,0.09778495132923126
Cora,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.656,0.6343169933640672,0.64,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,0.7440018653869629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.595,0.5791431660331302,0.6,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7757551670074463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.593,0.5885637546991563,0.576,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261,0.19997084973036006,0.6230869889259338,0.5911823511123657,13722,10978,1.7274250984191895,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8429648280143738,5.9071453506476246e-08,6.407460659829667e-07,5.816746693199093e-07,0.2999999523162842,0.2995162010192871,0.4864792938997309,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.621,0.6214923873640215,0.616,0.15451895043731778,0.13392293114339862,0.14348561759729273,0.19997084973036006,0.6230869889259338,0.6232464909553528,13722,10978,6.47349214553833,0.1,0.5,0.3,,0.1,0.5,,0.8429648280143738,,,,0.3465638756752014,0.3504684567451477,0.49786979744284726,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,2.5859904440039827e-07,0.8686051368713379,0.4875071346759796,0.4999999701976776,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,Selective-MCGC-hard-q0.5-lp0.1-ln0.5,selective_mcgc,GCN,0.612,0.5916387866994048,0.604,0.09110787172011661,0.07896399241945673,0.08460236886632826,0.19997084973036006,0.6230869889259338,0.6073966026306152,13722,10978,5.4769322872161865,0.1,0.5,0.3,,0.1,0.5,,0.8429648280143738,,,,0.4220585227012634,0.3837401270866394,0.57283968998958,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,selective_mcgc,3.0,4.0,2.091824882199944e-07,0.8744351863861084,0.5059877634048462,0.4999999403953552,hard,0.5,real,hard,0.13608276844024658,0.5,20.0,0.15703511238098145,0.5019676089286804,0.5019676089286804,-0.07794145494699478,0.09152710437774658
Cora,feature_similar_cross_class,0.3,1,Random-Matched,random_matched,GCN,0.665,0.656838535523365,0.684,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6230869889259338,0.6257970333099365,13722,10978,0.9784877300262451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
