method,mean,std,count
StabilityResidual-v5-dp00-10-15-20-30-nograd,0.6294666666666667,0.04787612985114617,15
StabilityResidual-v5-dp0.15-grad-real,0.6286666666666666,0.046891465362147985,15
StabilityResidual-v5-dp0.15-grad-frozen,0.6270666666666667,0.047389671368146834,15
StabilityResidual-v3-dp00-20-35-nograd,0.6268666666666667,0.047983429679520906,15
StabilityResidual-v3-dp0.15-nograd,0.6244,0.050867896134427035,15
StabilityResidual-v5-dp0.15-grad-shuffled,0.6234000000000001,0.04766220425332543,15
StabilityResidual-raw-v5-dp0.15-nograd,0.6216666666666666,0.05078901268506614,15
StabilityResidual-v5-dp0.15-nograd,0.6214666666666667,0.0431458899096073,30
StabilityResidual-residualized-v5-dp0.15-nograd,0.6202666666666666,0.046141810396501254,15
StabilityResidual-v3-dp00-05-10-nograd,0.6197333333333332,0.046296353862398075,15
StabilityResidual-shuffled-residual-v5,0.6178,0.047836328096064036,15
StabilityResidual-v7-dp0.15-nograd,0.6176666666666667,0.047402029291501654,15
Random-Matched,0.6111333333333333,0.049338288039479754,15
Feature-only,0.6091333333333334,0.04917296973318728,15
