dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_score_ratio,hp_lambda_pos,hp_lambda_neg,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,hp_num_views,hp_edge_dropout_rates,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_checkpoint_control,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_skip_residualization,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_residual_auc,diag_raw_stability_auc,diag_feature_risk_auc
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.609,0.5785192931816426,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.122199296951294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,GCN-Jaccard,jaccard,GCN,0.616,0.5818257088841217,0.616,0.07142857142857142,0.06190777005685408,0.06632825719120136,0.19997084973036006,0.6230869889259338,0.6042994856834412,13722,10978,0.5619356632232666,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,DegreeAwareRandom,degree_aware_random,GCN,0.653,0.6494751923187415,0.65,0.20477386934673367,0.20593809222994314,0.20535433070866144,0.23203614633435354,0.6230869889259338,0.6221294403076172,13722,10538,0.680333137512207,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.607,0.573609102493573,0.578,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.592093288898468,13722,10978,1.321843147277832,0.3,0.1,0.5,feature_pos_neg,0.1,0.5,False,0.842603862285614,1.762511260494648e-06,1.699257700238377e-05,1.523006631032331e-05,0.2999999523162842,0.2975401282310486,0.47220892358344163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.612,0.5937496207739815,0.596,0.15087463556851313,0.13076437144662034,0.1401015228426396,0.19997084973036006,0.6230869889259338,0.6230642795562744,13722,10978,1.9816100597381592,0.3,0.1,0.5,,0.1,0.5,,0.842603862285614,,,,0.333514004945755,0.3618948459625244,0.4713158734440892,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,2.149751594515692e-07,0.8812854886054993,0.49599987268447876,0.4999999403953552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.63,0.6029439135225256,0.632,0.26239067055393583,0.22741629816803538,0.2436548223350254,0.19997084973036006,0.6230869889259338,0.6476589441299438,13722,10978,3.108109474182129,0.3,,,,,,,0.842603862285614,,,,,,0.6607883425089951,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.1573961079120636,0.5714961886405945,0.19830811023712158,0.5,1.4051324129104614,0.12486443668603897,0.483025461435318,1.9282580865365162e-07,0.4999999701976776,0.2887066900730133,0.10005829483270645,0.7256572842597961,0.3314323425292969,0.9999999403953552,0.0,0.0004391353577375412,0.5,-3.294397538411431e-05,0.5763768519584626,0.576407821163523,0.6080494619197867
Cora,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.653,0.6333604017767219,0.638,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,0.8227558135986328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.605,0.5876486952767185,0.598,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7517600059509277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,GCN-Jaccard,jaccard,GCN,0.61,0.5918594021235968,0.598,0.07142857142857142,0.06190777005685408,0.06632825719120136,0.19997084973036006,0.6230869889259338,0.6042994856834412,13722,10978,0.5735909938812256,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,DegreeAwareRandom,degree_aware_random,GCN,0.662,0.641138607266197,0.636,0.23229813664596274,0.23626026531901453,0.23426244910742247,0.23465967060195303,0.6230869889259338,0.6292134523391724,13722,10502,0.45798254013061523,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.611,0.5939458125472761,0.574,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261,0.19997084973036006,0.6230869889259338,0.5911823511123657,13722,10978,1.3168308734893799,0.3,0.1,0.5,feature_pos_neg,0.1,0.5,False,0.8429648280143738,5.90679078982248e-08,6.401639325304131e-07,5.810960033159063e-07,0.2999999523162842,0.2995160222053528,0.48647684030087585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.65,0.63959835068458,0.612,0.15160349854227406,0.131396083385976,0.14077834179357024,0.19997084973036006,0.6230869889259338,0.6234286427497864,13722,10978,2.090146780014038,0.3,0.1,0.5,,0.1,0.5,,0.8429648280143738,,,,0.3379433751106262,0.3562127947807312,0.48808400739478786,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,3.750633652543911e-07,0.8738886117935181,0.5139346122741699,0.4999999403953552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.618,0.6121113277026383,0.622,0.30174927113702626,0.2615287428932407,0.2802030456852792,0.19997084973036006,0.6230869889259338,0.6582255363464355,13722,10978,3.0604610443115234,0.3,,,,,,,0.8429648280143738,,,,,,0.6842287094046084,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.15703511238098145,0.6932346820831299,0.31731167435646057,0.5,1.2776424884796143,0.0531933456659317,0.5548699498176575,0.0020912806503474712,0.4999999701976776,0.2887066900730133,0.10005829483270645,0.7264614105224609,0.33158814907073975,0.9999999403953552,0.0,0.04573218896985054,0.5,0.0001884873054223135,0.6223015499324124,0.6272207762612276,0.6129795199898888
Cora,feature_similar_cross_class,0.3,1,Random-Matched,random_matched,GCN,0.665,0.656838535523365,0.684,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6230869889259338,0.6257970333099365,13722,10978,0.9311418533325195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,Feature-only,feature_only,GCN,0.591,0.581763330850672,0.564,0.08965014577259475,0.07770056854074542,0.083248730964467,0.19997084973036006,0.6230869889259338,0.6072143912315369,13722,10978,0.7675635814666748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,GCN-Jaccard,jaccard,GCN,0.585,0.5793896155664424,0.568,0.07142857142857142,0.06190777005685408,0.06632825719120136,0.19997084973036006,0.6230869889259338,0.6042994856834412,13722,10978,0.5847058296203613,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,DegreeAwareRandom,degree_aware_random,GCN,0.63,0.6155970220140154,0.644,0.225,0.22741629816803538,0.22620169651272384,0.2332021571199534,0.6230869889259338,0.622505247592926,13722,10522,0.5438683032989502,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.583,0.5753385037300516,0.55,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5900892615318298,13722,10978,1.206500768661499,0.3,0.1,0.5,feature_pos_neg,0.1,0.5,False,0.8429141044616699,6.316170129139209e-06,2.7327008865540847e-05,2.1010835553170182e-05,0.2999999523162842,0.30014318227767944,0.4698479032022936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.616,0.6126747368780769,0.574,0.15451895043731778,0.13392293114339862,0.14348561759729273,0.19997084973036006,0.6230869889259338,0.6236108541488647,13722,10978,1.9945764541625977,0.3,0.1,0.5,,0.1,0.5,,0.8429141044616699,,,,0.31691238284111023,0.36010149121284485,0.43983242997009964,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.3676729793132836e-07,0.9202375411987305,0.6187393069267273,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
