dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,hp_num_views,hp_edge_dropout_rates,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_checkpoint_control,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_residual_auc,diag_shuffled_stability
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.606,0.5765609897333949,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.1224873065948486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.611,0.5782399282759467,0.588,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5919110774993896,13722,10978,1.2119662761688232,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.842603862285614,1.7777269931684714e-06,1.694082675385289e-05,1.5163100215431768e-05,0.2999999523162842,0.29735562205314636,0.47085166450949445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.619,0.5996298460152881,0.614,0.15379008746355685,0.13329121920404297,0.14280879864636212,0.19997084973036006,0.6230869889259338,0.6239752173423767,13722,10978,2.026519298553467,0.1,0.5,0.3,,0.1,0.5,,0.842603862285614,,,,0.34033864736557007,0.35521337389945984,0.4832656179945264,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.1897667206994811e-07,0.8718481063842773,0.4942507743835449,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v3-dp0.15-grad,stability_residual,GCN,0.633,0.6295858468722889,0.638,0.23615160349854228,0.20467466835123183,0.21928934010152287,0.19997084973036006,0.6230869889259338,0.6398251056671143,13722,10978,2.9924190044403076,,,0.3,,,,,0.842603862285614,,,,,,0.6436647359436913,,,200.0,stability_residual,,,,,,,3.0,"[0.05, 0.15, 0.25]",True,0.1,real,3.0,True,0.1,0.1573961079120636,0.4670410752296448,0.09523270279169083,0.5,1.5532357692718506,0.19247452914714813,0.3756636381149292,0.006775646470487118,0.4999999701976776,0.2887066900730133,0.10894913226366043,0.7276245355606079,0.3318836987018585,0.8812854886054993,0.21365869045257568,-0.08231732249259949,0.5,0.0027581059839576483,0.5409795592474704,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v3-dp0.15-nograd,stability_residual,GCN,0.62,0.6146231435843289,0.628,0.2099125364431487,0.1819330385344283,0.1949238578680203,0.19997084973036006,0.6230869889259338,0.6285297870635986,13722,10978,1.956214189529419,,,0.3,,,,,0.842603862285614,,,,,,0.6161846681429752,,,200.0,stability_residual,,,,,,,3.0,"[0.05, 0.15, 0.25]",False,0.1,real,3.0,False,0.1,0.1573961079120636,0.4674404561519623,0.09769301861524582,0.4999999403953552,1.5286551713943481,0.20611238479614258,0.3854309320449829,0.008662199601531029,0.4999999701976776,0.2887066900730133,0.0,0.75,0.322206974029541,,,-0.09307433664798737,0.5,0.0028394414111971855,0.5220842747772192,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.10-grad,stability_residual,GCN,0.652,0.6250812319460041,0.656,0.29737609329446063,0.25773847125710675,0.27614213197969545,0.19997084973036006,0.6230869889259338,0.6565858721733093,13722,10978,2.8678832054138184,,,0.3,,,,,0.842603862285614,,,,,,0.6687963505769069,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,real,5.0,True,0.1,0.1573961079120636,0.541198194026947,0.1907205432653427,0.5,1.9192330837249756,0.000875309866387397,0.20645906031131744,0.0016396878054365516,0.4999999701976776,0.2887066900730133,0.10326482355594635,0.7252801060676575,0.32982587814331055,0.9116382002830505,0.1715894192457199,-0.040494535118341446,0.5,0.001540594850666821,0.599950072255494,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.10-nograd,stability_residual,GCN,0.629,0.6104399535511258,0.622,0.24052478134110788,0.20846493998736576,0.2233502538071066,0.19997084973036006,0.6230869889259338,0.642375648021698,13722,10978,1.872314691543579,,,0.3,,,,,0.842603862285614,,,,,,0.6381476693084944,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",False,0.1,real,5.0,False,0.1,0.1573961079120636,0.5769188404083252,0.20220227539539337,0.5000000596046448,1.4006967544555664,0.1235615685582161,0.48580634593963623,8.887334843166173e-06,0.4999999403953552,0.2887066900730133,0.0,0.75,0.32276296615600586,,,0.0029812720604240894,0.5,5.082312782178633e-05,0.577208143219318,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.10-grad,stability_residual,GCN,0.644,0.6262335126462124,0.632,0.27405247813411077,0.23752368919772585,0.2544839255499154,0.19997084973036006,0.6230869889259338,0.646201491355896,13722,10978,2.9456024169921875,,,0.3,,,,,0.842603862285614,,,,,,0.6604848742213414,,,200.0,stability_residual,,,,,,,5.0,"[0.05, 0.1, 0.2, 0.25, 0.3]",True,0.1,real,5.0,True,0.1,0.1573961079120636,0.6177638173103333,0.24019993841648102,0.5,1.513959527015686,0.1151692122220993,0.4329584836959839,2.13245954228114e-08,0.4999999701976776,0.2887066900730133,0.10326482355594635,0.7247055768966675,0.3309381306171417,0.9052980542182922,0.18543453514575958,-0.00014603475574404,0.5,0.0014525324804708362,0.5795647949976266,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.10-nograd,stability_residual,GCN,0.62,0.6000680986413404,0.61,0.23833819241982507,0.2065698041692988,0.22131979695431475,0.19997084973036006,0.6230869889259338,0.6396428942680359,13722,10978,1.893608808517456,,,0.3,,,,,0.842603862285614,,,,,,0.638431508805308,,,200.0,stability_residual,,,,,,,5.0,"[0.05, 0.1, 0.2, 0.25, 0.3]",False,0.1,real,5.0,False,0.1,0.1573961079120636,0.6193932890892029,0.24161645770072937,0.5,1.506837248802185,0.11416744440793991,0.43714261054992676,3.790936034420156e-06,0.4999999701976776,0.2887066900730133,0.0,0.75,0.3227205276489258,,,-0.0019471036503091455,0.5,0.0016262795543298125,0.5807356703244041,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v7-dp0.05-grad,stability_residual,GCN,0.642,0.6227468330163584,0.646,0.31486880466472306,0.27289955780164243,0.2923857868020305,0.19997084973036006,0.6230869889259338,0.6635088324546814,13722,10978,3.511991500854492,,,0.3,,,,,0.842603862285614,,,,,,0.695154285886636,,,200.0,stability_residual,,,,,,,7.0,"[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3]",True,0.1,real,7.0,True,0.1,0.1573961079120636,0.7381471991539001,0.38943028450012207,0.5,0.7497231960296631,0.09621038287878036,0.7432177662849426,0.00042406542343087494,0.4999999701976776,0.2887066900730133,0.10632560402154922,0.7227320671081543,0.33137205243110657,0.891670286655426,0.19195860624313354,0.02059360034763813,0.5,0.001745115965604782,0.6549324398563077,
