method,mean,std,count
StabilityResidual-v3-dp0.15-nograd,0.6471,0.06854725607775612,20
StabilityResidual-v7-dp0.05-grad,0.6468499999999999,0.06911643494095576,20
StabilityResidual-v3-dp0.15-grad,0.6468,0.06840944840867341,20
StabilityResidual-v5-dp0.10-grad,0.644725,0.06984414425833774,40
StabilityResidual-v5-dp0.15-grad-frozen,0.64435,0.06756928218308111,20
StabilityResidual-v7-dp0.05-nograd,0.64425,0.0736384303271915,20
StabilityResidual-v5-dp0.10-nograd,0.64115,0.0687487249299009,40
StabilityResidual-v5-dp0.15-grad-shuffled,0.6407499999999999,0.06693899422136865,20
Feature-only,0.6292500000000001,0.05943406342104536,20
MCGC-cw3.0-lp0.1-ln0.5,0.62775,0.059967425367970915,20
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,0.61835,0.07548738130868035,20
Random-Matched,0.6133,0.062315918385357424,20
StabilityResidual-v5-shuffled-stability,0.6119,0.06285647812362115,20
