dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_lambda_pos,hp_lambda_neg,hp_score_ratio,diag_mode,diag_lambda_pos,diag_lambda_neg,diag_degree_norm,diag_feature_risk_mean,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_consistency_weight,diag_num_checkpoints,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,hp_num_views,hp_edge_dropout_rates,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_checkpoint_control,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_residual_auc
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.607,0.5756302736786443,0.594,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,1.1092090606689453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.604,0.5732109777945561,0.582,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.592093288898468,13722,10978,1.1959004402160645,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.842603862285614,1.7896720692078816e-06,1.6995827536447905e-05,1.52061566041084e-05,0.2999999523162842,0.2977791428565979,0.4711379576051631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.615,0.5919380171674875,0.602,0.15087463556851313,0.13076437144662034,0.1401015228426396,0.19997084973036006,0.6230869889259338,0.6217890381813049,13722,10978,2.211902618408203,0.1,0.5,0.3,,0.1,0.5,,0.842603862285614,,,,0.32214081287384033,0.3639604151248932,0.468819546062668,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,8.542476592765524e-08,0.9187800288200378,0.5305073261260986,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.64,0.6323593262401899,0.672,0.2988338192419825,0.25900189513581806,0.27749576988155666,0.19997084973036006,0.6230869889259338,0.6560393571853638,13722,10978,2.9611215591430664,,,0.3,,,,,0.842603862285614,,,,,,0.668844345364266,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,0.1573961079120636,0.5421794056892395,0.1922670602798462,0.5000000596046448,1.9194139242172241,0.0008768140687607229,0.20619750022888184,0.0014627354685217142,0.4999999701976776,0.2887066900730133,0.10005829483270645,0.7261315584182739,0.3296787142753601,0.9999999403953552,0.0,-0.03824711963534355,0.5,0.0014695455320179462,0.6001464499297074
Cora,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.652,0.6310318971110116,0.64,0.22667638483965014,0.19646241313960833,0.2104906937394247,0.19997084973036006,0.6230869889259338,0.6259792447090149,13722,10978,0.7253849506378174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.608,0.5878463516508198,0.6,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7220947742462158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.616,0.5961726257182128,0.58,0.0007288629737609329,0.0006317119393556538,0.0006768189509306261,0.19997084973036006,0.6230869889259338,0.5911823511123657,13722,10978,1.3438081741333008,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8429648280143738,5.906545297307275e-08,6.409669026652409e-07,5.819014177177451e-07,0.2999999523162842,0.2995138466358185,0.48642160440470067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.636,0.6227557029397882,0.606,0.15306122448979592,0.1326595072646873,0.14213197969543148,0.19997084973036006,0.6230869889259338,0.6256148219108582,13722,10978,2.0402305126190186,0.1,0.5,0.3,,0.1,0.5,,0.8429648280143738,,,,0.33826586604118347,0.3556082844734192,0.4943609715485464,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,2.1874565447888017e-07,0.8744716048240662,0.5054881572723389,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,1,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.631,0.6292021328549204,0.64,0.29664723032069973,0.2571067593177511,0.27546531302876476,0.19997084973036006,0.6230869889259338,0.6580433249473572,13722,10978,3.134183645248413,,,0.3,,,,,0.8429648280143738,,,,,,0.6837393061988439,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,0.15703511238098145,0.691731333732605,0.3163384199142456,0.5,1.140221118927002,0.08910836279392242,0.6040381789207458,0.0005996879772283137,0.4999999403953552,0.2887066900730133,0.10005829483270645,0.7254394292831421,0.331458181142807,0.9999999403953552,0.0,0.024489421397447586,0.5,0.0007622124976478517,0.6197225781602893
Cora,feature_similar_cross_class,0.3,1,Random-Matched,random_matched,GCN,0.665,0.656838535523365,0.684,0.2434402332361516,0.21099178774478838,0.22605752961082912,0.19997084973036006,0.6230869889259338,0.6257970333099365,13722,10978,0.8842251300811768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,Feature-only,feature_only,GCN,0.593,0.584463032983103,0.564,0.08965014577259475,0.07770056854074542,0.083248730964467,0.19997084973036006,0.6230869889259338,0.6072143912315369,13722,10978,0.8099610805511475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.583,0.5807859458446328,0.558,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5899070501327515,13722,10978,1.3255724906921387,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8429141044616699,6.9048783188918605e-06,2.9663735404028557e-05,2.2758857085136697e-05,0.29999998211860657,0.29949814081192017,0.4685485729988747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.62,0.6164354083148474,0.58,0.152332361516035,0.13202779532533165,0.14145516074450087,0.19997084973036006,0.6230869889259338,0.6217890381813049,13722,10978,1.949869155883789,0.1,0.5,0.3,,0.1,0.5,,0.8429141044616699,,,,0.312053382396698,0.36448949575424194,0.4352278627334718,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.2274060168238066e-07,0.9383471608161926,0.6359882354736328,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,2,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.623,0.6152975229309475,0.6,0.2879008746355685,0.24952621604548325,0.2673434856175973,0.19997084973036006,0.6230869889259338,0.6520313024520874,13722,10978,2.9858710765838623,,,0.3,,,,,0.8429141044616699,,,,,,0.6707913658215355,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,0.15708589553833008,0.5849078297615051,0.20652495324611664,0.5,1.3829725980758667,0.17074957489967346,0.48142483830451965,1.1847032510559075e-05,0.4999999403953552,0.2887066900730133,0.10005829483270645,0.7252979874610901,0.3298821747303009,0.9999999403953552,0.0,0.00344207719899714,0.5,-0.00032517415820620954,0.5907582326619728
Cora,feature_similar_cross_class,0.3,2,Random-Matched,random_matched,GCN,0.633,0.623826610994697,0.628,0.22813411078717202,0.19772583701831964,0.21184433164128597,0.19997084973036006,0.6230869889259338,0.6236108541488647,13722,10978,0.7310328483581543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,Feature-only,feature_only,GCN,0.588,0.5734836368540189,0.564,0.08454810495626822,0.07327858496525584,0.07851099830795262,0.19997084973036006,0.6230869889259338,0.6063035130500793,13722,10978,0.7568531036376953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.599,0.5871350534356041,0.574,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.5926398038864136,13722,10978,1.1675326824188232,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8429012298583984,3.771574711208814e-06,2.876991311495658e-05,2.4998340450110845e-05,0.29999998211860657,0.301933616399765,0.4765814162747092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.624,0.6173049342655638,0.612,0.1618075801749271,0.14024005053695515,0.150253807106599,0.19997084973036006,0.6230869889259338,0.6243395805358887,13722,10978,2.136428117752075,0.1,0.5,0.3,,0.1,0.5,,0.8429012298583984,,,,0.33192071318626404,0.35957714915275574,0.477969913851152,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,8.799202788623006e-08,0.8795000314712524,0.4705200493335724,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,3,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.623,0.6139398703551313,0.618,0.29956268221574345,0.25963360707517374,0.2781725888324873,0.19997084973036006,0.6230869889259338,0.659500777721405,13722,10978,2.8739805221557617,,,0.3,,,,,0.8429012298583984,,,,,,0.6800749460746847,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,0.15709877014160156,0.5064375996589661,0.15082715451717377,0.5,1.7817407846450806,0.021967845037579536,0.31362777948379517,0.0032984865829348564,0.4999999701976776,0.2887066900730133,0.10005829483270645,0.7255164384841919,0.33152681589126587,0.9999999403953552,0.0,-0.05743454396724701,0.5,0.001575869508087635,0.6160524730241767
Cora,feature_similar_cross_class,0.3,3,Random-Matched,random_matched,GCN,0.673,0.6516055158055104,0.642,0.2259475218658892,0.19583070120025267,0.2098138747884941,0.19997084973036006,0.6230869889259338,0.6237930059432983,13722,10978,0.7437827587127686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,4,Feature-only,feature_only,GCN,0.626,0.615450859745228,0.578,0.08454810495626822,0.07327858496525584,0.07851099830795262,0.19997084973036006,0.6230869889259338,0.6063035130500793,13722,10978,0.7463376522064209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,4,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.607,0.5938716506649211,0.57,0.0,0.0,0.0,0.19997084973036006,0.6230869889259338,0.59245765209198,13722,10978,1.1790521144866943,0.1,0.5,0.3,feature_pos_neg,0.1,0.5,False,0.8430176377296448,4.81632059745607e-06,3.0042116122785956e-05,2.5225794161087833e-05,0.2999999523162842,0.3001960813999176,0.47615592632692416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,4,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.631,0.6189113994598445,0.594,0.1392128279883382,0.12065698041692988,0.12927241962774957,0.19997084973036006,0.6230869889259338,0.6190562844276428,13722,10978,2.000901222229004,0.1,0.5,0.3,,0.1,0.5,,0.8430176377296448,,,,0.32311418652534485,0.36451733112335205,0.4503118703676353,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,3.0,4.0,1.4732613351498003e-07,0.9095976948738098,0.5497748851776123,0.4999999701976776,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cora,feature_similar_cross_class,0.3,4,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.667,0.6555796573345981,0.652,0.29956268221574345,0.25963360707517374,0.2781725888324873,0.19997084973036006,0.6230869889259338,0.6605939269065857,13722,10978,2.7669363021850586,,,0.3,,,,,0.8430176377296448,,,,,,0.687941782442621,,,200.0,stability_residual,,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,0.15698236227035522,0.584751546382904,0.24133892357349396,0.5,1.797507882118225,0.001630750484764576,0.3117579221725464,0.0013271841453388333,0.4999999701976776,0.2887066900730133,0.10005829483270645,0.7243993878364563,0.3300284147262573,0.9999999403953552,0.0,-0.03643186762928963,0.5,0.001569931278936565,0.6253292609975686
