test_acc,test_f1,val_acc,runtime,num_edges_after,actual_prune_ratio,dataset,noise_type,noise_ratio,seed,method,downstream_model
0.608,0.5776417900917964,0.596,0.9365382194519043,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,0,Feature-only,GCN
0.652,0.6298616520852157,0.64,0.5486695766448975,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,0,Random-Matched,GCN
0.615,0.5811875245449762,0.622,0.3266003131866455,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,0,GCN-Jaccard,GCN
0.653,0.6494751923187415,0.65,0.4510335922241211,10538,0.23203614633435354,Cora,feature_similar_cross_class,0.3,0,DegreeAwareRandom,GCN
0.643,0.637788891751855,0.666,3.0137929916381836,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,0,StabilityResidual-frozen,GCN
0.648,0.6331013409424735,0.652,0.6622555255889893,10322,0.24777729193995046,Cora,feature_similar_cross_class,0.3,0,IDGL-Proxy,GCN
0.65,0.6377084464091222,0.67,1.1202878952026367,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,0,ProGNN-Proxy,GCN
0.658,0.6434206722416951,0.678,3.509042739868164,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,0,LDS-Proxy,GCN
0.607,0.5847599099737081,0.602,0.5648820400238037,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,1,Feature-only,GCN
0.665,0.656838535523365,0.684,0.7055559158325195,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,1,Random-Matched,GCN
0.586,0.5833332183109988,0.594,0.4897444248199463,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,1,GCN-Jaccard,GCN
0.662,0.6424234899422258,0.638,0.2528655529022217,10502,0.23465967060195303,Cora,feature_similar_cross_class,0.3,1,DegreeAwareRandom,GCN
0.622,0.6245119200363651,0.608,2.894460678100586,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,1,StabilityResidual-frozen,GCN
0.646,0.6395434882919807,0.62,1.039095401763916,10544,0.23159889228975372,Cora,feature_similar_cross_class,0.3,1,IDGL-Proxy,GCN
0.64,0.6287095137780988,0.648,0.9769654273986816,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,1,ProGNN-Proxy,GCN
0.682,0.6815067686752897,0.678,3.453869342803955,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,1,LDS-Proxy,GCN
0.588,0.5779059882705594,0.566,0.5800323486328125,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,2,Feature-only,GCN
0.633,0.6233010980237857,0.628,0.5516679286956787,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,2,Random-Matched,GCN
0.575,0.5670509204553482,0.566,0.3450648784637451,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,2,GCN-Jaccard,GCN
0.629,0.6144404896454383,0.644,0.26206183433532715,10522,0.2332021571199534,Cora,feature_similar_cross_class,0.3,2,DegreeAwareRandom,GCN
0.642,0.6428220457658806,0.6,3.317830801010132,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,2,StabilityResidual-frozen,GCN
0.647,0.6257145522751599,0.658,0.552767276763916,10012,0.2703687509109459,Cora,feature_similar_cross_class,0.3,2,IDGL-Proxy,GCN
0.648,0.6469117988855987,0.64,1.1793138980865479,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,2,ProGNN-Proxy,GCN
0.68,0.6777482367577093,0.652,3.1984918117523193,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,2,LDS-Proxy,GCN
0.593,0.5789729891686088,0.566,0.5748958587646484,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,3,Feature-only,GCN
0.67,0.649035428823446,0.64,0.558081865310669,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,3,Random-Matched,GCN
0.615,0.6085642043150777,0.598,0.5433008670806885,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,3,GCN-Jaccard,GCN
0.64,0.6246360423962865,0.636,0.27651309967041016,10534,0.23232764903075354,Cora,feature_similar_cross_class,0.3,3,DegreeAwareRandom,GCN
0.628,0.6150019807723076,0.622,2.709657669067383,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,3,StabilityResidual-frozen,GCN
0.658,0.6465351876404595,0.628,0.7577972412109375,10306,0.2489433027255502,Cora,feature_similar_cross_class,0.3,3,IDGL-Proxy,GCN
0.644,0.6247226177959728,0.642,0.9558520317077637,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,3,ProGNN-Proxy,GCN
0.681,0.676367114016433,0.656,3.4864280223846436,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,3,LDS-Proxy,GCN
0.627,0.6165637145792703,0.576,0.6385250091552734,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,4,Feature-only,GCN
0.644,0.6312922188178115,0.644,0.5621092319488525,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,4,Random-Matched,GCN
0.621,0.6121760573132436,0.576,0.357280969619751,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,4,GCN-Jaccard,GCN
0.637,0.6246138241097856,0.616,0.25878214836120605,10510,0.23407666520915316,Cora,feature_similar_cross_class,0.3,4,DegreeAwareRandom,GCN
0.666,0.6539683241050971,0.654,2.648764133453369,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,4,StabilityResidual-frozen,GCN
0.625,0.6288802998237742,0.616,0.6020565032958984,10100,0.2639556915901472,Cora,feature_similar_cross_class,0.3,4,IDGL-Proxy,GCN
0.645,0.6328274894606906,0.608,0.921856164932251,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,4,ProGNN-Proxy,GCN
0.669,0.6628043313663247,0.656,3.4612255096435547,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,4,LDS-Proxy,GCN
0.6,0.5992642688640855,0.566,0.7601680755615234,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,5,Feature-only,GCN
0.674,0.6721237610264836,0.604,0.7561087608337402,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,5,Random-Matched,GCN
0.615,0.6154066389774533,0.568,0.7268247604370117,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,5,GCN-Jaccard,GCN
0.634,0.6322052924206709,0.61,0.44408321380615234,10502,0.23465967060195303,Cora,feature_similar_cross_class,0.3,5,DegreeAwareRandom,GCN
0.665,0.6626906170707032,0.614,3.0210464000701904,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,5,StabilityResidual-frozen,GCN
0.626,0.6185705949426792,0.628,0.8778097629547119,10348,0.2458825244133508,Cora,feature_similar_cross_class,0.3,5,IDGL-Proxy,GCN
0.638,0.6298485658821557,0.596,0.9520292282104492,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,5,ProGNN-Proxy,GCN
0.658,0.6573965469379887,0.658,3.4553866386413574,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,5,LDS-Proxy,GCN
0.569,0.5620907940972384,0.608,0.6790246963500977,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,6,Feature-only,GCN
0.639,0.6269020797361556,0.656,0.5552277565002441,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,6,Random-Matched,GCN
0.579,0.5749225161304388,0.606,0.45610785484313965,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,6,GCN-Jaccard,GCN
0.639,0.6204510160251174,0.64,0.3527851104736328,10476,0.2365544381285527,Cora,feature_similar_cross_class,0.3,6,DegreeAwareRandom,GCN
0.642,0.6234798696923864,0.658,2.7588202953338623,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,6,StabilityResidual-frozen,GCN
0.643,0.6349864745258632,0.64,0.9690132141113281,10516,0.23363941116455322,Cora,feature_similar_cross_class,0.3,6,IDGL-Proxy,GCN
0.635,0.6084898289509154,0.634,0.9335122108459473,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,6,ProGNN-Proxy,GCN
0.677,0.6672886662856691,0.682,3.130943536758423,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,6,LDS-Proxy,GCN
0.6,0.5853939970037964,0.582,0.5853164196014404,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,Feature-only,GCN
0.635,0.6215577128003871,0.614,0.5617454051971436,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,Random-Matched,GCN
0.603,0.585995983524871,0.592,0.34504151344299316,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,GCN-Jaccard,GCN
0.641,0.6251796351756498,0.644,0.2584872245788574,10524,0.23305640577175335,Cora,feature_similar_cross_class,0.3,7,DegreeAwareRandom,GCN
0.662,0.6485422066430784,0.636,2.895503282546997,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,StabilityResidual-frozen,GCN
0.636,0.6240839139094018,0.612,0.9283318519592285,10628,0.22547733566535488,Cora,feature_similar_cross_class,0.3,7,IDGL-Proxy,GCN
0.658,0.6382702109978088,0.636,0.950444221496582,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,ProGNN-Proxy,GCN
0.685,0.6809032936123948,0.644,3.3497066497802734,10978,0.19997084973036006,Cora,feature_similar_cross_class,0.3,7,LDS-Proxy,GCN
