dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,hp_score_ratio,hp_lambda_pos,hp_lambda_neg,hp_consistency_weight,hp_checkpoint_fractions,hp_total_epochs,diag_method,diag_lambda_pos,diag_lambda_neg,diag_consistency_weight,diag_num_checkpoints,diag_feature_risk_mean,diag_mean_grad_mean,diag_consistency_mean,diag_stability_mean,diag_confidence_mean,diag_hybrid_score_mean,diag_hybrid_score_std,diag_edge_score_auc,diag_mode,diag_degree_norm,diag_dynamic_grad_mean,diag_pos_grad_mean,diag_neg_grad_mean,hp_num_views,hp_edge_dropout_rates,hp_use_gradient_confidence,hp_gradient_abstention_threshold,hp_checkpoint_control,diag_num_views,diag_use_gradient_confidence,diag_gradient_abstention_threshold,diag_skip_residualization,diag_feature_sim_mean,diag_raw_edge_score_mean,diag_raw_edge_score_std,diag_node_instability_mean,diag_node_entropy_mean,diag_node_jsd_mean,diag_node_confidence_mean,diag_projection_ratio,diag_residual_mean,diag_residual_std,diag_abstention_fraction,diag_edge_score_mean,diag_edge_score_std,diag_gradient_confidence_mean,diag_gradient_confidence_std,diag_projection_beta,diag_alpha,diag_residual_feature_sim_corr,diag_residual_auc,diag_raw_stability_auc,diag_feature_risk_auc
Texas,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.6756756756756757,0.30338983050847457,0.6440677966101694,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.06734006851911545,746,594,0.5799381732940674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,0,GCN-Jaccard,jaccard,GCN,0.6486486486486487,0.2,0.5932203389830508,0.02631578947368421,0.023255813953488372,0.024691358024691357,0.20375335120643434,0.06702413409948349,0.06397306174039841,746,594,0.17400860786437988,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,0,DegreeAwareRandom,degree_aware_random,GCN,0.6216216216216216,0.19491525423728814,0.5932203389830508,0.19696969696969696,0.1511627906976744,0.17105263157894737,0.1769436997319035,0.06702413409948349,0.06840390712022781,746,614,0.15891551971435547,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,0,MCGC-cw3.0-lp0.1-ln0.5,mcgc,GCN,0.5675675675675675,0.310760667903525,0.6101694915254238,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.06397306174039841,746,594,0.786705732345581,0.3,0.1,0.5,3.0,"[0.3, 0.5, 0.7, 0.9]",200.0,mcgc,0.1,0.5,3.0,4.0,0.6200312376022339,-5.987642362015322e-05,0.7081099152565002,0.279013991355896,0.5,0.3068273365497589,0.4048609137535095,0.24925046592658615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,0,GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,hybrid_baseline,GCN,0.6216216216216216,0.19827586206896552,0.6101694915254238,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.07407407462596893,746,594,0.3339810371398926,0.3,0.1,0.5,,,,,0.1,0.5,,,0.6200312376022339,,,,,0.30000004172325134,0.312532514333725,0.2263592901709748,feature_pos_neg,False,-2.3088759917300195e-06,0.0007585787680000067,0.0007608876912854612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual,GCN,0.5405405405405406,0.19230769230769232,0.6101694915254238,0.039473684210526314,0.03488372093023256,0.03703703703703704,0.20375335120643434,0.06702413409948349,0.07407407462596893,746,594,1.2602150440216064,0.3,,,,,200.0,stability_residual,,,,,0.6200312376022339,,,,,,,0.2945668908516328,,,,,,5.0,"[0.0, 0.1, 0.15, 0.2, 0.3]",True,0.1,frozen,5.0,True,0.1,False,0.3799688220024109,0.8619028329849243,0.41279101371765137,0.5000000596046448,0.5940030813217163,0.07172746956348419,0.7739459872245789,0.011148758232593536,0.5,0.2892563045024872,0.10053619742393494,0.7196367383003235,0.3278818130493164,1.0,0.0,0.10565852373838425,0.5,-0.009907057508826256,0.5492058990357346,0.5230329794992303,0.24633336034357023
Texas,feature_similar_cross_class,0.3,0,Random-Matched,random_matched,GCN,0.6216216216216216,0.19166666666666668,0.576271186440678,0.25,0.22093023255813954,0.23456790123456792,0.20375335120643434,0.06702413409948349,0.08080808073282242,746,594,0.1927049160003662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,1,Feature-only,feature_only,GCN,0.6756756756756757,0.34461152882205515,0.6271186440677966,0.0,0.0,0.0,0.20375335120643434,0.06702413409948349,0.06734006851911545,746,594,0.20485305786132812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,1,GCN-Jaccard,jaccard,GCN,0.5945945945945946,0.2,0.6271186440677966,0.013157894736842105,0.011627906976744186,0.012345679012345678,0.20375335120643434,0.06702413409948349,0.06397306174039841,746,594,0.2600820064544678,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,feature_similar_cross_class,0.3,1,DegreeAwareRandom,degree_aware_random,GCN,0.5945945945945946,0.2534090909090909,0.6271186440677966,0.18461538461538463,0.13953488372093023,0.15894039735099336,0.1742627345844504,0.06702413409948349,0.06168831139802933,746,616,0.1991121768951416,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
