dataset,noise_type,noise_ratio,seed,method,method_type,downstream_model,test_acc,test_f1,val_acc,bad_edge_precision,bad_edge_recall,bad_edge_f1,actual_prune_ratio,edge_homophily_before,edge_homophily_after,num_edges_before,num_edges_after,runtime,b0_count,b0_bad_count,b0_fo_prune_count,b0_fo_bad_prune_count,b0_fo_precision,b0_fo_recall,b0_fo_f1,b0_sr_prune_count,b0_sr_bad_prune_count,b0_sr_precision,b0_sr_recall,b0_sr_f1,b0_feature_risk_auc,b0_raw_stability_auc,b0_residual_auc,b0_both_pruned,b0_fo_only_pruned,b0_sr_only_pruned,b0_fo_only_bad_count,b0_sr_only_bad_count,b0_fo_only_bad_rate,b0_sr_only_bad_rate,b1_count,b1_bad_count,b1_fo_prune_count,b1_fo_bad_prune_count,b1_fo_precision,b1_fo_recall,b1_fo_f1,b1_sr_prune_count,b1_sr_bad_prune_count,b1_sr_precision,b1_sr_recall,b1_sr_f1,b1_feature_risk_auc,b1_raw_stability_auc,b1_residual_auc,b1_both_pruned,b1_fo_only_pruned,b1_sr_only_pruned,b1_fo_only_bad_count,b1_sr_only_bad_count,b1_fo_only_bad_rate,b1_sr_only_bad_rate,b2_count,b2_bad_count,b2_fo_prune_count,b2_fo_bad_prune_count,b2_fo_precision,b2_fo_recall,b2_fo_f1,b2_sr_prune_count,b2_sr_bad_prune_count,b2_sr_precision,b2_sr_recall,b2_sr_f1,b2_feature_risk_auc,b2_raw_stability_auc,b2_residual_auc,b2_both_pruned,b2_fo_only_pruned,b2_sr_only_pruned,b2_fo_only_bad_count,b2_sr_only_bad_count,b2_fo_only_bad_rate,b2_sr_only_bad_rate,phase,projection_ratio,projection_beta,residual_feature_sim_corr,alpha,abstention_fraction,gradient_confidence_mean
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.607,0.5763596925101873,0.596,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.7728652954101562,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572562979189486,0.5653315097412732,0.5687337196170457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6079018075232047,0.589081423157115,0.5906206196857509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,0.15760108691830949,0.6227208526601168,0.6187118591142111,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Residual-LowOnly,bucket_gated_residual,GCN,0.607,0.5762075840092296,0.592,0.08892128279883382,0.07706885660138976,0.08257191201353638,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.8253815174102783,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.4,0.012048192771084338,0.023391812865497078,0.7572562979189486,0.5653315097412732,0.5687337196170457,0.0,0.0,10.0,0.0,4.0,0.0,0.4,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6079018075232047,0.589081423157115,0.5906206196857509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,2734.0,240.0,0.08778346744696415,0.2037351443123939,0.12269938650306747,0.15760108691830949,0.6227208526601168,0.6187118591142111,2732.0,12.0,2.0,4.0,2.0,0.3333333333333333,1.0,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Residual-MediumOnly,bucket_gated_residual,GCN,0.641,0.6253681989700806,0.634,0.22448979591836735,0.1945672773215414,0.20846023688663284,0.19997084973036006,0.6230869889259338,0.6363636255264282,13722,10978,0.7559142112731934,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572562979189486,0.5653315097412732,0.5687337196170457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,1228.0,616.0,0.501628664495114,0.3719806763285024,0.4271844660194175,0.6079018075232047,0.589081423157115,0.5906206196857509,0.0,0.0,1228.0,0.0,616.0,0.0,0.501628664495114,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,1516.0,0.0,0.0,0.0,0.0,0.15760108691830949,0.6227208526601168,0.6187118591142111,1516.0,1228.0,0.0,242.0,0.0,0.1970684039087948,0.0,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Residual-HighOnly,bucket_gated_residual,GCN,0.653,0.6266400109371838,0.636,0.2478134110787172,0.2147820593809223,0.23011844331641285,0.19997084973036006,0.6230869889259338,0.6445618271827698,13722,10978,0.7798178195953369,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572562979189486,0.5653315097412732,0.5687337196170457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6079018075232047,0.589081423157115,0.5906206196857509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,2744.0,680.0,0.2478134110787172,0.5772495755517827,0.34676185619581845,0.15760108691830949,0.6227208526601168,0.6187118591142111,1938.0,806.0,806.0,84.0,522.0,0.10421836228287841,0.6476426799007444,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Stability,feature_plus_stability,GCN,0.647,0.6199680725537916,0.656,0.30029154518950435,0.2602653190145294,0.27884940778341794,0.19997084973036006,0.6230869889259338,0.6562215089797974,13722,10978,0.7843830585479736,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572562979189486,0.5653315097412732,0.5687337196170457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,242.0,148.0,0.6115702479338843,0.0893719806763285,0.1559536354056902,0.6079018075232047,0.589081423157115,0.5906206196857509,0.0,0.0,242.0,0.0,148.0,0.0,0.6115702479338843,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,2502.0,676.0,0.2701838529176659,0.5738539898132428,0.36739130434782613,0.15760108691830949,0.6227208526601168,0.6187118591142111,1756.0,988.0,746.0,86.0,520.0,0.08704453441295547,0.6970509383378016,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,StabilityResidual-v5-dp0.15-grad-frozen,stability_residual_full,GCN,0.646,0.618594691987209,0.656,0.30029154518950435,0.2602653190145294,0.27884940778341794,0.19997084973036006,0.6230869889259338,0.6562215089797974,13722,10978,0.7640206813812256,4578.0,332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7572562979189486,0.5653315097412732,0.5687337196170457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4682.0,1656.0,0.0,0.0,0.0,0.0,0.0,242.0,148.0,0.6115702479338843,0.0893719806763285,0.1559536354056902,0.6079018075232047,0.589081423157115,0.5906206196857509,0.0,0.0,242.0,0.0,148.0,0.0,0.6115702479338843,4462.0,1178.0,2744.0,242.0,0.08819241982507289,0.20543293718166383,0.12340642529321773,2502.0,676.0,0.2701838529176659,0.5738539898132428,0.36739130434782613,0.15760108691830949,0.6227208526601168,0.6187118591142111,1756.0,988.0,746.0,86.0,520.0,0.08704453441295547,0.6970509383378016,P0,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature-only,feature_only,GCN,0.615,0.5854168442753288,0.6,0.08819241982507289,0.0764371446620341,0.08189509306260574,0.19997084973036006,0.6230869889259338,0.6068500280380249,13722,10978,0.772540807723999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Confidence,feature_plus_confidence,GCN,0.638,0.6154736834676102,0.622,0.2456268221574344,0.21288692356285535,0.22808798646362097,0.19997084973036006,0.6230869889259338,0.6440153121948242,13722,10978,0.9810183048248291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,0.1190946102142334,,,,,
Cora,feature_similar_cross_class,0.3,0,Feature+Stability,feature_plus_stability,GCN,0.644,0.6163954437724749,0.656,0.30029154518950435,0.2602653190145294,0.27884940778341794,0.19997084973036006,0.6230869889259338,0.6562215089797974,13722,10978,0.7557556629180908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,0.0016278809634968638,-0.04034847766160965,0.0015169545076787472,0.5,0.10005829483270645,0.9999999403953552
Cora,feature_similar_cross_class,0.3,0,Feature+Random Stability,feature_plus_random_stability,GCN,0.618,0.5922135392800534,0.636,0.16326530612244897,0.14150347441566646,0.15160744500846024,0.19997084973036006,0.6230869889259338,0.620695948600769,13722,10978,0.8340692520141602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P1,4.569793964037672e-05,,,,,
