phase,method,mean,std,count
P1,Feature+Stability,0.68295,0.06522700155490496,180
P0,Feature+Stability,0.6825,0.0655825208352511,180
P0,StabilityResidual-v5-dp0.15-grad-frozen,0.6822722222222222,0.0663527757083014,180
P1,Feature+Confidence,0.6810166666666666,0.06793354253325319,180
P0,Feature+Residual-HighOnly,0.68075,0.06622999328984708,180
P0,Feature+Residual-LowOnly,0.6770277777777778,0.072567859250163,180
P1,Feature+Random Stability,0.6747388888888889,0.06737739652883871,180
P1,Feature+Shuffled Stability,0.6738777777777778,0.06672294551892394,180
P1,Feature+Permuted Stability,0.6720833333333333,0.06652146081230748,180
P1,Feature-only,0.6710166666666667,0.06613288425502291,180
P0,Feature-only,0.6708666666666667,0.0663946555027557,180
P0,Feature+Residual-MediumOnly,0.6681388888888888,0.06634653934965065,180
