phase,method,mean,std,count
P1,Feature+Stability,0.6331,0.04918994660962369,60
P0,Feature+Stability,0.6325000000000001,0.04973949084130784,60
P0,StabilityResidual-v5-dp0.15-grad-frozen,0.6315333333333334,0.051392628458632184,60
P1,Feature+Confidence,0.6299833333333333,0.051342152922006126,60
P0,Feature+Residual-HighOnly,0.6277,0.04792235952426466,60
P1,Feature+Permuted Stability,0.6168,0.04605258600736879,60
P0,Feature+Residual-MediumOnly,0.6164166666666666,0.04870258812830665,60
P1,Feature+Random Stability,0.6157666666666667,0.04628554215334821,60
P1,Feature+Shuffled Stability,0.6153166666666667,0.048367761944090586,60
P1,Feature-only,0.6114333333333334,0.049944839629832836,60
P0,Feature-only,0.61095,0.0500174291656317,60
P0,Feature+Residual-LowOnly,0.61005,0.050511091247200955,60
