scope,score_type,auc
global,feature_risk,0.753537998566904
global,confidence_edge_score,0.797938421255989
global,raw_stability_score,0.6028374674345326
global,residualized_stability,0.5991035805824578
global,stability_residual_final,0.8026877621374415
conf_bucket_0,feature_risk,0.6686730014109876
conf_bucket_0,raw_stability_score,0.5189094934609986
conf_bucket_0,residualized_stability,0.5189456984614829
conf_bucket_0,stability_residual_final,0.6846859406381908
conf_bucket_0,confidence_edge_score,0.6842221917943967
conf_bucket_0,resid_minus_conf,0.0004637488437940762
conf_bucket_1,feature_risk,0.6645318850478218
conf_bucket_1,raw_stability_score,0.43753040052813197
conf_bucket_1,residualized_stability,0.4412747416833576
conf_bucket_1,stability_residual_final,0.6591020044352031
conf_bucket_1,confidence_edge_score,0.6262246133838932
conf_bucket_1,resid_minus_conf,0.03287739105130982
conf_bucket_2,feature_risk,0.6240087677342102
conf_bucket_2,raw_stability_score,0.46618290279104413
conf_bucket_2,residualized_stability,0.47111596810053774
conf_bucket_2,stability_residual_final,0.6517100786959265
conf_bucket_2,confidence_edge_score,0.6118251129125034
conf_bucket_2,resid_minus_conf,0.03988496578342304
conf_bucket_3,feature_risk,0.4800394885671846
conf_bucket_3,raw_stability_score,0.5588369213648471
conf_bucket_3,residualized_stability,0.5599790907765426
conf_bucket_3,stability_residual_final,0.5825406041984634
conf_bucket_3,confidence_edge_score,0.5466278179632481
conf_bucket_3,resid_minus_conf,0.03591278623521532
conf_bucket_4,feature_risk,0.25523699605879724
conf_bucket_4,raw_stability_score,0.5765787284354758
conf_bucket_4,residualized_stability,0.5709085601558281
conf_bucket_4,stability_residual_final,0.4971337707789404
conf_bucket_4,confidence_edge_score,0.4614696350804756
conf_bucket_4,resid_minus_conf,0.03566413569846477
high_ambig_conf_bucket_0,feature_risk,0.48854730745292957
high_ambig_conf_bucket_0,raw_stability_score,0.5975358602810528
high_ambig_conf_bucket_0,residualized_stability,0.5936899352122373
high_ambig_conf_bucket_0,stability_residual_final,0.6152664223541814
high_ambig_conf_bucket_0,confidence_edge_score,0.6081849393793057
high_ambig_conf_bucket_0,resid_minus_conf,0.0070814829748756525
high_ambig_conf_bucket_1,feature_risk,0.29797860890774164
high_ambig_conf_bucket_1,raw_stability_score,0.6533325595648097
high_ambig_conf_bucket_1,residualized_stability,0.6496575572991614
high_ambig_conf_bucket_1,stability_residual_final,0.5461267900588529
high_ambig_conf_bucket_1,confidence_edge_score,0.5247491961165328
high_ambig_conf_bucket_1,resid_minus_conf,0.021377593942320083
high_ambig_conf_bucket_2,feature_risk,0.3026283605255679
high_ambig_conf_bucket_2,raw_stability_score,0.6075824350377614
high_ambig_conf_bucket_2,residualized_stability,0.6045941914251134
high_ambig_conf_bucket_2,stability_residual_final,0.5281878520200541
high_ambig_conf_bucket_2,confidence_edge_score,0.5238427731410045
high_ambig_conf_bucket_2,resid_minus_conf,0.004345078879049669
high_ambig_conf_bucket_3,feature_risk,0.2880643079918159
high_ambig_conf_bucket_3,raw_stability_score,0.5884309016410767
high_ambig_conf_bucket_3,residualized_stability,0.5828204281537517
high_ambig_conf_bucket_3,stability_residual_final,0.5219895832149675
high_ambig_conf_bucket_3,confidence_edge_score,0.5123055992891983
high_ambig_conf_bucket_3,resid_minus_conf,0.00968398392576919
high_ambig_conf_bucket_4,feature_risk,0.15809671254501317
high_ambig_conf_bucket_4,raw_stability_score,0.5579998217007482
high_ambig_conf_bucket_4,residualized_stability,0.5502367956597262
high_ambig_conf_bucket_4,stability_residual_final,0.49263046666692445
high_ambig_conf_bucket_4,confidence_edge_score,0.3767682557104981
high_ambig_conf_bucket_4,resid_minus_conf,0.11586221095642635
