conf_stratum,count,bad_count,sr_pruned_count,conf_pruned_count,sr_bad_edge_rate,conf_bad_edge_rate,sr_minus_conf_bad_rate
0,70399,397,0,0,,,
1,70400,1352,0,0,,,
2,70399,2594,0,0,,,
3,70398,5576,1,0,0.0,,
4,70400,10172,29,0,0.27586206896551724,,
5,70399,17561,1156,0,0.4532871972318339,,
6,70398,25828,8296,0,0.5112102217936355,,
7,70404,29940,24511,691,0.4824364571008935,0.2821997105643994,0.2002367465364941
8,70396,35773,45643,69702,0.5198606577131214,0.5083067917706809,0.011553865942440456
9,70397,33257,61154,70397,0.4784151486411355,0.4724206997457278,0.005994448895407678
