dataset,model,Original,GraCA-lite
Actor,GCN,28.55 ± 1.34,28.47 ± 1.25
Actor,GAT,29.54 ± 0.99,29.47 ± 0.78
Actor,GraphSAGE,32.39 ± 0.80,32.53 ± 0.88
Texas,GCN,56.76 ± 5.06,55.68 ± 5.27
Texas,GAT,60.54 ± 6.22,57.84 ± 6.51
Texas,GraphSAGE,92.43 ± 3.52,88.11 ± 2.42
Cornell,GCN,41.08 ± 2.26,42.70 ± 2.26
Cornell,GAT,40.00 ± 1.21,40.54 ± 6.89
Cornell,GraphSAGE,68.65 ± 3.08,69.19 ± 1.48
Wisconsin,GCN,57.25 ± 2.91,56.08 ± 2.97
Wisconsin,GAT,49.80 ± 2.63,52.94 ± 3.67
Wisconsin,GraphSAGE,66.27 ± 3.51,64.71 ± 3.92
