Dataset,NoiseType,EdgeBench_F1,EdgeBench_F1_mean,EdgeBench_Precision,EdgeBench_Recall,EdgeInfluence-Pseudo_F1,EdgeInfluence-Pseudo_F1_mean,EdgeInfluence-Pseudo_Precision,EdgeInfluence-Pseudo_Recall,EdgeInfluence-Oracle_F1,EdgeInfluence-Oracle_F1_mean,EdgeInfluence-Oracle_Precision,EdgeInfluence-Oracle_Recall,Feature-only_F1,Feature-only_F1_mean,Feature-only_Precision,Feature-only_Recall
Actor,cross_class_oracle,0.2499 ± 0.0078,0.24991921081724638,0.2289,0.2751,0.1554 ± 0.0038,0.15542137936899397,0.1424,0.1711,0.1461 ± 0.0037,0.14606684241857298,0.1338,0.1608,0.0000 ± 0.0000,0.0,0.0000,0.0000
Actor,cross_class_train_safe,0.3227 ± 0.0063,0.3227485330385235,0.2957,0.3553,0.1091 ± 0.0018,0.10909090909090906,0.0999,0.1201,0.0943 ± 0.0025,0.09429373246024317,0.0864,0.1038,0.0000 ± 0.0000,0.0,0.0000,0.0000
Actor,degree_aligned_random,0.2214 ± 0.0054,0.22144740198996513,0.2029,0.2438,0.1732 ± 0.0056,0.1731779913257929,0.1586,0.1906,0.1743 ± 0.0042,0.17426651926184192,0.1596,0.1918,0.0000 ± 0.0000,0.0,0.0000,0.0000
Actor,low_feature_similarity,0.4081 ± 0.0075,0.40809592652436427,0.3739,0.4492,0.2779 ± 0.0059,0.27791478867250613,0.2546,0.3059,0.2892 ± 0.0042,0.2891742495110128,0.2649,0.3183,0.0000 ± 0.0000,0.0,0.0000,0.0000
Actor,random_inter_community,0.2550 ± 0.0055,0.2550216855174759,0.2336,0.2807,0.1450 ± 0.0035,0.144978314482524,0.1328,0.1596,0.1533 ± 0.0042,0.153312356492899,0.1404,0.1688,0.0000 ± 0.0000,0.0,0.0000,0.0000
CiteSeer,cross_class_oracle,0.6565 ± 0.0081,0.6565434565434565,0.6018,0.7222,0.4725 ± 0.0235,0.4725274725274724,0.4332,0.5198,0.4921 ± 0.0284,0.4921078921078922,0.4511,0.5413,0.6058 ± 0.0123,0.6057942057942058,0.5553,0.6664
CiteSeer,cross_class_train_safe,0.7247 ± 0.0131,0.7246753246753247,0.6643,0.7971,0.1744 ± 0.0139,0.17442557442557435,0.1599,0.1919,0.1804 ± 0.0145,0.1804195804195804,0.1654,0.1985,0.6006 ± 0.0119,0.6005994005994008,0.5505,0.6607
CiteSeer,degree_aligned_random,0.6312 ± 0.0047,0.6311688311688312,0.5786,0.6943,0.4685 ± 0.0166,0.46853146853146843,0.4295,0.5154,0.5049 ± 0.0173,0.5048951048951048,0.4628,0.5554,0.5780 ± 0.0020,0.5780219780219781,0.5299,0.6358
CiteSeer,low_feature_similarity,0.9091 ± 0.0000,0.9090909090909096,0.8333,1.0000,0.5886 ± 0.0355,0.5886113886113885,0.5396,0.6475,0.5776 ± 0.0288,0.5776223776223776,0.5295,0.6354,0.9091 ± 0.0000,0.9090909090909096,0.8333,1.0000
CiteSeer,random_inter_community,0.6521 ± 0.0138,0.6521478521478523,0.5978,0.7174,0.4567 ± 0.0135,0.45674325674325666,0.4187,0.5024,0.4827 ± 0.0219,0.4827172827172828,0.4425,0.5310,0.5990 ± 0.0112,0.5990009990009991,0.5491,0.6589
Cora,cross_class_oracle,0.5698 ± 0.0083,0.5697544161999137,0.5223,0.6267,0.4439 ± 0.0151,0.4439465747522618,0.4070,0.4883,0.4950 ± 0.0253,0.4949590693666523,0.4537,0.5445,0.4452 ± 0.0071,0.44515295131408883,0.4081,0.4897
Cora,cross_class_train_safe,0.6482 ± 0.0163,0.648168892718656,0.5942,0.7130,0.1644 ± 0.0172,0.16441189142610937,0.1507,0.1809,0.1580 ± 0.0158,0.1580353295993106,0.1449,0.1738,0.4569 ± 0.0093,0.45687203791469194,0.4188,0.5026
Cora,degree_aligned_random,0.5744 ± 0.0070,0.5744075829383888,0.5265,0.6318,0.4689 ± 0.0129,0.46893580353295994,0.4299,0.5158,0.4941 ± 0.0147,0.49409737182249025,0.4529,0.5435,0.4346 ± 0.0089,0.43464024127531237,0.3984,0.4781
Cora,low_feature_similarity,0.8114 ± 0.0068,0.8113744075829384,0.7438,0.8925,0.5737 ± 0.0168,0.5737182249030589,0.5259,0.6311,0.6244 ± 0.0259,0.6243860404997846,0.5724,0.6868,0.5980 ± 0.0000,0.5980180956484275,0.5482,0.6578
Cora,random_inter_community,0.6120 ± 0.0049,0.6119775958638518,0.5610,0.6732,0.4291 ± 0.0108,0.42912537699267544,0.3934,0.4720,0.4600 ± 0.0178,0.4599741490736751,0.4216,0.5060,0.5749 ± 0.0114,0.5749246014648858,0.5270,0.6324
PubMed,cross_class_oracle,0.6967 ± 0.0029,0.6967027331931696,0.6386,0.7664,0.5028 ± 0.0266,0.5028254961284038,0.4609,0.5531,0.4731 ± 0.0222,0.4731039433875185,0.4337,0.5204,0.6567 ± 0.0016,0.6567047843700321,0.6020,0.7224
PubMed,cross_class_train_safe,0.2328 ± 0.0002,0.23280279503105578,0.1317,0.9995,0.0000 ± 0.0000,0.0,0.0000,0.0000,0.0000 ± 0.0000,0.0,0.0000,0.0000,0.2036 ± 0.0000,0.2036102484472049,0.1152,0.8742
