Method,Dataset,NoiseType,Practical,F1_mean,Precision_mean,Recall_mean,F1_str
EdgeBench-InGraphSupervised,CiteSeer,cross_class_oracle,False,0.6257076257076258,0.5735653235653235,0.6882783882783882,0.6257
EdgeBench-InGraphSupervised,CiteSeer,degree_aligned_random,False,0.5934065934065934,0.5439560439560439,0.6527472527472528,0.5934
EdgeBench-InGraphSupervised,CiteSeer,low_feature_similarity,False,0.9090909090909092,0.8333333333333334,1.0,0.9091
EdgeBench-InGraphSupervised,Cora,cross_class_oracle,False,0.45842309349418353,0.4202211690363349,0.5042654028436019,0.4584
EdgeBench-InGraphSupervised,Cora,degree_aligned_random,False,0.45526353583225626,0.4173249078462349,0.5007898894154817,0.4553
EdgeBench-InGraphSupervised,Cora,low_feature_similarity,False,0.5980180956484273,0.5481832543443917,0.6578199052132702,0.5980
EdgeBench-InGraphSupervised,PubMed,cross_class_oracle,False,0.6587354494641301,0.6038356679514901,0.7246164259927799,0.6587
EdgeBench-InGraphSupervised,PubMed,degree_aligned_random,False,0.619250294856674,0.5676412522327724,0.681182310469314,0.6193
EdgeBench-InGraphSupervised,PubMed,low_feature_similarity,False,0.9090815855597149,0.8333176647551003,1.0,0.9091
EdgeInfluence-Oracle,CiteSeer,cross_class_oracle,False,0.4901764901764902,0.4493284493284493,0.5391941391941392,0.4902
EdgeInfluence-Oracle,CiteSeer,degree_aligned_random,False,0.5194805194805195,0.4761904761904761,0.5714285714285715,0.5195
EdgeInfluence-Oracle,CiteSeer,low_feature_similarity,False,0.6113886113886112,0.5604395604395604,0.6725274725274725,0.6114
EdgeInfluence-Oracle,Cora,cross_class_oracle,False,0.5150078988941549,0.47209057398630855,0.5665086887835703,0.5150
EdgeInfluence-Oracle,Cora,degree_aligned_random,False,0.5313801522332328,0.48709847288046343,0.5845181674565562,0.5314
EdgeInfluence-Oracle,Cora,low_feature_similarity,False,0.6462731581214994,0.5924170616113744,0.7109004739336493,0.6463
EdgeInfluence-Oracle,PubMed,cross_class_oracle,False,0.4654804027143908,0.42668672244680517,0.5120336943441636,0.4655
EdgeInfluence-Oracle,PubMed,degree_aligned_random,False,0.5281438558706392,0.4841277302497571,0.5809641997593261,0.5281
EdgeInfluence-Oracle,PubMed,low_feature_similarity,False,0.5791839734714459,0.5309141048541255,0.6371089049338147,0.5792
Feature-only,CiteSeer,cross_class_oracle,True,0.6017316017316018,0.5515873015873015,0.6619047619047619,0.6017
Feature-only,CiteSeer,degree_aligned_random,True,0.5790875790875791,0.5308302808302808,0.636996336996337,0.5791
Feature-only,CiteSeer,low_feature_similarity,True,0.9090909090909092,0.8333333333333334,1.0,0.9091
Feature-only,Cora,cross_class_oracle,True,0.44090191009622287,0.404160084254871,0.4849921011058452,0.4409
Feature-only,Cora,degree_aligned_random,True,0.4357317248312509,0.39942074776198,0.4793048973143759,0.4357
Feature-only,Cora,low_feature_similarity,True,0.5980180956484273,0.5481832543443917,0.6578199052132702,0.5980
Feature-only,PubMed,cross_class_oracle,True,0.6571628805360409,0.6023941587540347,0.7228865824308063,0.6572
Feature-only,PubMed,degree_aligned_random,True,0.6213698442814898,0.5695841559336906,0.6835138387484957,0.6214
Feature-only,PubMed,low_feature_similarity,True,0.9090815855597149,0.8333176647551003,1.0,0.9091
GraGE-FO,CiteSeer,cross_class_oracle,True,0.13952713952713947,0.12789987789987783,0.15347985347985346,0.1395
GraGE-FO,CiteSeer,degree_aligned_random,True,0.24275724275724275,0.22252747252747251,0.26703296703296703,0.2428
GraGE-FO,CiteSeer,low_feature_similarity,True,0.13653013653013646,0.12515262515262512,0.15018315018315012,0.1365
GraGE-FO,Cora,cross_class_oracle,True,0.2326583369237397,0.21327014218009474,0.25592417061611367,0.2327
GraGE-FO,Cora,degree_aligned_random,True,0.24414763751256638,0.22380200105318585,0.268562401263823,0.2441
GraGE-FO,Cora,low_feature_similarity,True,0.19646704006893576,0.1800947867298578,0.2161137440758293,0.1965
GraGE-FO,PubMed,cross_class_oracle,True,0.0602704134830692,0.055247406850302376,0.0662981347773766,0.0603
GraGE-FO,PubMed,degree_aligned_random,True,0.14081329162607045,0.12907774748519316,0.15489620938628157,0.1408
GraGE-FO,PubMed,low_feature_similarity,True,0.061022511666068334,0.05593682429256367,0.06712545126353787,0.0610
GraGE-Unrolled-K1,CiteSeer,cross_class_oracle,True,0.26873126873126874,0.24633699633699627,0.29560439560439555,0.2687
GraGE-Unrolled-K1,CiteSeer,degree_aligned_random,True,0.3133533133533133,0.28724053724053716,0.34468864468864463,0.3134
GraGE-Unrolled-K1,CiteSeer,low_feature_similarity,True,0.275058275058275,0.2521367521367521,0.30256410256410254,0.2751
GraGE-Unrolled-K1,Cora,cross_class_oracle,True,0.24903059026281768,0.22827804107424954,0.2739336492890995,0.2490
GraGE-Unrolled-K1,Cora,degree_aligned_random,True,0.27603044664656035,0.25302790942601366,0.3036334913112164,0.2760
GraGE-Unrolled-K1,Cora,low_feature_similarity,True,0.2197328737613097,0.2014218009478673,0.24170616113744073,0.2197
GraGE-Unrolled-K1,PubMed,cross_class_oracle,True,0.26969557116729054,0.24721882736360498,0.2966681708784596,0.2697
GraGE-Unrolled-K1,PubMed,degree_aligned_random,True,0.2968394783173512,0.27210052959794423,0.3265267749699157,0.2968
GraGE-Unrolled-K1,PubMed,low_feature_similarity,True,0.2875749961540433,0.26360816019554384,0.31633574007220217,0.2876
GraGE-Unrolled-K3,CiteSeer,cross_class_oracle,True,0.26873126873126874,0.24633699633699627,0.29560439560439555,0.2687
GraGE-Unrolled-K3,CiteSeer,degree_aligned_random,True,0.3133533133533133,0.28724053724053716,0.34468864468864463,0.3134
GraGE-Unrolled-K3,CiteSeer,low_feature_similarity,True,0.275058275058275,0.2521367521367521,0.30256410256410254,0.2751
GraGE-Unrolled-K3,Cora,cross_class_oracle,True,0.248743357748097,0.22801474460242224,0.27361769352290677,0.2487
GraGE-Unrolled-K3,Cora,degree_aligned_random,True,0.27603044664656035,0.25302790942601366,0.3036334913112164,0.2760
GraGE-Unrolled-K3,Cora,low_feature_similarity,True,0.2197328737613097,0.2014218009478673,0.24170616113744073,0.2197
GraGE-Unrolled-K3,PubMed,cross_class_oracle,True,0.26969557116729054,0.24721882736360498,0.2966681708784596,0.2697
GraGE-Unrolled-K3,PubMed,degree_aligned_random,True,0.2968394783173512,0.27210052959794423,0.3265267749699157,0.2968
GraGE-Unrolled-K3,PubMed,low_feature_similarity,True,0.28760918243508876,0.26363949735201025,0.3163733453670277,0.2876
Random-Matched,CiteSeer,cross_class_oracle,True,0.17748917748917745,0.16269841269841265,0.19523809523809524,0.1775
Random-Matched,CiteSeer,degree_aligned_random,True,0.17748917748917745,0.16269841269841265,0.19523809523809524,0.1775
Random-Matched,CiteSeer,low_feature_similarity,True,0.17748917748917745,0.16269841269841265,0.19523809523809524,0.1775
Random-Matched,Cora,cross_class_oracle,True,0.18440327445066781,0.16903633491311212,0.20284360189573455,0.1844
Random-Matched,Cora,degree_aligned_random,True,0.18440327445066781,0.16903633491311212,0.20284360189573455,0.1844
Random-Matched,Cora,low_feature_similarity,True,0.18440327445066781,0.16903633491311212,0.20284360189573455,0.1844
Random-Matched,PubMed,cross_class_oracle,True,0.18364870177597725,0.16834320453762022,0.20201564380264736,0.1836
Random-Matched,PubMed,degree_aligned_random,True,0.18364870177597725,0.16834320453762022,0.20201564380264736,0.1836
Random-Matched,PubMed,low_feature_similarity,True,0.18364870177597725,0.16834320453762022,0.20201564380264736,0.1836
