GraGE_Method,Baseline,Dataset,NoiseType,Model,GraGE_mean,Baseline_mean,Delta_mean,t_stat,p_value,Significance,n_seeds
GraGE-FO,Feature-only,CiteSeer,cross_class_oracle,GCN,0.588,0.6473333333333334,-0.059333333333333384,-3.0208568381944816,0.09433227553888238,ns,3
GraGE-FO,Feature-only,CiteSeer,degree_aligned_random,GCN,0.6326666666666666,0.6536666666666667,-0.02100000000000002,-2.5220184224301225,0.1277717852222395,ns,3
GraGE-FO,Feature-only,CiteSeer,low_feature_similarity,GCN,0.5829999999999999,0.674,-0.09100000000000008,-14.57166199626293,0.004676564990084345,**,3
GraGE-FO,Feature-only,Cora,cross_class_oracle,GCN,0.702,0.7080000000000001,-0.006000000000000005,-0.628970902033151,0.5936287231128422,ns,3
GraGE-FO,Feature-only,Cora,degree_aligned_random,GCN,0.723,0.7366666666666667,-0.01366666666666668,-1.253992687923563,0.336548733412207,ns,3
GraGE-FO,Feature-only,Cora,low_feature_similarity,GCN,0.6833333333333332,0.729,-0.04566666666666663,-3.666720933869501,0.06699038921579911,ns,3
GraGE-FO,Feature-only,PubMed,cross_class_oracle,GCN,0.6306666666666666,0.7303333333333333,-0.09966666666666664,-3.7939396971188537,0.06298133032937148,ns,3
GraGE-FO,Feature-only,PubMed,degree_aligned_random,GCN,0.7223333333333333,0.7636666666666666,-0.04133333333333337,-4.403369110216296,0.04789870530049657,*,3
GraGE-FO,Feature-only,PubMed,low_feature_similarity,GCN,0.677,0.7703333333333333,-0.09333333333333334,-4.415612913699633,0.04765210090839692,*,3
GraGE-Unrolled-K1,Feature-only,CiteSeer,cross_class_oracle,GCN,0.6306666666666666,0.6473333333333334,-0.01666666666666668,-1.5740713750513964,0.25613026220424706,ns,3
GraGE-Unrolled-K1,Feature-only,CiteSeer,degree_aligned_random,GCN,0.6526666666666667,0.6536666666666667,-0.0010000000000000009,-0.11020775375559676,0.9223069031134494,ns,3
GraGE-Unrolled-K1,Feature-only,CiteSeer,low_feature_similarity,GCN,0.6263333333333333,0.674,-0.04766666666666671,-5.4048919640319495,0.03256843089133653,*,3
GraGE-Unrolled-K1,Feature-only,Cora,cross_class_oracle,GCN,0.6996666666666668,0.7080000000000001,-0.008333333333333304,-0.874639285676648,0.4740046640851647,ns,3
GraGE-Unrolled-K1,Feature-only,Cora,degree_aligned_random,GCN,0.7253333333333333,0.7366666666666667,-0.011333333333333343,-0.8532055424884425,0.4834234433566506,ns,3
GraGE-Unrolled-K1,Feature-only,Cora,low_feature_similarity,GCN,0.6956666666666665,0.729,-0.033333333333333326,-3.54440602504169,0.07120297904107824,ns,3
GraGE-Unrolled-K1,Feature-only,PubMed,cross_class_oracle,GCN,0.6806666666666666,0.7303333333333333,-0.04966666666666664,-2.64432239806002,0.11818880844653165,ns,3
GraGE-Unrolled-K1,Feature-only,PubMed,degree_aligned_random,GCN,0.7483333333333334,0.7636666666666666,-0.015333333333333346,-3.419153072736965,0.075925085756146,ns,3
GraGE-Unrolled-K1,Feature-only,PubMed,low_feature_similarity,GCN,0.7226666666666666,0.7703333333333333,-0.04766666666666671,-8.735115271475824,0.012853634888922189,*,3
GraGE-Unrolled-K3,Feature-only,CiteSeer,cross_class_oracle,GCN,0.6263333333333333,0.6473333333333334,-0.02100000000000002,-2.902886768779776,0.10100850640345363,ns,3
GraGE-Unrolled-K3,Feature-only,CiteSeer,degree_aligned_random,GCN,0.653,0.6536666666666667,-0.0006666666666666673,-0.07387168551531179,0.9478359469042699,ns,3
GraGE-Unrolled-K3,Feature-only,CiteSeer,low_feature_similarity,GCN,0.6276666666666667,0.674,-0.04633333333333337,-4.9360347283876225,0.03867786870842945,*,3
GraGE-Unrolled-K3,Feature-only,Cora,cross_class_oracle,GCN,0.7006666666666668,0.7080000000000001,-0.007333333333333303,-0.7269004605005971,0.5428556007921403,ns,3
GraGE-Unrolled-K3,Feature-only,Cora,degree_aligned_random,GCN,0.7253333333333334,0.7366666666666667,-0.011333333333333343,-0.7998339617402297,0.5077114582018548,ns,3
GraGE-Unrolled-K3,Feature-only,Cora,low_feature_similarity,GCN,0.6976666666666667,0.729,-0.031333333333333324,-3.080725569118979,0.09118276013708262,ns,3
GraGE-Unrolled-K3,Feature-only,PubMed,cross_class_oracle,GCN,0.6813333333333333,0.7303333333333333,-0.04899999999999997,-2.6483262521227577,0.11789237630446317,ns,3
GraGE-Unrolled-K3,Feature-only,PubMed,degree_aligned_random,GCN,0.7433333333333333,0.7636666666666666,-0.020333333333333353,-2.1620876752754246,0.1631262858703879,ns,3
GraGE-Unrolled-K3,Feature-only,PubMed,low_feature_similarity,GCN,0.723,0.7703333333333333,-0.04733333333333337,-9.509023328590436,0.010879168449044168,*,3
