method,noise_type,bad_edge_precision,bad_edge_recall,bad_edge_f1
Feature-only,cross_class_oracle,0.6414571660637887,0.5559354686236716,0.5956421976225524
Feature-only,degree_aligned_random,0.6206487506653102,0.5379014178423237,0.5763200455118213
Feature-only,feature_similar_cross_class,0.28902393013480265,0.2504879279128654,0.26837966317964346
Feature-only,low_feature_similarity,0.8251416540541632,0.715129295721178,0.7662067118108853
Feature-only,random_inter_community,0.6512824173434997,0.5644507351564705,0.6047656732235708
GraGE-FO-absgrad,cross_class_oracle,0.13111103053368103,0.11363257894143625,0.12174768981230288
GraGE-FO-absgrad,degree_aligned_random,0.18961875407395967,0.1643392354791213,0.17607626889067352
GraGE-FO-absgrad,feature_similar_cross_class,0.1291532925580932,0.11193581809949182,0.11992975892705934
GraGE-FO-absgrad,low_feature_similarity,0.12929064909942165,0.11205454318975616,0.12005712219825106
GraGE-FO-absgrad,random_inter_community,0.12617793319674367,0.10935706117214383,0.11716686086515612
GraGE-FO-grad,cross_class_oracle,0.0997130071591832,0.08642072065596364,0.09259224577344663
GraGE-FO-grad,degree_aligned_random,0.16537969887065376,0.14333271431836592,0.1535689536014765
GraGE-FO-grad,feature_similar_cross_class,0.11516366416739506,0.0998115415991557,0.1069394287972827
GraGE-FO-grad,low_feature_similarity,0.09072662174890435,0.07863224707567737,0.0842475884046831
GraGE-FO-grad,random_inter_community,0.10053053657623083,0.0871292760296074,0.09335139738149725
GraGE-FO-neggrad,cross_class_oracle,0.021010107472214753,0.018209156781653076,0.0195096133586018
GraGE-FO-neggrad,degree_aligned_random,0.03553929909397466,0.030801283666950268,0.03300109787957992
GraGE-FO-neggrad,feature_similar_cross_class,0.021185933565503676,0.018361594400551934,0.019672912016105177
GraGE-FO-neggrad,low_feature_similarity,0.019950941405422813,0.01729121878662349,0.0185261054141527
GraGE-FO-neggrad,random_inter_community,0.04967506497655572,0.04305325532825868,0.04612772556624571
GraGE-Hybrid-FO-pos-lam0.25,cross_class_oracle,0.596895071186387,0.5173147423500134,0.5542629694490184
GraGE-Hybrid-FO-pos-lam0.25,degree_aligned_random,0.5960364588233966,0.5165708631290402,0.5534658308898577
GraGE-Hybrid-FO-pos-lam0.25,feature_similar_cross_class,0.26957258343275753,0.23363052478766452,0.2503179455839983
GraGE-Hybrid-FO-pos-lam0.25,low_feature_similarity,0.7795078835155187,0.6755805498217389,0.7238327958664947
GraGE-Hybrid-FO-pos-lam0.25,random_inter_community,0.6126937217626663,0.5310072446960961,0.5689333392787032
GraGE-Hybrid-FO-pos-lam0.5,cross_class_oracle,0.54113226660193,0.46898691160192246,0.5024831840104143
GraGE-Hybrid-FO-pos-lam0.5,degree_aligned_random,0.5547885791446837,0.4808226522483501,0.5151642004997103
GraGE-Hybrid-FO-pos-lam0.5,feature_similar_cross_class,0.2601142159422551,0.2254341715164244,0.2415356915128375
GraGE-Hybrid-FO-pos-lam0.5,low_feature_similarity,0.6887960831967933,0.5969638685234198,0.6396005317193425
GraGE-Hybrid-FO-pos-lam0.5,random_inter_community,0.5596917583433201,0.48507223390022225,0.5197172442629115
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,cross_class_oracle,0.682753629222319,0.5917261646241689,0.6339891590289661
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,degree_aligned_random,0.6533253682300896,0.5662216769007347,0.6066629196284284
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_similar_cross_class,0.3891669076354971,0.3372802479635244,0.36137056930078837
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,low_feature_similarity,0.8614659244199288,0.7466122893745699,0.7999375160307859
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,random_inter_community,0.6646291055725029,0.5760173525361204,0.6171587324669616
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,cross_class_oracle,0.6419970473198818,0.5564034665749504,0.5961435738236647
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,degree_aligned_random,0.6310998677220124,0.5469594173555392,0.5860248635508035
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_similar_cross_class,0.32003423442326184,0.2773645827816231,0.29717555288590236
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,low_feature_similarity,0.828927774654446,0.7184116282786532,0.7697229852850755
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,random_inter_community,0.6415053179144445,0.555977002809096,0.5956867967430469
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,cross_class_oracle,0.5629644807562764,0.4879082600629185,0.5227560095078503
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,degree_aligned_random,0.5724950563956948,0.49616836894044414,0.5316059885364212
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_similar_cross_class,0.2773737447727488,0.24039260300807377,0.25756249624977123
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,low_feature_similarity,0.7195488647200643,0.6236164120597844,0.668156762260094
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,random_inter_community,0.5757605903118892,0.4989984515515213,0.5346382431772972
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,cross_class_oracle,0.6037835577376837,0.523284728723713,0.5606594009830654
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,degree_aligned_random,0.5559835443948703,0.48185772877626715,0.5162734896542811
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,feature_similar_cross_class,0.27434979161905476,0.23777053628102726,0.25475378938592663
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,low_feature_similarity,0.7761272138927509,0.6726505078659519,0.720693529014628
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,random_inter_community,0.5955689987863373,0.516165131005796,0.5530314164216765
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,cross_class_oracle,0.594052182058129,0.5148506583655867,0.5516230022092636
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,degree_aligned_random,0.5561572782094611,0.4820082908423099,0.5164348097553474
