method,noise_type,t_stat,p_value,significant
GraGE-FO-grad,cross_class_oracle,-8.763384257600709,2.2531140842676495e-05,True
GraGE-FO-grad,feature_similar_cross_class,-0.9346746459321522,0.37730591709687106,False
GraGE-FO-grad,degree_aligned_random,-4.8269660907241985,0.001309683957192783,True
GraGE-FO-grad,random_inter_community,-4.796732382420928,0.0013612101734861973,True
GraGE-FO-grad,low_feature_similarity,-4.128512496701632,0.0033052184531209565,True
GraGE-FO-neggrad,cross_class_oracle,-16.72683172520482,1.6512811012806968e-07,True
GraGE-FO-neggrad,feature_similar_cross_class,-3.817244195057327,0.005109705614837142,True
GraGE-FO-neggrad,degree_aligned_random,-9.341572674160991,1.40805940867988e-05,True
GraGE-FO-neggrad,random_inter_community,-6.469839113080972,0.0001941895016162926,True
GraGE-FO-neggrad,low_feature_similarity,-7.272557037622105,8.614657198195346e-05,True
GraGE-FO-absgrad,cross_class_oracle,-7.61637938576725,6.208999358458406e-05,True
GraGE-FO-absgrad,feature_similar_cross_class,-0.9874569854626906,0.3523391187000461,False
GraGE-FO-absgrad,degree_aligned_random,-6.795404839808347,0.00013847077967689466,True
GraGE-FO-absgrad,random_inter_community,-4.984052266582213,0.0010740302763349457,True
GraGE-FO-absgrad,low_feature_similarity,-7.816081123754475,5.1606760031538776e-05,True
GraGE-Hybrid-FO-pos-lam0.25,cross_class_oracle,-2.1834760286221524,0.060533555164928,False
GraGE-Hybrid-FO-pos-lam0.25,feature_similar_cross_class,-0.7188507574477825,0.49269221237436045,False
GraGE-Hybrid-FO-pos-lam0.25,degree_aligned_random,0.47358393380057934,0.6484509551537448,False
GraGE-Hybrid-FO-pos-lam0.25,random_inter_community,-0.9091372900969896,0.3898448227613249,False
GraGE-Hybrid-FO-pos-lam0.25,low_feature_similarity,0.26785981207297005,0.7955840053707041,False
GraGE-Hybrid-FO-pos-lam0.5,cross_class_oracle,-1.7127059643286648,0.125121701071488,False
GraGE-Hybrid-FO-pos-lam0.5,feature_similar_cross_class,0.07339758434175875,0.9432917272820076,False
GraGE-Hybrid-FO-pos-lam0.5,degree_aligned_random,-0.19017993888717225,0.8539052853388274,False
GraGE-Hybrid-FO-pos-lam0.5,random_inter_community,-0.944545339630402,0.37253977872380023,False
GraGE-Hybrid-FO-pos-lam0.5,low_feature_similarity,-1.9209468759882464,0.0909825762169141,False
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,cross_class_oracle,0.6983247315758435,0.5047632025892269,False
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,feature_similar_cross_class,3.184391759377756,0.012911861128243876,True
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,degree_aligned_random,-0.9989031743698379,0.3470930725825159,False
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,random_inter_community,0.26148818018424536,0.8003222160594003,False
GraGE-Hybrid-FO-posneg-lp0.1-ln0.5,low_feature_similarity,0.5590169943749475,0.5914505387017684,False
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,cross_class_oracle,-0.5192312590865988,0.6176544754510102,False
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,feature_similar_cross_class,1.783656808017757,0.1123219568486976,False
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,degree_aligned_random,-1.0900333518534713,0.30743936461195326,False
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,random_inter_community,1.6905174345563363,0.129395770847224,False
GraGE-Hybrid-FO-posneg-lp0.25-ln0.25,low_feature_similarity,0.3698495264132217,0.7210938079288809,False
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,cross_class_oracle,-1.830417261289722,0.10457021873738619,False
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,feature_similar_cross_class,0.3517726516033871,0.734094729174277,False
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,degree_aligned_random,0.0,1.0,False
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,random_inter_community,-0.8534918135881965,0.4182071776354815,False
GraGE-Hybrid-FO-posneg-lp0.5-ln0.1,low_feature_similarity,-0.5996253511966892,0.5653477729093991,False
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,cross_class_oracle,-1.678563839888301,0.1317540631214509,False
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,feature_similar_cross_class,-0.7645368463118911,0.4664978531788348,False
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,degree_aligned_random,-0.8310520332773325,0.4300477754376982,False
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,random_inter_community,0.49330113278256593,0.6350552276592792,False
GraGE-Hybrid-UnrolledK1-posneg-lp0.25-ln0.25,low_feature_similarity,0.0,1.0,False
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,cross_class_oracle,-3.9842260312250257,0.004037765920357329,True
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,feature_similar_cross_class,-1.7899158549963001,0.11125381956915992,False
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,degree_aligned_random,-0.6594689749025805,0.5281180474424663,False
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,random_inter_community,0.49221682989485277,0.6357882538149504,False
GraGE-Hybrid-UnrolledK3-posneg-lp0.25-ln0.25,low_feature_similarity,0.46212096606669445,0.6563023162941656,False
