method,noise_type,dataset,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,val_acc_mean,val_acc_std
Feature-only,cross_class_oracle,CiteSeer,0.612,0.022869193252058592,0.5858382907668931,0.022506812288604943,0.624,0.020784609690826544
Feature-only,cross_class_oracle,Cora,0.6789999999999999,0.00655743852430201,0.658585012322722,0.014279304929423146,0.6633333333333334,0.011547005383792509
Feature-only,cross_class_oracle,PubMed,0.706,0.009165151389911688,0.6990679735822894,0.00931623480315507,0.7086666666666667,0.015011106998930292
Feature-only,degree_aligned_random,CiteSeer,0.6403333333333333,0.014977761292440677,0.6162981248556089,0.016047128487590608,0.6446666666666667,0.015011106998930292
Feature-only,degree_aligned_random,Cora,0.725,0.007000000000000006,0.7122998900155909,0.00909027636988852,0.702,0.024248711305964305
Feature-only,degree_aligned_random,PubMed,0.7586666666666666,0.00208166599946611,0.756954951428871,0.0015790661531625194,0.7559999999999999,0.005291502622129186
Feature-only,feature_similar_cross_class,CiteSeer,0.5623333333333332,0.008082903768654663,0.5433035420136986,0.00847342216193084,0.5619999999999999,0.014422205101855892
Feature-only,feature_similar_cross_class,Cora,0.5933333333333333,0.025579940057266243,0.5747549224534608,0.02709633036289989,0.5833333333333334,0.02300724523564984
Feature-only,feature_similar_cross_class,PubMed,0.67,0.014000000000000014,0.6698488884780224,0.013943555973863462,0.6713333333333334,0.01222020185321557
Feature-only,low_feature_similarity,CiteSeer,0.632,0.02306512518934161,0.606624941968815,0.021754777030952254,0.658,0.01200000000000001
Feature-only,low_feature_similarity,Cora,0.7056666666666667,0.006506407098647743,0.7023242943424132,0.009777219744875268,0.6826666666666666,0.006110100926607723
Feature-only,low_feature_similarity,PubMed,0.7443333333333334,0.012055427546683442,0.7389014315226774,0.012476550470605266,0.7586666666666666,0.012055427546683414
Feature-only,random_inter_community,CiteSeer,0.6223333333333333,0.0025166114784235635,0.5959688410980516,0.0012306689674590027,0.638,0.006928203230275515
Feature-only,random_inter_community,Cora,0.7333333333333334,0.004725815626252597,0.7257327791721361,0.008973060276360462,0.7159999999999999,0.011135528725660053
Feature-only,random_inter_community,PubMed,0.7423333333333333,0.0070945988845976336,0.7374012611326513,0.005865208192370113,0.7479999999999999,0.006928203230275515
GraGE-FO-absgrad,cross_class_oracle,CiteSeer,0.5326666666666667,0.012503332889007344,0.5109465848240672,0.011817502685639901,0.5466666666666666,0.042253205006642154
GraGE-FO-absgrad,cross_class_oracle,Cora,0.6436666666666667,0.01171893055416465,0.6085641938167937,0.01433379779331917,0.6406666666666667,0.03251666239535255
GraGE-FO-absgrad,cross_class_oracle,PubMed,0.632,0.013228756555322997,0.623729647097322,0.012414046620738653,0.638,0.016000000000000014
GraGE-FO-absgrad,degree_aligned_random,CiteSeer,0.5676666666666667,0.02040424792373715,0.545812405551817,0.016887077480271948,0.586,0.015099668870541512
