dataset,method,downstream_model,proxy_model,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,prune_ratio_mean,prune_ratio_std,runtime_mean,runtime_std
Actor,DropEdge,GAT,-,0.30715460526315785,0.0021951229958945945,0.30026315789473684,0.00704899749262048,0.2122315767026441,0.0073901795332488055,0.2,0.0,0.5698079586029052,0.008436116852351155
Actor,DropEdge,GCN,-,0.2985197368421052,0.005400462802863375,0.2789473684210526,0.007908431105375901,0.21126221139140777,0.013941325137753821,0.2,0.0,0.3440545558929443,0.012903805723850094
Actor,DropEdge,GraphSAGE,-,0.36307565789473684,0.0054316796108646774,0.3442105263157894,0.010143106907083841,0.30523213546589373,0.0202700236979714,0.2,0.0,0.35504541397094724,0.01603110607849395
Actor,Homophily Pruning,GAT,-,0.30830592105263155,0.0023692204425802364,0.2913157894736842,0.005836382925320205,0.213413238062859,0.009475169692485057,0.1687667334444216,0.0,0.5903589725494385,0.024557413217420995
Actor,Homophily Pruning,GCN,-,0.3008223684210526,0.0066148281421678145,0.28907894736842105,0.0049364030216589375,0.20274640562202667,0.028431523684747884,0.1687667334444216,0.0,0.3158397197723388,0.009852454223970108
Actor,Homophily Pruning,GraphSAGE,-,0.35123355263157896,0.005308896141966882,0.33118421052631575,0.00795753532326764,0.29178383969653615,0.012555701996782026,0.1687667334444216,0.0,0.3634976863861084,0.028567195590771585
Actor,Original,GAT,-,0.3104440789473684,0.0045323617773537495,0.2953947368421052,0.009901261146902898,0.22540426226209256,0.015961810514933453,0.0,0.0,0.7947765827178955,0.15944582136160276
Actor,Original,GCN,-,0.3003289473684211,0.0038087290055623,0.28552631578947363,0.01340233472859434,0.22398427138381322,0.012942586296583854,0.0,0.0,0.6295406341552734,0.009889606166425594
Actor,Original,GraphSAGE,-,0.355345394736842,0.005324795836572243,0.3239473684210526,0.007957535323267656,0.29192616719242465,0.012457485851103156,0.0,0.0,0.41251559257507325,0.10223514615302202
Actor,Random Pruning,GAT,-,0.3030427631578947,0.005061074681369712,0.28855263157894734,0.012001846579990915,0.21345611928385888,0.012936251272392715,0.19961056711164363,9.601678609245431e-05,0.5762153148651123,0.050241425797294674
Actor,Random Pruning,GCN,-,0.29317434210526316,0.006886568348866893,0.27763157894736834,0.013862702306385165,0.20280854681890087,0.017084955392710682,0.19961056711164363,9.601678609245431e-05,0.31827096939086913,0.012124428260720015
Actor,Random Pruning,GraphSAGE,-,0.3615953947368421,0.005189724663148669,0.33499999999999996,0.007137475713218698,0.30316770205488924,0.014221817409545931,0.19961056711164363,9.601678609245431e-05,0.4099445819854736,0.1428602389171957
CiteSeer,DropEdge,GAT,-,0.7343999999999999,0.005176871642217907,0.7152,0.009038805230781342,0.6759699554726264,0.010905295752355023,0.2,0.0,0.6386544704437256,0.1558650041085234
CiteSeer,DropEdge,GCN,-,0.678,0.016431676725154963,0.663,0.015827191791344442,0.6268722373803055,0.010913245624430733,0.2,0.0,0.6202754020690918,0.21240393436101584
CiteSeer,DropEdge,GraphSAGE,-,0.658,0.011401754250991398,0.6446,0.008706319543871556,0.6125055614486715,0.004011828135324217,0.2,0.0,0.5368658542633057,0.0654921488159913
CiteSeer,Homophily Pruning,GAT,-,0.728,0.007874007874011817,0.7101999999999999,0.008438009243891563,0.6786030586336246,0.004992403487778603,0.0013181019332161,0.0,0.6639241695404052,0.2370664231315437
CiteSeer,Homophily Pruning,GCN,-,0.6764,0.011610340218959974,0.6688000000000001,0.013255187663703637,0.6370936872789065,0.00646982791067452,0.0013181019332161,0.0,0.561916446685791,0.12631706695852454
CiteSeer,Homophily Pruning,GraphSAGE,-,0.672,0.002449489742783175,0.6578,0.007949842765740713,0.6290565869293383,0.005557013206640781,0.0013181019332161,0.0,0.5338077068328857,0.06380700110844773
CiteSeer,Original,GAT,-,0.7295999999999999,0.005176871642217908,0.7123999999999999,0.009813256340277705,0.6741312938564497,0.00874084254096281,0.0,0.0,0.6335794448852539,0.24280337953927028
CiteSeer,Original,GCN,-,0.666,0.0156843871413581,0.6674,0.00841427358718504,0.6374422255229175,0.006246253648132843,0.0,0.0,0.8156016826629638,0.07525195824395992
CiteSeer,Original,GraphSAGE,-,0.6688000000000001,0.005932958789676536,0.6538,0.003701351104664302,0.6223248586976494,0.006697029833498674,0.0,0.0,0.5889105796813965,0.08738549012892252
CiteSeer,Random Pruning,GAT,-,0.718,0.009695359714832676,0.6968,0.014872793954062533,0.6586135352613652,0.013647457701350837,0.1999121265377855,0.0,0.6248859882354736,0.22984184588300813
CiteSeer,Random Pruning,GCN,-,0.6464000000000001,0.008414273587185054,0.6346,0.011781341180018542,0.6072328353047554,0.010808769939371807,0.1999121265377855,0.0,0.5003927230834961,0.05164678630621416
CiteSeer,Random Pruning,GraphSAGE,-,0.6328,0.015006665185843275,0.6176,0.022389729788454386,0.5895994019037593,0.019276799198838887,0.1999121265377855,0.0,0.6020739078521729,0.14678471709364718
Cora,DropEdge,GAT,-,0.8171428571428571,0.0057569833370313605,0.8234285714285713,0.005711308748355996,0.8137234447134499,0.0060124344009546814,0.2,0.0,0.6151619638715472,0.21650118921039876
Cora,DropEdge,GCN,-,0.7697142857142857,0.0081998838551589,0.7860000000000001,0.005627314338711409,0.7779169877568155,0.009508311327901954,0.2,0.0,0.46721352849687847,0.03154265387229574
Cora,DropEdge,GraphSAGE,-,0.7611428571428572,0.0027945525240231027,0.7597142857142857,0.008807464366741962,0.7484876179453248,0.00899677444209959,0.2,0.0,0.3551699434007917,0.06998895749586335
Cora,Homophily Pruning,GAT,-,0.814,0.0043817804600412924,0.8188333333333334,0.00902034736951223,0.8063822409149218,0.01021065085059621,0.0007578628268283,0.0,0.5800784031550089,0.25316916044309334
Cora,Homophily Pruning,GCN,-,0.7823333333333333,0.013411437904515206,0.7836666666666666,0.0045898438608156355,0.7746541284469061,0.0030338090908410787,0.0007578628268283,0.0,0.4844803015391032,0.09971602642140996
Cora,Homophily Pruning,GraphSAGE,-,0.7616666666666667,0.00731209044437133,0.7661666666666668,0.00902034736951227,0.7598788629722018,0.008050954969759605,0.0007578628268283,0.0,0.37466613451639813,0.07316630116179036
Cora,Original,GAT,-,0.8157142857142857,0.007521398046336046,0.8207142857142856,0.003039423504234839,0.8094230463454472,0.003229817033920349,0.0,0.0,0.4635490689958845,0.1102291191793471
Cora,Original,GCN,-,0.7791428571428572,0.012102734834581418,0.7884285714285715,0.007997023255710915,0.7801892558376192,0.0057435258568401286,0.0,0.0,0.7750230516706195,0.03137309029275825
Cora,Original,GraphSAGE,-,0.7614285714285715,0.009641181512261916,0.767,0.009865765724632507,0.7595486906248061,0.01011272413868287,0.0,0.0,0.42262199946812223,0.08048487897238418
Cora,Random Pruning,GAT,-,0.798,0.003794733192202075,0.8109999999999999,0.008049844718999184,0.8000388608782861,0.006490769328688966,0.19998105342932923,0.0,0.6163447300593058,0.15018051922440365
Cora,Random Pruning,GCN,-,0.7556666666666666,0.011129540272026797,0.7683333333333334,0.011775681155103834,0.7612940905843938,0.0127266457312952,0.19998105342932923,0.0,0.49061282475789386,0.09847555589987494
Cora,Random Pruning,GraphSAGE,-,0.7173333333333334,0.018140194780284665,0.7253333333333334,0.015240297459914192,0.7174886137550812,0.010821310077608932,0.19998105342932923,0.0,0.4240646759668986,0.117574410162336
Cornell,DropEdge,GAT,-,0.5491525423728814,0.019325007205070126,0.39999999999999997,0.029606624730008958,0.22755628801540279,0.0819062877266863,0.2,0.0,0.3947914600372314,0.06575295827231026
Cornell,DropEdge,GCN,-,0.5254237288135594,0.011984860698077124,0.4378378378378378,0.022612433149569646,0.20893582964101592,0.03629076841442682,0.2,0.0,0.2988438129425049,0.009460704369755032
Cornell,DropEdge,GraphSAGE,-,0.8440677966101695,0.02209899120407674,0.681081081081081,0.040087559389706304,0.4764422840494946,0.03045640261756733,0.2,0.0,0.4491611957550049,0.08917572139424947
Cornell,Homophily Pruning,GAT,-,0.5254237288135594,0.02075838765070492,0.4054054054054054,0.0,0.14309176213857058,0.04703625145956197,0.1508078994614003,0.0,0.3277536392211914,0.00625812468747508
Cornell,Homophily Pruning,GCN,-,0.5050847457627119,0.03260234586723956,0.3783783783783784,0.033101212740313225,0.1612162554237742,0.04193647777057621,0.1508078994614003,0.0,0.2738673686981201,0.00931146595235963
Cornell,Homophily Pruning,GraphSAGE,-,0.8203389830508474,0.022739674347455503,0.6864864864864865,0.04098851591379219,0.49476715371027763,0.012774897452490979,0.1508078994614003,0.0,0.5706499099731446,0.13308878921929532
Cornell,Original,GAT,-,0.535593220338983,0.015159782898303605,0.4,0.012086853932431273,0.16094204645928778,0.0824523770387085,0.0,0.0,0.39345521926879884,0.09259177532340916
Cornell,Original,GCN,-,0.535593220338983,0.025704662522208648,0.4108108108108108,0.022612433149569577,0.1589804224978192,0.016331098339230563,0.0,0.0,0.589169692993164,0.01098653384886748
Cornell,Original,GraphSAGE,-,0.8135593220338982,0.020758387650704896,0.6864864864864865,0.03081555202970642,0.4932202315921481,0.029319456382501764,0.0,0.0,0.4663234233856201,0.07991422809145059
Cornell,Random Pruning,GAT,-,0.5525423728813559,0.02570466252220859,0.44324324324324327,0.0908526287241709,0.2694728291316526,0.15773636008708114,0.19856373429084379,0.0016057938797126086,0.3519754409790039,0.015092903970030411
Cornell,Random Pruning,GCN,-,0.5389830508474576,0.022098991204076757,0.4108108108108108,0.0120868539324313,0.1542911057196771,0.028709523175522132,0.19856373429084379,0.0016057938797126086,0.27594223022460934,0.010240619121936375
Cornell,Random Pruning,GraphSAGE,-,0.7694915254237288,0.019325007205070157,0.6432432432432432,0.0645261426287206,0.45784122740005095,0.076636944341069,0.19856373429084379,0.0016057938797126086,0.4311201095581055,0.14833066689091606
PubMed,DropEdge,GAT,-,0.7984,0.0026076809620810553,0.777,0.0020000000000000013,0.7714253982598483,0.0038446189825118407,0.2,0.0,0.9426605701446533,0.18093695325567458
PubMed,DropEdge,GCN,-,0.7748,0.011798304963002092,0.7608,0.007981227975693957,0.7565070256849892,0.00895221364360946,0.2,0.0,0.4745022296905518,0.09220641713078954
