dataset,method,downstream_model,proxy_model,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,prune_ratio_mean,prune_ratio_std,runtime_mean,runtime_std
Actor,GraCA-lite,GAT,GCN,0.3028782894736842,0.0025112551783885574,0.29473684210526313,0.007784315504078462,0.21318485545499383,0.01387946587377845,0.14152889854149892,0.0004189460368895124,0.6377074718475342,0.06675999884835404
Actor,GraCA-lite,GCN,GCN,0.2964638157894736,0.005667783203984441,0.28473684210526307,0.012546658073322317,0.2139780342231245,0.01914663002308481,0.14152889854149892,0.0004189460368895124,0.3239277839660645,0.007080696077929626
Actor,GraCA-lite,GraphSAGE,GCN,0.3523848684210526,0.0039865788301121155,0.3252631578947368,0.008784804148842381,0.29800729853395824,0.015578001274907579,0.14152889854149892,0.0004189460368895124,0.3813841819763183,0.03913436023396908
CiteSeer,GraCA-lite,GAT,GCN,0.7243999999999999,0.002190890230020684,0.7123999999999999,0.006618156843109685,0.67605812528923,0.005773028343866319,0.030953427065026316,0.0025729730128421957,0.5252586841583252,0.09430107060240131
CiteSeer,GraCA-lite,GCN,GCN,0.664,0.010862780491200225,0.672,0.009746794344808954,0.6409160407972982,0.005568211251500587,0.030953427065026316,0.0025729730128421957,0.525203275680542,0.05610577969149764
CiteSeer,GraCA-lite,GraphSAGE,GCN,0.6708000000000001,0.0052153619241621626,0.6542,0.00933809402394302,0.6239843943307154,0.01326450450484288,0.030953427065026316,0.0025729730128421957,0.6812346458435059,0.17058566668117534
Cora,GraCA-lite,GAT,GCN,0.8166666666666667,0.0064807406984078286,0.8206666666666667,0.009682458365518488,0.8099065227140131,0.00881796973380721,0.03586164793061339,0.024301013238170372,0.43333233727349174,0.0702411754770573
Cora,GraCA-lite,GCN,GCN,0.7815555555555557,0.01033333333333334,0.7866666666666666,0.008616843969807055,0.780681604021042,0.007369172271330062,0.03586164793061339,0.024301013238170372,0.5513195196787516,0.05546893124440247
Cora,GraCA-lite,GraphSAGE,GCN,0.7624444444444445,0.004666666666666657,0.7634444444444445,0.006444204976393728,0.7567366312824811,0.004664066613299372,0.03586164793061339,0.024301013238170372,0.4276803864373101,0.087188533484603
Cornell,GraCA-lite,GAT,GCN,0.5389830508474576,0.014180678415831736,0.40540540540540543,0.06890566910260525,0.21079646516717448,0.09443992641336242,0.06570915619389582,0.0020469935818655536,0.3543693065643311,0.024295317105987438
Cornell,GraCA-lite,GCN,GCN,0.5288135593220339,0.018566866356107325,0.427027027027027,0.022612433149569643,0.19059279680251542,0.0586133459373144,0.06570915619389582,0.0020469935818655536,0.2866411209106445,0.01380930736889908
Cornell,GraCA-lite,GraphSAGE,GCN,0.8338983050847458,0.022098991204076743,0.6918918918918919,0.014803312365004505,0.48613335030982086,0.015073801545830462,0.06570915619389582,0.0020469935818655536,0.5074825286865234,0.16502789979573065
PubMed,GraCA-lite,GAT,GCN,0.8019999999999999,0.002828427124746188,0.7774,0.006877499545619747,0.7715223997909046,0.005953095617547988,0.01794287519176964,0.005100742866453591,1.0342122554779052,0.1800808424303525
PubMed,GraCA-lite,GCN,GCN,0.7744,0.005549774770204673,0.7626000000000001,0.005941380311005209,0.7586006817798147,0.0037500417120448536,0.01794287519176964,0.005100742866453591,0.44017601013183594,0.10022489529701153
PubMed,GraCA-lite,GraphSAGE,GCN,0.7768,0.010545141061171262,0.7516,0.004827007354458907,0.7481350395749253,0.005466366665992509,0.01794287519176964,0.005100742866453591,0.590508222579956,0.22486988136446415
Texas,GraCA-lite,GAT,GCN,0.6033898305084746,0.019325007205070143,0.5783783783783785,0.06508970042590433,0.25713455213910646,0.056417098648166825,0.06655052264808356,0.006085104249676976,0.39725351333618164,0.09748941745695543
Texas,GraCA-lite,GCN,GCN,0.6440677966101694,0.02396972139615416,0.5567567567567567,0.05268537483680521,0.21717781129545832,0.03529590363115926,0.06655052264808356,0.006085104249676976,0.4109323501586914,0.13001395635677385
Texas,GraCA-lite,GraphSAGE,GCN,0.9118644067796611,0.02209899120407678,0.8810810810810811,0.024173707864862583,0.8134410430839003,0.035653865405102764,0.06655052264808356,0.006085104249676976,0.48105831146240235,0.1024047107285342
Wisconsin,GraCA-lite,GAT,GCN,0.615,0.03468609231377906,0.5294117647058824,0.03668291555660731,0.3037742565678049,0.04449071781421212,0.08886462882096066,0.005756081365268152,0.39221644401550293,0.03572174166742867
Wisconsin,GraCA-lite,GCN,GCN,0.615,0.02236067977499792,0.5607843137254902,0.029736766447260976,0.32641399012587596,0.030570519140826778,0.08886462882096066,0.005756081365268152,0.2956886768341064,0.00947565319369653
Wisconsin,GraCA-lite,GraphSAGE,GCN,0.8099999999999999,0.022360679774997894,0.6470588235294118,0.039215686274509824,0.4557695265221911,0.03251819556460781,0.08886462882096066,0.005756081365268152,0.3971583843231201,0.16512913162232914
