dataset,method,downstream_model,proxy_model,val_acc_mean,val_acc_std,test_acc_mean,test_acc_std,test_f1_mean,test_f1_std,prune_ratio_mean,prune_ratio_std,runtime_mean,runtime_std
Actor,Oracle GraCA,GAT,GCN,0.3127467105263158,0.006785162451461885,0.2926315789473684,0.010301883753191254,0.21945542468461604,0.013231027761843053,0.09586414783471567,0.00024137083925753052,0.7322542667388916,0.2141353935896699
Actor,Oracle GraCA,GCN,GCN,0.29728618421052627,0.005035957530393046,0.28065789473684205,0.011589035676985266,0.21550825634082155,0.02448805475016762,0.09586414783471567,0.00024137083925753052,0.3248684883117675,0.013070619597892132
Actor,Oracle GraCA,GraphSAGE,GCN,0.35509868421052626,0.0066020359659296965,0.3251315789473684,0.0034625519386686098,0.2918074101470431,0.02115445256640827,0.09586414783471567,0.00024137083925753052,0.4094691753387451,0.08748702381372009
CiteSeer,Oracle GraCA,GAT,GCN,0.7256,0.0035777087639996988,0.712,0.008717797887081364,0.6731299318687904,0.008256663008823238,0.021946397188049138,9.190026653493945e-05,0.5435367584228515,0.13498591386799705
CiteSeer,Oracle GraCA,GCN,GCN,0.6696,0.015453155017665433,0.673,0.010770329614268962,0.6443803792828154,0.006874035157156994,0.021946397188049138,9.190026653493945e-05,0.5297252655029296,0.061275406421243434
CiteSeer,Oracle GraCA,GraphSAGE,GCN,0.6652,0.004381780460041343,0.6494,0.01718429515575196,0.6213208966216872,0.016048107954260222,0.021946397188049138,9.190026653493945e-05,0.5379036426544189,0.09948587993039593
Cora,Oracle GraCA,GAT,GCN,0.814,0.004195235392680546,0.8233333333333333,0.009025888691240632,0.8133832332365382,0.010121817672805601,0.03429329291398253,0.00016946327984085685,0.5225284894307455,0.1463912603575914
Cora,Oracle GraCA,GCN,GCN,0.7806666666666667,0.010930080817023595,0.7913333333333333,0.008091147425839378,0.7877940399640421,0.003993163694360396,0.03429329291398253,0.00016946327984085685,0.5286486943562826,0.07331759008106577
Cora,Oracle GraCA,GraphSAGE,GCN,0.7600000000000001,0.00681175454637057,0.7683333333333334,0.00786553664200138,0.7645278046334277,0.007617509964022208,0.03429329291398253,0.00016946327984085685,0.3833037217458089,0.0671506106590903
Cornell,Oracle GraCA,GAT,GCN,0.552542372881356,0.025704662522208648,0.4108108108108108,0.0120868539324313,0.220717577952872,0.09842351560858609,0.056732495511669576,0.001605793879712647,0.40224661827087405,0.063157635605169
Cornell,Oracle GraCA,GCN,GCN,0.5423728813559322,0.0207583876507049,0.41621621621621613,0.014803312365004477,0.17659417706476524,0.02071274419293445,0.056732495511669576,0.001605793879712647,0.2895164489746093,0.007776818093245859
Cornell,Oracle GraCA,GraphSAGE,GCN,0.8203389830508474,0.01932500720507013,0.6702702702702703,0.044409937095013514,0.476155419743655,0.042701784063414544,0.056732495511669576,0.001605793879712647,0.5107685565948487,0.10208825446789849
PubMed,Oracle GraCA,GAT,GCN,0.798,0.0014142135623730963,0.7742,0.005540758070878036,0.7692193534327249,0.006662038328184222,0.0031788647234003396,3.421566394754729e-05,0.9530771732330322,0.10385263500532181
PubMed,Oracle GraCA,GCN,GCN,0.7768,0.007694153624668548,0.7647999999999999,0.007463243262818122,0.7599778900824237,0.007622828067865602,0.0031788647234003396,3.421566394754729e-05,0.4687958717346191,0.11078726021929329
PubMed,Oracle GraCA,GraphSAGE,GCN,0.7776,0.013145341380124,0.7535999999999999,0.005128352561983257,0.7495310037858354,0.0054734362539297894,0.0031788647234003396,3.421566394754729e-05,0.7459444999694824,0.10908662211309564
Texas,Oracle GraCA,GAT,GCN,0.6135593220338983,0.022098991204076775,0.5783783783783785,0.07047786384002862,0.258399961563318,0.09289890004301957,0.05087108013937278,0.0077325230038927635,0.3879721641540527,0.04552595740409267
Texas,Oracle GraCA,GCN,GCN,0.6847457627118645,0.02273967434745551,0.5783783783783785,0.056044436090074944,0.29919775485951955,0.03890693508825485,0.05087108013937278,0.0077325230038927635,0.569405460357666,0.21753100052814328
Texas,Oracle GraCA,GraphSAGE,GCN,0.9186440677966102,0.027850299534161006,0.9027027027027028,0.036260561797293894,0.84656179138322,0.06213539327015825,0.05087108013937278,0.0077325230038927635,0.5091257572174073,0.11122468732922741
Wisconsin,Oracle GraCA,GAT,GCN,0.6025,0.02709935423584851,0.4901960784313725,0.04999038738816458,0.22085046197906974,0.05182113033331203,0.06397379912663752,0.001464673347707288,0.4153593063354492,0.07095853234659892
Wisconsin,Oracle GraCA,GCN,GCN,0.62,0.011180339887498895,0.5568627450980392,0.010739657990297337,0.33123159391987683,0.028486271141663397,0.06397379912663752,0.001464673347707288,0.31245832443237304,0.024853092705533406
Wisconsin,Oracle GraCA,GraphSAGE,GCN,0.82,0.018957188610128854,0.6431372549019608,0.0255654996282457,0.4773901288818797,0.09302311917400162,0.06397379912663752,0.001464673347707288,0.43134703636169436,0.1957418452227817
