run_id,timestamp,seed,dataset,method,oracle_only,proxy_model,downstream_model,prune_ratio,num_edges_before,num_edges_after,isolated_nodes,min_degree,mean_degree,largest_connected_component_ratio,val_acc,test_acc,test_f1,best_epoch,runtime,config_path,graph_path,checkpoint_path
original_Cora_GCN_seed0,2026-05-29T22:35:48.664463,0,Cora,Original,False,-,GCN,0.0,10556,10556,0,,,,0.782,0.792,0.7826849165031229,51,0.7578446865081787,configs/graca_lite_cora.yaml,,
original_Cora_GAT_seed0,2026-05-29T22:35:48.664602,0,Cora,Original,False,-,GAT,0.0,10556,10556,0,,,,0.822,0.822,0.8088547196681046,17,0.42395496368408203,configs/graca_lite_cora.yaml,,
original_Cora_GraphSAGE_seed0,2026-05-29T22:35:48.664633,0,Cora,Original,False,-,GraphSAGE,0.0,10556,10556,0,,,,0.752,0.761,0.7511006029323747,106,0.4850184917449951,configs/graca_lite_cora.yaml,,
dropedge_Cora_GCN_seed0,2026-05-29T22:35:50.036106,0,Cora,DropEdge,False,-,GCN,0.2,10556,10556,0,,,,0.772,0.79,0.7857649958644737,63,0.47188591957092285,configs/graca_lite_cora.yaml,,
dropedge_Cora_GAT_seed0,2026-05-29T22:35:50.036180,0,Cora,DropEdge,False,-,GAT,0.2,10556,10556,0,,,,0.822,0.826,0.8169403460498271,59,0.5546445846557617,configs/graca_lite_cora.yaml,,
dropedge_Cora_GraphSAGE_seed0,2026-05-29T22:35:50.036208,0,Cora,DropEdge,False,-,GraphSAGE,0.2,10556,10556,0,,,,0.762,0.766,0.7538154021399929,38,0.3318934440612793,configs/graca_lite_cora.yaml,,
original_Cora_GCN_seed0,2026-05-29T22:36:21.173814,0,Cora,Original,False,-,GCN,0.0,10556,10556,0,,,,0.782,0.795,0.7854551513646291,53,0.7431416511535645,configs/graca_lite_cora.yaml,,
original_Cora_GAT_seed0,2026-05-29T22:36:21.173886,0,Cora,Original,False,-,GAT,0.0,10556,10556,0,,,,0.822,0.822,0.8088547196681046,17,0.4251701831817627,configs/graca_lite_cora.yaml,,
original_Cora_GraphSAGE_seed0,2026-05-29T22:36:21.173914,0,Cora,Original,False,-,GraphSAGE,0.0,10556,10556,0,,,,0.752,0.761,0.7511006029323747,106,0.4841768741607666,configs/graca_lite_cora.yaml,,
dropedge_Cora_GCN_seed0,2026-05-29T22:36:22.560448,0,Cora,DropEdge,False,-,GCN,0.2,10556,10556,0,,,,0.772,0.79,0.7855472995498193,63,0.47530674934387207,configs/graca_lite_cora.yaml,,
dropedge_Cora_GAT_seed0,2026-05-29T22:36:22.560524,0,Cora,DropEdge,False,-,GAT,0.2,10556,10556,0,,,,0.822,0.826,0.8169403460498271,59,0.5644681453704834,configs/graca_lite_cora.yaml,,
dropedge_Cora_GraphSAGE_seed0,2026-05-29T22:36:22.560552,0,Cora,DropEdge,False,-,GraphSAGE,0.2,10556,10556,0,,,,0.762,0.768,0.7563048735670227,38,0.33374714851379395,configs/graca_lite_cora.yaml,,
random_Cora_GCN_seed0,2026-05-29T22:36:24.381465,0,Cora,Random Pruning,False,-,GCN,0.19998105342932926,10556,8445,0,,,,0.756,0.78,0.7723902978378261,70,0.47678089141845703,configs/graca_lite_cora.yaml,,
random_Cora_GAT_seed0,2026-05-29T22:36:24.381535,0,Cora,Random Pruning,False,-,GAT,0.19998105342932926,10556,8445,0,,,,0.802,0.814,0.8005033966048511,124,0.7664792537689209,configs/graca_lite_cora.yaml,,
random_Cora_GraphSAGE_seed0,2026-05-29T22:36:24.381568,0,Cora,Random Pruning,False,-,GraphSAGE,0.19998105342932926,10556,8445,0,,,,0.71,0.729,0.7167798881784984,139,0.5637447834014893,configs/graca_lite_cora.yaml,,
homophily_Cora_GCN_seed0,2026-05-29T22:36:25.735349,0,Cora,Homophily Pruning,False,-,GCN,0.0007578628268283261,10556,10548,0,,,,0.784,0.786,0.7773448931601238,51,0.4331507682800293,configs/graca_lite_cora.yaml,,
homophily_Cora_GAT_seed0,2026-05-29T22:36:25.735418,0,Cora,Homophily Pruning,False,-,GAT,0.0007578628268283261,10556,10548,0,,,,0.818,0.818,0.8081123975138598,20,0.44242191314697266,configs/graca_lite_cora.yaml,,
homophily_Cora_GraphSAGE_seed0,2026-05-29T22:36:25.735444,0,Cora,Homophily Pruning,False,-,GraphSAGE,0.0007578628268283261,10556,10548,0,,,,0.754,0.766,0.7553938955379227,88,0.46427464485168457,configs/graca_lite_cora.yaml,,
original_Cora_GCN_seed0,2026-05-29T22:40:47.656711,0,Cora,Original,False,-,GCN,0.0,10556,10556,0,,,,0.782,0.793,0.7844889986962373,53,0.7507150173187256,configs/graca_lite_cora.yaml,,
original_Cora_GAT_seed0,2026-05-29T22:40:47.656797,0,Cora,Original,False,-,GAT,0.0,10556,10556,0,,,,0.822,0.822,0.8088547196681046,17,0.4224731922149658,configs/graca_lite_cora.yaml,,
original_Cora_GraphSAGE_seed0,2026-05-29T22:40:47.656832,0,Cora,Original,False,-,GraphSAGE,0.0,10556,10556,0,,,,0.752,0.761,0.7511006029323747,106,0.4947936534881592,configs/graca_lite_cora.yaml,,
dropedge_Cora_GCN_seed0,2026-05-29T22:40:49.061469,0,Cora,DropEdge,False,-,GCN,0.2,10556,10556,0,,,,0.772,0.791,0.7869618871141377,63,0.4778585433959961,configs/graca_lite_cora.yaml,,
dropedge_Cora_GAT_seed0,2026-05-29T22:40:49.061545,0,Cora,DropEdge,False,-,GAT,0.2,10556,10556,0,,,,0.822,0.826,0.8169403460498271,59,0.5787787437438965,configs/graca_lite_cora.yaml,,
dropedge_Cora_GraphSAGE_seed0,2026-05-29T22:40:49.061577,0,Cora,DropEdge,False,-,GraphSAGE,0.2,10556,10556,0,,,,0.762,0.766,0.7538154021399929,38,0.334930419921875,configs/graca_lite_cora.yaml,,
random_Cora_GCN_seed0,2026-05-29T22:40:50.959406,0,Cora,Random Pruning,False,-,GCN,0.19998105342932926,10556,8445,0,,,,0.756,0.783,0.7753093227446229,70,0.4899718761444092,configs/graca_lite_cora.yaml,,
random_Cora_GAT_seed0,2026-05-29T22:40:50.959485,0,Cora,Random Pruning,False,-,GAT,0.19998105342932926,10556,8445,0,,,,0.802,0.814,0.8005033966048511,124,0.8149905204772949,configs/graca_lite_cora.yaml,,
random_Cora_GraphSAGE_seed0,2026-05-29T22:40:50.959513,0,Cora,Random Pruning,False,-,GraphSAGE,0.19998105342932926,10556,8445,0,,,,0.71,0.729,0.7167798881784984,139,0.5790436267852783,configs/graca_lite_cora.yaml,,
