run_id,timestamp,experiment_type,seed,dataset,split_type,method,oracle_only,proxy_model,downstream_model,prune_ratio_target,actual_prune_ratio,num_edges_before,num_edges_after,isolated_nodes,min_degree,mean_degree,largest_connected_component_ratio,edge_homophily_before,edge_homophily_after,val_acc,test_acc,test_f1,best_epoch,runtime,config_path,graph_path,noise_type,noise_ratio,num_injected_edges,bad_edge_precision,bad_edge_recall,bad_edge_f1,clean_edge_mistakenly_removed_ratio,notes
original_Cora_GCN_seed0,2026-05-31T20:32:32.634672,clean,0,Cora,,Original,False,-,GCN,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.782,0.788,0.7780132909008375,50,0.9368104934692383,configs/graca_lite_cora.yaml,,,,,,,,,
original_Cora_GAT_seed0,2026-05-31T20:32:32.634801,clean,0,Cora,,Original,False,-,GAT,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.822,0.822,0.8088547196681046,17,0.5568532943725586,configs/graca_lite_cora.yaml,,,,,,,,,
original_Cora_GraphSAGE_seed0,2026-05-31T20:32:32.634833,clean,0,Cora,,Original,False,-,GraphSAGE,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.752,0.761,0.7511006029323747,106,0.6561565399169922,configs/graca_lite_cora.yaml,,,,,,,,,
original_Cora_GCN_seed1,2026-05-31T20:32:41.652514,clean,1,Cora,,Original,False,-,GCN,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.772,0.773,0.7739242139949781,55,0.8891754150390625,configs/graca_lite_cora.yaml,,,,,,,,,
original_Cora_GAT_seed1,2026-05-31T20:32:41.652595,clean,1,Cora,,Original,False,-,GAT,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.81,0.815,0.8077412948802077,12,0.5124111175537109,configs/graca_lite_cora.yaml,,,,,,,,,
original_Cora_GraphSAGE_seed1,2026-05-31T20:32:41.652626,clean,1,Cora,,Original,False,-,GraphSAGE,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.772,0.77,0.7606128155475291,99,0.593768835067749,configs/graca_lite_cora.yaml,,,,,,,,,
original_Cora_GCN_seed2,2026-05-31T20:32:50.506784,clean,2,Cora,,Original,False,-,GCN,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.758,0.78,0.7740186423177491,83,0.9792013168334961,configs/graca_lite_cora.yaml,,,,,,,,,
original_Cora_GAT_seed2,2026-05-31T20:32:50.506863,clean,2,Cora,,Original,False,-,GAT,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.82,0.823,0.8109043422402836,23,0.5547809600830078,configs/graca_lite_cora.yaml,,,,,,,,,
original_Cora_GraphSAGE_seed2,2026-05-31T20:32:50.506894,clean,2,Cora,,Original,False,-,GraphSAGE,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.762,0.754,0.7547912906953176,55,0.48729443550109863,configs/graca_lite_cora.yaml,,,,,,,,,
original_Cora_GCN_seed3,2026-05-31T20:32:59.725435,clean,3,Cora,,Original,False,-,GCN,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.782,0.781,0.7724064486694061,64,0.9609849452972412,configs/graca_lite_cora.yaml,,,,,,,,,
original_Cora_GAT_seed3,2026-05-31T20:32:59.725519,clean,3,Cora,,Original,False,-,GAT,0.0,0.0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.804,0.823,0.8156094748218276,15,0.6283223628997803,configs/graca_lite_cora.yaml,,,,,,,,,
