run_id,timestamp,seed,dataset,method,oracle_only,proxy_model,downstream_model,prune_ratio,num_edges_before,num_edges_after,isolated_nodes,min_degree,mean_degree,largest_connected_component_ratio,val_acc,test_acc,test_f1,best_epoch,runtime,config_path,graph_path,checkpoint_path
robust_orig_Cora_noise0.05_seed0,2026-05-29T23:27:05.617063,0,Cora,Original+Noise0.05,False,-,GCN,0,10556,10556,0,,,,0.782,0.791,0.7817618394311792,51,0.7376613616943359,configs/graca_lite_cora.yaml,,
robust_graca_Cora_noise0.05_seed0,2026-05-29T23:27:07.446643,0,Cora,GraCA-lite+Noise0.05,False,GCN,GCN,0.05276619931792348,10556,9999,0,,,,0.784,0.78,0.7748996131001264,107,0.5856494903564453,configs/graca_lite_cora.yaml,,
robust_random_Cora_noise0.05_seed0,2026-05-29T23:27:08.818091,0,Cora,Random+Noise0.05,False,-,GCN,0.05276619931792348,10556,9999,0,,,,0.778,0.788,0.7815279045180572,58,0.44774961471557617,configs/graca_lite_cora.yaml,,
robust_orig_Cora_noise0.1_seed0,2026-05-29T23:27:09.267406,0,Cora,Original+Noise0.1,False,-,GCN,0,10559,10559,0,,,,0.782,0.798,0.7906605102395151,60,0.44510889053344727,configs/graca_lite_cora.yaml,,
robust_graca_Cora_noise0.1_seed0,2026-05-29T23:27:10.858969,0,Cora,GraCA-lite+Noise0.1,False,GCN,GCN,0.05417179657164506,10559,9987,0,,,,0.784,0.793,0.7913853719326313,69,0.48749756813049316,configs/graca_lite_cora.yaml,,
robust_random_Cora_noise0.1_seed0,2026-05-29T23:27:12.429125,0,Cora,Random+Noise0.1,False,-,GCN,0.05417179657164506,10559,9987,0,,,,0.776,0.772,0.7670753463250009,52,0.4326756000518799,configs/graca_lite_cora.yaml,,
robust_orig_Cora_noise0.2_seed0,2026-05-29T23:27:12.927886,0,Cora,Original+Noise0.2,False,-,GCN,0,10560,10560,0,,,,0.78,0.797,0.791859518318522,75,0.4945707321166992,configs/graca_lite_cora.yaml,,
robust_graca_Cora_noise0.2_seed0,2026-05-29T23:27:14.523521,0,Cora,GraCA-lite+Noise0.2,False,GCN,GCN,0.051325757575757525,10560,10018,0,,,,0.784,0.799,0.7945035823369009,69,0.48174381256103516,configs/graca_lite_cora.yaml,,
robust_random_Cora_noise0.2_seed0,2026-05-29T23:27:16.005782,0,Cora,Random+Noise0.2,False,-,GCN,0.05123106060606064,10560,10019,0,,,,0.764,0.782,0.7784591647290788,109,0.5868196487426758,configs/graca_lite_cora.yaml,,
robust_orig_Cora_noise0.3_seed0,2026-05-29T23:27:16.618486,0,Cora,Original+Noise0.3,False,-,GCN,0,10557,10557,0,,,,0.782,0.791,0.7853438936057981,111,0.5857529640197754,configs/graca_lite_cora.yaml,,
