run_id,timestamp,experiment_type,seed,dataset,split_type,method,oracle_only,proxy_model,downstream_model,prune_ratio_target,actual_prune_ratio,num_edges_before,num_edges_after,isolated_nodes,min_degree,mean_degree,largest_connected_component_ratio,edge_homophily_before,edge_homophily_after,val_acc,test_acc,test_f1,best_epoch,runtime,config_path,graph_path,noise_type,noise_ratio,num_injected_edges,bad_edge_precision,bad_edge_recall,bad_edge_f1,clean_edge_mistakenly_removed_ratio,notes
Original_Cora_clean_GCN_seed0,2026-05-31T20:59:47.452912,clean,0,Cora,,Original,False,-,GCN,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.782,0.794,0.7844398629754634,53,0.7759432792663574,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Original_Cora_clean_GAT_seed0,2026-05-31T20:59:47.915683,clean,0,Cora,,Original,False,-,GAT,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.822,0.822,0.8088547196681046,17,0.4513673782348633,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Original_Cora_clean_GraphSAGE_seed0,2026-05-31T20:59:48.422666,clean,0,Cora,,Original,False,-,GraphSAGE,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.752,0.761,0.7511006029323747,106,0.49743032455444336,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Original_Cora_clean_GCN_seed0,2026-05-31T21:00:06.906224,clean,0,Cora,,Original,False,-,GCN,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.782,0.791,0.7817618394311792,51,0.766024112701416,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Original_Cora_clean_GAT_seed0,2026-05-31T21:00:07.365689,clean,0,Cora,,Original,False,-,GAT,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.822,0.822,0.8088547196681046,17,0.4555208683013916,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Original_Cora_clean_GraphSAGE_seed0,2026-05-31T21:00:07.881681,clean,0,Cora,,Original,False,-,GraphSAGE,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.752,0.761,0.7511006029323747,106,0.5050573348999023,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Random-Matched_Cora_clean_GCN_seed0,2026-05-31T21:00:08.545670,clean,0,Cora,,Random-Matched,False,-,GCN,0.2,0.19988632057597577,10556,8446,116,0.0,6.237813949584961,0.8471196454948301,0.8099659085273743,0.8100876212120056,0.766,0.767,0.7595358995125324,60,1780232408.5351403,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Random-Matched_Cora_clean_GAT_seed0,2026-05-31T21:00:08.993670,clean,0,Cora,,Random-Matched,False,-,GAT,0.2,0.19988632057597577,10556,8446,116,0.0,6.237813949584961,0.8471196454948301,0.8099659085273743,0.8100876212120056,0.802,0.796,0.7836615096661834,16,1780232408.9825046,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Random-Matched_Cora_clean_GraphSAGE_seed0,2026-05-31T21:00:09.423924,clean,0,Cora,,Random-Matched,False,-,GraphSAGE,0.2,0.19988632057597577,10556,8446,116,0.0,6.237813949584961,0.8471196454948301,0.8099659085273743,0.8100876212120056,0.724,0.738,0.7213188046129982,86,1780232409.4235182,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Homophily-TrainOnly_Cora_clean_GCN_seed0,2026-05-31T21:00:09.923661,clean,0,Cora,,Homophily-TrainOnly,False,-,GCN,0.2,0.0007578628268283261,10556,10548,0,2.0,7.7902512550354,0.9176514032496307,0.8099659085273743,0.8105801939964294,0.784,0.783,0.774183650374705,51,0.4081747531890869,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Homophily-TrainOnly_Cora_clean_GAT_seed0,2026-05-31T21:00:10.377828,clean,0,Cora,,Homophily-TrainOnly,False,-,GAT,0.2,0.0007578628268283261,10556,10548,0,2.0,7.7902512550354,0.9176514032496307,0.8099659085273743,0.8105801939964294,0.818,0.818,0.8081123975138598,20,0.44477367401123047,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Homophily-TrainOnly_Cora_clean_GraphSAGE_seed0,2026-05-31T21:00:10.836717,clean,0,Cora,,Homophily-TrainOnly,False,-,GraphSAGE,0.2,0.0007578628268283261,10556,10548,0,2.0,7.7902512550354,0.9176514032496307,0.8099659085273743,0.8105801939964294,0.754,0.766,0.7553938955379227,88,0.4479563236236572,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
EdgeInfluence_Cora_clean_GCN_seed0,2026-05-31T21:00:13.237890,clean,0,Cora,,EdgeInfluence,False,-,GCN,0.2,0.19988632057597577,10556,8446,243,0.0,6.237813949584961,0.8216395864106352,0.8099659085273743,0.8347146511077881,0.772,0.791,0.7832826670114993,59,1.0837252140045166,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
EdgeInfluence_Cora_clean_GAT_seed0,2026-05-31T21:00:13.651859,clean,0,Cora,,EdgeInfluence,False,-,GAT,0.2,0.19988632057597577,10556,8446,243,0.0,6.237813949584961,0.8216395864106352,0.8099659085273743,0.8347146511077881,0.806,0.809,0.7945807835882034,19,1.030559778213501,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
EdgeInfluence_Cora_clean_GraphSAGE_seed0,2026-05-31T21:00:14.148690,clean,0,Cora,,EdgeInfluence,False,-,GraphSAGE,0.2,0.19988632057597577,10556,8446,243,0.0,6.237813949584961,0.8216395864106352,0.8099659085273743,0.8347146511077881,0.73,0.741,0.7257206369624907,104,1.1034784317016602,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Original_Cora_clean_GCN_seed0,2026-05-31T21:00:45.250685,clean,0,Cora,,Original,False,-,GCN,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.782,0.794,0.7850567752815396,52,0.7604939937591553,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Original_Cora_clean_GAT_seed0,2026-05-31T21:00:45.696662,clean,0,Cora,,Original,False,-,GAT,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.822,0.822,0.8088547196681046,17,0.43870043754577637,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Original_Cora_clean_GraphSAGE_seed0,2026-05-31T21:00:46.195090,clean,0,Cora,,Original,False,-,GraphSAGE,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.752,0.761,0.7511006029323747,106,0.4975011348724365,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Random-Matched_Cora_clean_GCN_seed0,2026-05-31T21:00:46.862668,clean,0,Cora,,Random-Matched,False,-,GCN,0.2,0.19988632057597577,10556,8446,116,0.0,6.237813949584961,0.8471196454948301,0.8099659085273743,0.8100876212120056,0.766,0.766,0.75849395095063,59,1780232446.851775,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Random-Matched_Cora_clean_GAT_seed0,2026-05-31T21:00:47.285666,clean,0,Cora,,Random-Matched,False,-,GAT,0.2,0.19988632057597577,10556,8446,116,0.0,6.237813949584961,0.8471196454948301,0.8099659085273743,0.8100876212120056,0.802,0.796,0.7836615096661834,16,1780232447.275264,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Random-Matched_Cora_clean_GraphSAGE_seed0,2026-05-31T21:00:47.759689,clean,0,Cora,,Random-Matched,False,-,GraphSAGE,0.2,0.19988632057597577,10556,8446,116,0.0,6.237813949584961,0.8471196454948301,0.8099659085273743,0.8100876212120056,0.724,0.738,0.7213188046129982,86,1780232447.7491128,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Homophily-TrainOnly_Cora_clean_GCN_seed0,2026-05-31T21:00:48.293653,clean,0,Cora,,Homophily-TrainOnly,False,-,GCN,0.2,0.0007578628268283261,10556,10548,0,2.0,7.7902512550354,0.9176514032496307,0.8099659085273743,0.8105801939964294,0.788,0.781,0.7717607532924852,47,0.4158031940460205,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Homophily-TrainOnly_Cora_clean_GAT_seed0,2026-05-31T21:00:48.769778,clean,0,Cora,,Homophily-TrainOnly,False,-,GAT,0.2,0.0007578628268283261,10556,10548,0,2.0,7.7902512550354,0.9176514032496307,0.8099659085273743,0.8105801939964294,0.818,0.818,0.8081123975138598,20,0.464763879776001,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Homophily-TrainOnly_Cora_clean_GraphSAGE_seed0,2026-05-31T21:00:49.255676,clean,0,Cora,,Homophily-TrainOnly,False,-,GraphSAGE,0.2,0.0007578628268283261,10556,10548,0,2.0,7.7902512550354,0.9176514032496307,0.8099659085273743,0.8105801939964294,0.754,0.766,0.7553938955379227,88,0.474881649017334,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Original_Cora_noisy_edge_GCN_seed0,2026-05-31T21:00:51.316693,noisy_edge,0,Cora,,Original,False,-,GCN,0.2,0,12666,12666,0,0,0,1.0,0.6750355362892151,0.6750355362892151,0.724,0.728,0.712851854693799,80,0.9455347061157227,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0,0,0,0,
Original_Cora_noisy_edge_GAT_seed0,2026-05-31T21:00:51.990693,noisy_edge,0,Cora,,Original,False,-,GAT,0.2,0,12666,12666,0,0,0,1.0,0.6750355362892151,0.6750355362892151,0.756,0.765,0.7488436307054732,37,0.6632604598999023,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0,0,0,0,
EdgeInfluence_Cora_clean_GCN_seed0,2026-05-31T21:00:52.474688,clean,0,Cora,,EdgeInfluence,False,-,GCN,0.2,0.19988632057597577,10556,8446,248,0.0,6.237813949584961,0.8220088626292467,0.8099659085273743,0.831162691116333,0.772,0.785,0.7800670639860317,51,1.237318515777588,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Original_Cora_noisy_edge_GraphSAGE_seed0,2026-05-31T21:00:53.010678,noisy_edge,0,Cora,,Original,False,-,GraphSAGE,0.2,0,12666,12666,0,0,0,1.0,0.6750355362892151,0.6750355362892151,0.696,0.702,0.6852354790791552,207,1.0089855194091797,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0,0,0,0,
EdgeInfluence_Cora_clean_GAT_seed0,2026-05-31T21:00:53.120675,clean,0,Cora,,EdgeInfluence,False,-,GAT,0.2,0.19988632057597577,10556,8446,248,0.0,6.237813949584961,0.8220088626292467,0.8099659085273743,0.831162691116333,0.802,0.813,0.8006424077162182,30,1.2731380462646484,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
EdgeInfluence_Cora_clean_GraphSAGE_seed0,2026-05-31T21:00:53.678675,clean,0,Cora,,EdgeInfluence,False,-,GraphSAGE,0.2,0.19988632057597577,10556,8446,248,0.0,6.237813949584961,0.8220088626292467,0.8099659085273743,0.831162691116333,0.728,0.734,0.7204291257328431,91,1.1849031448364258,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,
Random-Matched_Cora_noisy_edge_GCN_seed0,2026-05-31T21:00:53.984732,noisy_edge,0,Cora,,Random-Matched,False,-,GCN,0.2,0.19990525817148275,12666,10134,62,0.0,7.484490394592285,0.94903988183161,0.6750355362892151,0.671403169631958,0.692,0.706,0.6860145764525144,73,1780232453.9736183,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.15560821484992102,0.18672985781990523,0.16975441619991383,0.20253884046987494,
Random-Matched_Cora_noisy_edge_GAT_seed0,2026-05-31T21:00:54.423697,noisy_edge,0,Cora,,Random-Matched,False,-,GAT,0.2,0.19990525817148275,12666,10134,62,0.0,7.484490394592285,0.94903988183161,0.6750355362892151,0.671403169631958,0.734,0.732,0.7094499665885455,12,1780232454.4133103,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.15560821484992102,0.18672985781990523,0.16975441619991383,0.20253884046987494,
Random-Matched_Cora_noisy_edge_GraphSAGE_seed0,2026-05-31T21:00:54.919704,noisy_edge,0,Cora,,Random-Matched,False,-,GraphSAGE,0.2,0.19990525817148275,12666,10134,62,0.0,7.484490394592285,0.94903988183161,0.6750355362892151,0.671403169631958,0.65,0.673,0.6541306748476584,103,1780232454.9086883,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.15560821484992102,0.18672985781990523,0.16975441619991383,0.20253884046987494,
Homophily-TrainOnly_Cora_noisy_edge_GCN_seed0,2026-05-31T21:00:55.728834,noisy_edge,0,Cora,,Homophily-TrainOnly,False,-,GCN,0.2,0.001105321332701692,12666,12652,0,2.0,9.344165802001953,0.9819054652880355,0.6750355362892151,0.6757825016975403,0.728,0.725,0.7088981603605554,68,0.49410390853881836,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.42857142857142855,0.002843601895734597,0.005649717514124295,0.0007578628268283441,
Homophily-TrainOnly_Cora_noisy_edge_GAT_seed0,2026-05-31T21:00:56.273665,noisy_edge,0,Cora,,Homophily-TrainOnly,False,-,GAT,0.2,0.001105321332701692,12666,12652,0,2.0,9.344165802001953,0.9819054652880355,0.6750355362892151,0.6757825016975403,0.764,0.77,0.7541676802721946,37,0.5341367721557617,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.42857142857142855,0.002843601895734597,0.005649717514124295,0.0007578628268283441,
Original_CiteSeer_clean_GCN_seed0,2026-05-31T21:00:56.984683,clean,0,CiteSeer,,Original,False,-,GCN,0.2,0,9104,9104,0,0,0,1.0,0.7355008721351624,0.7355008721351624,0.67,0.663,0.6391783934069925,84,1.0945649147033691,configs/graca_lite_citeseer.yaml,,,0,0,0,0,0,0,
