run_id,timestamp,experiment_type,seed,dataset,split_type,method,oracle_only,proxy_model,downstream_model,prune_ratio_target,actual_prune_ratio,num_edges_before,num_edges_after,isolated_nodes,min_degree,mean_degree,largest_connected_component_ratio,edge_homophily_before,edge_homophily_after,val_acc,test_acc,test_f1,best_epoch,runtime,config_path,graph_path,noise_type,noise_ratio,num_injected_edges,bad_edge_precision,bad_edge_recall,bad_edge_f1,clean_edge_mistakenly_removed_ratio,notes
Original_Cora_clean_clean_GCN_seed0,2026-05-31T21:35:55.823669,clean,0,Cora,,Original,False,GCN,GCN,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.782,0.788,0.7775126607218702,50,0.7622747421264648,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=none,oracle_label=False,clean_teacher=False,component=none"
Original_Cora_clean_clean_GAT_seed0,2026-05-31T21:35:56.282681,clean,0,Cora,,Original,False,GCN,GAT,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.822,0.822,0.8088547196681046,17,0.44815850257873535,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=none,oracle_label=False,clean_teacher=False,component=none"
Original_Cora_clean_clean_GraphSAGE_seed0,2026-05-31T21:35:56.806668,clean,0,Cora,,Original,False,GCN,GraphSAGE,0.2,0,10556,10556,0,0,0,1.0,0.8099659085273743,0.8099659085273743,0.752,0.761,0.7511006029323747,106,0.5183734893798828,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=none,oracle_label=False,clean_teacher=False,component=none"
Random-Matched_Cora_clean_clean_GCN_seed0,2026-05-31T21:35:57.364813,clean,0,Cora,,Random-Matched,False,GCN,GCN,0.2,0.19988632057597577,10556,8446,116,0.0,6.237813949584961,0.8471196454948301,0.8099659085273743,0.8100876212120056,0.768,0.767,0.759232352908505,63,0.48025083541870117,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=random,oracle_label=False,clean_teacher=False,component=none"
Random-Matched_Cora_clean_clean_GAT_seed0,2026-05-31T21:35:57.792679,clean,0,Cora,,Random-Matched,False,GCN,GAT,0.2,0.19988632057597577,10556,8446,116,0.0,6.237813949584961,0.8471196454948301,0.8099659085273743,0.8100876212120056,0.802,0.796,0.7836615096661834,16,0.41722726821899414,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=random,oracle_label=False,clean_teacher=False,component=none"
Random-Matched_Cora_clean_clean_GraphSAGE_seed0,2026-05-31T21:35:58.228690,clean,0,Cora,,Random-Matched,False,GCN,GraphSAGE,0.2,0.19988632057597577,10556,8446,116,0.0,6.237813949584961,0.8471196454948301,0.8099659085273743,0.8100876212120056,0.724,0.741,0.72457726189761,76,0.42539477348327637,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=random,oracle_label=False,clean_teacher=False,component=none"
Feature-only_Cora_clean_clean_GCN_seed0,2026-05-31T21:35:59.286870,clean,0,Cora,,Feature-only,False,GCN,GCN,0.2,0.19988632057597577,10556,8446,134,0.0,6.237813949584961,0.8378877400295421,0.8099659085273743,0.8250059485435486,0.726,0.734,0.7285709206192436,132,0.6671867370605469,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=feature_only,oracle_label=False,clean_teacher=False,component=feature_cosine"
Feature-only_Cora_clean_clean_GAT_seed0,2026-05-31T21:35:59.697043,clean,0,Cora,,Feature-only,False,GCN,GAT,0.2,0.19988632057597577,10556,8446,134,0.0,6.237813949584961,0.8378877400295421,0.8099659085273743,0.8250059485435486,0.768,0.782,0.7714068576717196,14,0.4095573425292969,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=feature_only,oracle_label=False,clean_teacher=False,component=feature_cosine"
Feature-only_Cora_clean_clean_GraphSAGE_seed0,2026-05-31T21:36:00.100675,clean,0,Cora,,Feature-only,False,GCN,GraphSAGE,0.2,0.19988632057597577,10556,8446,134,0.0,6.237813949584961,0.8378877400295421,0.8099659085273743,0.8250059485435486,0.714,0.729,0.7224723106652595,58,0.3908109664916992,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=feature_only,oracle_label=False,clean_teacher=False,component=feature_cosine"
EdgeInfluence-Pseudo_Cora_clean_clean_GCN_seed0,2026-05-31T21:36:02.667803,clean,0,Cora,,EdgeInfluence-Pseudo,False,GCN,GCN,0.2,0.19988632057597577,10556,8446,276,0.0,6.237813949584961,0.8149926144756278,0.8099659085273743,0.8278474807739258,0.754,0.76,0.7497403811971248,63,1.0663199424743652,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=combined_pseudo_label,oracle_label=False,clean_teacher=False,component=delta_softmax_pseudo+feature_cosine"
EdgeInfluence-Pseudo_Cora_clean_clean_GAT_seed0,2026-05-31T21:36:03.081688,clean,0,Cora,,EdgeInfluence-Pseudo,False,GCN,GAT,0.2,0.19988632057597577,10556,8446,276,0.0,6.237813949584961,0.8149926144756278,0.8099659085273743,0.8278474807739258,0.778,0.788,0.7710347613368416,13,0.9949676990509033,configs/graca_lite_cora.yaml,,,0,0,0,0,0,0,"score_type=combined_pseudo_label,oracle_label=False,clean_teacher=False,component=delta_softmax_pseudo+feature_cosine"
