edge_idx,D,M,rho,H,R,P,P_avg,is_bad
0,-0.92537695,0.9606588,0.05,0.0,0.044448573,0.044448573,0.043468356,0
1,-0.92537695,1.8488445,0.05,0.0,0.0855439,0.0855439,0.06177322,0
2,0.9999999,1.8163466,0.05,0.09081732,0.0,-0.09081732,-0.0769179,0
3,1.0,1.4208574,1.0,1.4208574,0.0,-1.4208574,-1.3104751,0
4,0.9965455,3.0,0.05,0.14948182,0.0,-0.14948182,-0.09331517,0
5,0.9965455,1.0,0.05,0.049827274,0.0,-0.049827274,-0.051181607,0
6,1.0,1.2000929,1.0,1.2000929,0.0,-1.2000929,-1.3104751,0
7,0.9963912,2.0795658,0.05,0.10360305,0.0,-0.10360305,-0.066143915,0
8,0.9963913,1.0,0.05,0.049819566,0.0,-0.049819566,-0.049751528,0
9,0.96595603,1.4695096,0.05,0.07097409,0.0,-0.07097409,-0.0727465,0
10,-0.0718069,2.3326201,0.05,0.0,0.008374912,0.008374912,0.0050189733,0
11,0.9999999,1.0,0.05,0.049999993,0.0,-0.049999993,-0.049999993,0
12,1.0,1.8659215,0.05,0.09329607,0.0,-0.09329607,-0.071576,0
13,1.0,1.5564847,0.05,0.077824235,0.0,-0.077824235,-0.05926571,0
14,0.89474,1.4858842,0.05,0.066474,0.0,-0.066474,-0.057640944,0
15,1.0,1.294848,0.05,0.0647424,0.0,-0.0647424,-0.05729916,0
16,1.0,1.9315581,0.05,0.096577905,0.0,-0.096577905,-0.066699475,0
17,1.0000001,1.1949068,0.05,0.059745353,0.0,-0.059745353,-0.055784542,0
18,1.0000001,1.5,0.05,0.07500001,0.0,-0.07500001,-0.06341187,0
19,1.0,2.4608977,0.05,0.123044886,0.0,-0.123044886,-0.084698714,0
20,1.0,1.7155142,0.05,0.08577571,0.0,-0.08577571,-0.06606744,0
21,0.9996767,3.0993927,0.05,0.15491953,0.0,-0.15491953,-0.092978105,0
22,0.9682406,2.8816476,0.05,0.13950641,0.0,-0.13950641,-0.093796864,0
23,0.9997175,2.2008986,0.05,0.11001384,0.0,-0.11001384,-0.09146136,0
24,1.0,1.0,0.05,0.05,0.0,-0.05,-0.05,0
25,0.99999994,5.0,0.05,0.24999999,0.0,-0.24999999,-0.15141597,0
26,0.60687864,6.332023,0.05,0.1921385,0.0,-0.1921385,-0.109522566,0
27,0.99999994,3.5994074,0.05,0.17997035,0.0,-0.17997035,-0.11640115,0
28,0.99999994,1.7573593,0.05,0.08786796,0.0,-0.08786796,-0.07145949,0
29,0.99999994,2.4367785,0.05,0.12183892,0.0,-0.12183892,-0.08339395,0
30,0.631462,2.9008315,0.05,0.09158824,0.0,-0.09158824,-0.06599267,0
31,1.0,1.228367,0.05,0.06141835,0.0,-0.06141835,-0.048722215,0
32,0.99999994,3.3778753,0.05,0.16889375,0.0,-0.16889375,-0.10474032,0
33,1.0,4.1458983,0.05,0.20729493,0.0,-0.20729493,-0.13335402,0
34,1.0000001,0.9442719,0.05,0.047213603,0.0,-0.047213603,-0.05107464,0
35,1.0,1.1733549,0.05,0.058667745,0.0,-0.058667745,-0.050610367,0
36,1.0000001,1.0,0.05,0.05000001,0.0,-0.05000001,-0.052467845,0
37,1.0000001,0.9115786,0.05,0.045578938,0.0,-0.045578938,-0.046577316,0
38,-0.7317624,1.3155669,0.39785817,0.0,0.38301107,0.38301107,0.30442777,0
39,-0.74970126,1.1841377,0.2595109,0.0,0.23038068,0.23038068,0.2342846,0
40,-0.8940027,1.6737387,0.05,0.0,0.074816346,0.074816346,0.05784349,0
41,-0.062586404,1.8846474,0.05,0.0,0.005897665,0.005897665,0.004458376,0
42,1.0,0.96063447,0.05,0.048031725,0.0,-0.048031725,-0.040996253,0
43,1.0,3.3030617,0.05,0.16515309,0.0,-0.16515309,-0.1018305,0
44,0.99956757,1.3560896,0.05,0.06777516,0.0,-0.06777516,-0.07565756,0
