edge_idx,D,M,rho,H,R,P,P_avg,is_bad
0,0.21813829,1.5250255,0.05,0.016633324,0.0,-0.016633324,-0.010845639,0
1,0.21813828,2.5652604,0.05,0.027979076,0.0,-0.027979076,-0.016251523,0
2,-0.21820466,2.3604338,0.05,0.0,0.025752883,0.025752883,0.017036676,0
3,0.39395466,1.3510207,1.0,0.5322409,0.0,-0.5322409,-0.4059577,0
4,0.3073435,2.0,0.05,0.03073435,0.0,-0.03073435,-0.021606077,0
5,0.30734354,1.0,0.05,0.015367177,0.0,-0.015367177,-0.01532465,0
6,0.39395466,0.70991546,1.0,0.2796745,0.0,-0.2796745,-0.4059577,0
7,0.03305128,3.445564,0.05,0.005694015,0.0,-0.005694015,-0.0032313126,0
8,0.033051252,1.0,0.05,0.0016525626,0.0,-0.0016525626,-0.0014919166,0
9,-0.12701148,1.4704434,0.05,0.0,0.009338159,0.009338159,0.008136114,0
10,-0.34390855,2.2348838,0.05,0.0,0.03842978,0.03842978,0.021369576,0
11,-0.39064217,1.0,0.05,0.0,0.019532109,0.019532109,0.018703062,0
12,0.16904491,1.9605947,0.05,0.016571429,0.0,-0.016571429,-0.011517841,0
13,0.16904491,1.671967,0.05,0.014131877,0.0,-0.014131877,-0.009704959,0
14,0.1981104,1.5598128,0.05,0.015450757,0.0,-0.015450757,-0.012158325,0
15,0.16904491,1.3656539,0.05,0.011542843,0.0,-0.011542843,-0.009003548,0
16,0.16904491,2.1775937,0.05,0.018405559,0.0,-0.018405559,-0.0118418,0
17,-0.36512905,2.1461837,0.05,0.0,0.039181706,0.039181706,0.023836713,0
18,-0.36512902,1.6696173,0.05,0.0,0.030481288,0.030481288,0.020143341,0
19,-0.36512902,3.420737,0.05,0.0,0.06245052,0.06245052,0.035022873,0
20,-0.26177728,2.0536964,0.05,0.0,0.026880553,0.026880553,0.017793797,0
21,-0.24048567,4.039015,0.05,0.0,0.04856626,0.04856626,0.027047612,0
22,-0.2499575,3.0797715,0.05,0.0,0.0384906,0.0384906,0.024003895,0
23,-0.24927132,2.8327854,0.05,0.0,0.035306606,0.035306606,0.024410086,0
24,0.26733685,1.0,0.05,0.013366843,0.0,-0.013366843,-0.014389973,0
25,-0.2850168,5.0,0.05,0.0,0.0712542,0.0712542,0.03931698,0
26,-0.4383733,3.9319417,0.05,0.0,0.086182915,0.086182915,0.04808388,0
27,-0.2850168,4.1695104,0.05,0.0,0.059419025,0.059419025,0.033399392,0
28,-0.4906403,1.5993707,0.05,0.0,0.03923579,0.03923579,0.027992925,0
29,-0.49064025,3.5627027,0.05,0.0,0.087400265,0.087400265,0.04962217,0
30,-0.14321128,2.941217,0.05,0.0,0.021060772,0.021060772,0.015607731,0
31,0.012185203,1.0,0.05,0.00060926017,0.0,-0.00060926017,-0.0005912822,0
32,-0.07342365,3.1994882,0.05,0.0,0.011745905,0.011745905,0.00681486,0
33,-0.07342363,4.007502,0.05,0.0,0.014712268,0.014712268,0.008639737,0
34,-0.3983369,1.4289162,0.05,0.0,0.028459504,0.028459504,0.018941212,0
35,-0.39833683,1.6119047,0.05,0.0,0.032104053,0.032104053,0.02013227,0
36,-0.3983369,1.4289162,0.05,0.0,0.028459504,0.028459504,0.018941212,0
37,-0.39833683,1.6119047,0.05,0.0,0.032104053,0.032104053,0.02013227,0
38,-0.6166093,1.457665,0.42541906,0.0,0.38237077,0.38237077,0.2045815,0
39,-0.563372,1.3447973,0.2813398,0.0,0.21314898,0.21314898,0.11760119,0
40,0.53902125,2.0530674,0.05,0.05533235,0.0,-0.05533235,-0.035442848,0
41,-0.38103038,2.5415754,0.05,0.0,0.048420876,0.048420876,0.030312605,0
42,-0.501655,1.2088484,0.05,0.0,0.030321242,0.030321242,0.020828668,0
43,-0.501655,3.8016026,0.05,0.0,0.09535465,0.09535465,0.054104283,0
44,-0.52875984,1.0995013,0.05,0.0,0.029068606,0.029068606,0.029430792,0
45,-0.123013794,2.2565632,0.05,0.0,0.01387942,0.01387942,0.008786365,0
46,-0.123013794,1.9653244,0.05,0.0,0.012088101,0.012088101,0.008018208,0
47,-0.123013794,1.6711345,0.05,0.0,0.01027863,0.01027863,0.0072716484,0
48,-0.12301381,4.2501774,0.05,0.0,0.026141524,0.026141524,0.0144193685,0
49,-0.24715412,2.5953069,0.05,0.0,0.03207204,0.03207204,0.016709222,0
50,-0.49102536,2.033939,0.05,0.0,0.04993578,0.04993578,0.030549627,0
51,-0.4910254,3.8628833,0.05,0.0,0.094838694,0.094838694,0.05163874,0
52,-0.49102536,2.7119184,0.05,0.0,0.06658103,0.06658103,0.03828297,0
53,0.0078735575,1.5745646,1.0,0.012397424,0.0,-0.012397424,-0.01207847,0
54,0.07917623,1.7059494,0.05,0.006753532,0.0,-0.006753532,-0.004874539,0
55,0.079176225,1.4381785,0.05,0.0056934776,0.0,-0.0056934776,-0.0045762183,0
56,0.07917621,2.181018,0.05,0.008634238,0.0,-0.008634238,-0.0056567676,0
57,0.07917622,2.2982767,0.05,0.009098443,0.0,-0.009098443,-0.0057721483,0
58,-0.5194755,1.1661459,1.0,0.0,0.60578424,0.60578424,0.69234395,0
59,-0.25005582,2.5607185,0.05,0.0,0.03201613,0.03201613,0.024179298,0
60,0.10821552,2.824798,0.05,0.01528435,0.0,-0.01528435,-0.00880393,0
61,0.1232527,1.0603573,0.05,0.006534595,0.0,-0.006534595,-0.006174586,0
62,0.1082155,1.6514981,0.05,0.008935885,0.0,-0.008935885,-0.0055070473,0
63,-0.055609137,2.0,0.05,0.0,0.0055609136,0.0055609136,0.0040227748,0
64,-0.02654101,1.4555018,0.05,0.0,0.0019315244,0.0019315244,0.0013945288,0
65,-0.1644536,2.412381,0.05,0.0,0.019836236,0.019836236,0.01150449,0
66,-0.116420224,2.002709,0.05,0.0,0.011657791,0.011657791,0.008327572,0
67,-0.1644536,1.0,0.05,0.0,0.00822268,0.00822268,0.0072840834,0
68,-0.1644536,2.0921185,0.05,0.0,0.01720282,0.01720282,0.01060803,0
69,-0.40353736,2.0,0.05,0.0,0.040353738,0.040353738,0.028404608,0
70,-0.40353736,1.3026421,0.05,0.0,0.026283238,0.026283238,0.02136936,0
71,0.16721359,1.1706121,1.0,0.19574225,0.0,-0.19574225,-0.15680695,0
72,0.14819518,2.0950413,0.05,0.01552375,0.0,-0.01552375,-0.010445819,0
73,0.14819518,4.0473223,0.05,0.029989682,0.0,-0.029989682,-0.016804356,0
74,0.14819519,5.371235,0.05,0.03979956,0.0,-0.03979956,-0.021314343,0
75,0.1481952,4.9829364,0.05,0.036922365,0.0,-0.036922365,-0.02019366,0
76,0.22901757,2.0997243,0.05,0.024043687,0.0,-0.024043687,-0.016759956,0
77,0.0078735575,1.4935452,1.0,0.011759514,0.0,-0.011759514,-0.01207847,0
78,0.4704728,4.3785024,0.05,0.102998324,0.0,-0.102998324,-0.05782726,0
79,-0.5308613,2.0400748,0.05,0.0,0.05414984,0.05414984,0.032317806,0
80,0.47047272,2.332918,0.05,0.05487871,0.0,-0.05487871,-0.034746412,0
81,-0.60745025,0.9443105,0.42541906,0.0,0.24402958,0.24402958,0.13554212,0
82,-0.55136645,1.7739869,0.05,0.0,0.048905846,0.048905846,0.031865664,0
83,-0.55136645,2.1725616,0.05,0.0,0.059893884,0.059893884,0.037359685,0
84,-0.26713246,1.4223762,0.05,0.0,0.018998142,0.018998142,0.013540866,0
