edge_idx,D,M,rho,H,R,P,P_avg,is_bad
0,-0.921049,0.930833,0.05,0.0,0.042867143,0.042867143,0.043602332,0
1,-0.9210489,1.8480572,0.05,0.0,0.08510755,0.08510755,0.062382113,0
2,1.0,1.731931,0.05,0.08659655,0.0,-0.08659655,-0.072701246,0
3,0.9999999,1.6259553,1.0,1.6259551,0.0,-1.6259551,-1.4092114,0
4,0.9974443,3.0,0.05,0.14961664,0.0,-0.14961664,-0.09572669,0
5,0.9974443,2.0,0.05,0.09974443,0.0,-0.09974443,-0.07402667,0
6,0.9999999,1.1924679,1.0,1.1924678,0.0,-1.1924678,-1.4092114,0
7,0.99541473,3.568203,0.05,0.1775921,0.0,-0.1775921,-0.10297063,0
8,0.9954146,1.0,0.05,0.04977073,0.0,-0.04977073,-0.049436457,0
9,0.97154605,1.9813622,0.05,0.09624924,0.0,-0.09624924,-0.08256303,0
10,-0.005452688,2.8875647,0.05,0.0,0.0007872495,0.0007872495,0.00044815187,0
11,1.0,1.0,0.05,0.05,0.0,-0.05,-0.052525513,0
12,1.0000001,2.2070367,0.05,0.11035185,0.0,-0.11035185,-0.07809223,0
13,1.0000001,1.7369909,0.05,0.08684956,0.0,-0.08684956,-0.06259794,0
14,0.90770066,1.3075929,0.05,0.059345145,0.0,-0.059345145,-0.055036105,0
15,1.0000001,1.2697088,0.05,0.06348545,0.0,-0.06348545,-0.05649516,0
16,1.0000001,2.0424922,0.05,0.102124624,0.0,-0.102124624,-0.07127259,0
17,1.0000001,1.0851912,0.05,0.054259572,0.0,-0.054259572,-0.05065473,0
18,1.0,1.0,0.05,0.05,0.0,-0.05,-0.052164264,0
19,0.5611576,1.3095002,0.05,0.036741797,0.0,-0.036741797,-0.03201308,0
20,1.0,1.7366087,0.05,0.08683044,0.0,-0.08683044,-0.06720001,0
21,0.9996437,3.1767805,0.05,0.15878244,0.0,-0.15878244,-0.09486247,0
22,0.9818132,3.06091,0.05,0.15026209,0.0,-0.15026209,-0.09992781,0
23,0.99973845,2.2104096,0.05,0.11049158,0.0,-0.11049158,-0.09071885,0
24,1.0,1.0,0.05,0.05,0.0,-0.05,-0.053169105,0
25,1.0,5.0,0.05,0.25,0.0,-0.25,-0.152229,0
26,0.6161109,3.0231183,0.05,0.09312881,0.0,-0.09312881,-0.060465,0
27,1.0,4.470747,0.05,0.22353736,0.0,-0.22353736,-0.13697784,0
28,1.0000001,1.2087121,0.05,0.060435615,0.0,-0.060435615,-0.060435615,0
29,1.0000001,1.8194927,0.05,0.09097465,0.0,-0.09097465,-0.06526952,0
30,0.59543955,2.8476398,0.05,0.084779866,0.0,-0.084779866,-0.065892905,0
31,1.0,2.0,0.05,0.1,0.0,-0.1,-0.07147178,0
32,1.0,3.8082492,0.05,0.19041246,0.0,-0.19041246,-0.11791441,0
33,1.0,5.4040017,0.05,0.2702001,0.0,-0.2702001,-0.16239189,0
34,1.0000001,1.5577778,0.05,0.0778889,0.0,-0.0778889,-0.06664923,0
35,1.0000001,0.9522101,0.05,0.047610514,0.0,-0.047610514,-0.051510036,0
36,1.0000001,0.77227944,0.05,0.03861398,0.0,-0.03861398,-0.047011767,0
37,1.0000001,1.1841153,0.05,0.059205774,0.0,-0.059205774,-0.05054573,0
38,-0.68896925,1.0320367,0.3702935,0.0,0.26329407,0.26329407,0.16354269,0
39,-0.785143,1.0524821,0.24622597,0.0,0.20346858,0.20346858,0.1451827,0
40,-0.8591515,1.7278507,0.05,0.0,0.07422427,0.07422427,0.05726058,0
41,-0.044429027,2.0725338,0.05,0.0,0.004604033,0.004604033,0.003361057,0
42,1.0,0.9480729,0.05,0.047403645,0.0,-0.047403645,-0.04141721,0
43,1.0,2.9843025,0.05,0.14921513,0.0,-0.14921513,-0.09232296,0
44,0.999624,1.4213294,0.05,0.07103975,0.0,-0.07103975,-0.077784956,0
45,0.99999994,2.098714,0.05,0.1049357,0.0,-0.1049357,-0.07775842,0
46,1.0,1.8288275,0.05,0.09144138,0.0,-0.09144138,-0.07275745,0
47,1.0,1.5561422,0.05,0.07780711,0.0,-0.07780711,-0.0681066,0
48,1.0000001,3.9452238,0.05,0.19726123,0.0,-0.19726123,-0.11710024,0
49,0.72396755,1.2591628,0.05,0.04557965,0.0,-0.04557965,-0.029092537,0
50,0.9999999,1.7776897,0.05,0.08888447,0.0,-0.08888447,-0.076075085,0
51,0.9999999,2.2626116,0.05,0.11313057,0.0,-0.11313057,-0.08329992,0
52,0.9999999,1.7776897,0.05,0.08888447,0.0,-0.08888447,-0.076075085,0
53,-0.58408487,1.8398774,1.0,0.0,1.0746446,1.0746446,0.6912031,0
54,0.9999598,1.912459,0.05,0.09561911,0.0,-0.09561911,-0.07703857,0
55,0.9999598,1.3330265,0.05,0.06664865,0.0,-0.06664865,-0.062553346,0
