run_id,timestamp,experiment_type,seed,dataset,split_type,method,oracle_only,proxy_model,downstream_model,prune_ratio_target,actual_prune_ratio,num_edges_before,num_edges_after,isolated_nodes,min_degree,mean_degree,largest_connected_component_ratio,edge_homophily_before,edge_homophily_after,val_acc,test_acc,test_f1,best_epoch,runtime,config_path,graph_path,noise_type,noise_ratio,num_injected_edges,bad_edge_precision,bad_edge_recall,bad_edge_f1,clean_edge_mistakenly_removed_ratio,notes
Original+Noise_Cora_noisy_edge_cross_class_oracle_GCN_seed0,2026-06-01T09:44:35.202674,noisy_edge,0,Cora,,Original+Noise,False,GCN,GCN,0.2,0,12666,12666,0,0,0,1.0,0.6750355362892151,0.6750355362892151,0.724,0.727,0.7112334250449991,78,0.8505680561065674,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0,0,0,0,"score_type=none,oracle_label=False,clean_teacher=False,component=none"
Original+Noise_Cora_noisy_edge_cross_class_oracle_GAT_seed0,2026-06-01T09:44:35.761683,noisy_edge,0,Cora,,Original+Noise,False,GCN,GAT,0.2,0,12666,12666,0,0,0,1.0,0.6750355362892151,0.6750355362892151,0.756,0.765,0.7488436307054732,37,0.5475583076477051,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0,0,0,0,"score_type=none,oracle_label=False,clean_teacher=False,component=none"
Original+Noise_Cora_noisy_edge_cross_class_oracle_GraphSAGE_seed0,2026-06-01T09:44:36.540886,noisy_edge,0,Cora,,Original+Noise,False,GCN,GraphSAGE,0.2,0,12666,12666,0,0,0,1.0,0.6750355362892151,0.6750355362892151,0.698,0.706,0.6905851092403598,210,0.7678284645080566,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0,0,0,0,"score_type=none,oracle_label=False,clean_teacher=False,component=none"
Random-Matched_Cora_noisy_edge_cross_class_oracle_GCN_seed0,2026-06-01T09:44:37.314761,noisy_edge,0,Cora,,Random-Matched,False,GCN,GCN,0.2,0.19990525817148275,12666,10134,62,0.0,7.484490394592285,0.94903988183161,0.6750355362892151,0.671403169631958,0.692,0.707,0.6874195980843021,72,0.5075304508209229,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.15560821484992102,0.18672985781990523,0.16975441619991383,0.20253884046987494,"score_type=random,oracle_label=False,clean_teacher=False,component=none"
Random-Matched_Cora_noisy_edge_cross_class_oracle_GAT_seed0,2026-06-01T09:44:37.746681,noisy_edge,0,Cora,,Random-Matched,False,GCN,GAT,0.2,0.19990525817148275,12666,10134,62,0.0,7.484490394592285,0.94903988183161,0.6750355362892151,0.671403169631958,0.734,0.732,0.7094499665885455,12,0.42238903045654297,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.15560821484992102,0.18672985781990523,0.16975441619991383,0.20253884046987494,"score_type=random,oracle_label=False,clean_teacher=False,component=none"
Random-Matched_Cora_noisy_edge_cross_class_oracle_GraphSAGE_seed0,2026-06-01T09:44:38.264694,noisy_edge,0,Cora,,Random-Matched,False,GCN,GraphSAGE,0.2,0.19990525817148275,12666,10134,62,0.0,7.484490394592285,0.94903988183161,0.6750355362892151,0.671403169631958,0.65,0.673,0.6540267136491991,103,0.5109765529632568,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.15560821484992102,0.18672985781990523,0.16975441619991383,0.20253884046987494,"score_type=random,oracle_label=False,clean_teacher=False,component=none"
Feature-only_Cora_noisy_edge_cross_class_oracle_GCN_seed0,2026-06-01T09:44:39.389665,noisy_edge,0,Cora,,Feature-only,False,GCN,GCN,0.2,0.19990525817148275,12666,10134,82,0.0,7.484490394592285,0.9265140324963073,0.6750355362892151,0.7313992381095886,0.718,0.714,0.7038803230227971,68,0.4956328868865967,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.4020537124802528,0.4824644549763033,0.43860404997845753,0.14342553997726412,"score_type=feature_only,oracle_label=False,clean_teacher=False,component=feature_cosine"
Feature-only_Cora_noisy_edge_cross_class_oracle_GAT_seed0,2026-06-01T09:44:39.808676,noisy_edge,0,Cora,,Feature-only,False,GCN,GAT,0.2,0.19990525817148275,12666,10134,82,0.0,7.484490394592285,0.9265140324963073,0.6750355362892151,0.7313992381095886,0.748,0.756,0.7363818435651366,14,0.4077749252319336,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.4020537124802528,0.4824644549763033,0.43860404997845753,0.14342553997726412,"score_type=feature_only,oracle_label=False,clean_teacher=False,component=feature_cosine"
Feature-only_Cora_noisy_edge_cross_class_oracle_GraphSAGE_seed0,2026-06-01T09:44:40.268657,noisy_edge,0,Cora,,Feature-only,False,GCN,GraphSAGE,0.2,0.19990525817148275,12666,10134,82,0.0,7.484490394592285,0.9265140324963073,0.6750355362892151,0.7313992381095886,0.688,0.694,0.6799688479789939,88,0.4487490653991699,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.4020537124802528,0.4824644549763033,0.43860404997845753,0.14342553997726412,"score_type=feature_only,oracle_label=False,clean_teacher=False,component=feature_cosine"
EdgeInfluence-Pseudo_Cora_noisy_edge_cross_class_oracle_GCN_seed0,2026-06-01T09:44:43.358670,noisy_edge,0,Cora,,EdgeInfluence-Pseudo,False,GCN,GCN,0.2,0.19990525817148275,12666,10134,119,0.0,7.484490394592285,0.922082717872969,0.6750355362892151,0.7369251847267151,0.738,0.711,0.6920135298895291,67,1.0619549751281738,configs/graca_lite_cora.yaml,,cross_class_oracle,0.2,1055,0.3902053712480253,0.46824644549763034,0.4256785868160276,0.1462675255778704,"score_type=combined_pseudo_label,oracle_label=False,clean_teacher=False,component=delta_softmax_pseudo+feature_cosine"
