run_id,timestamp,experiment_type,seed,dataset,split_type,method,oracle_only,proxy_model,downstream_model,prune_ratio_target,actual_prune_ratio,num_edges_before,num_edges_after,isolated_nodes,min_degree,mean_degree,largest_connected_component_ratio,edge_homophily_before,edge_homophily_after,val_acc,test_acc,test_f1,best_epoch,runtime,config_path,graph_path,noise_type,noise_ratio,num_injected_edges,bad_edge_precision,bad_edge_recall,bad_edge_f1,clean_edge_mistakenly_removed_ratio,notes
Original+Noise_Cora_low_feature_similarity_0.1_GCN_seed0,2026-05-30T21:47:39.254025,noisy_edge,0,Cora,,Original+Noise,False,-,GCN,0,0,11610,11610,0,0,0,1.0,0.7505598664283752,0.7505598664283752,0.772,0.784,0.7738877494058948,54,0.7572660446166992,configs/graca_lite_cora.yaml,,low_feature_similarity,0.1,527,0.0,0.0,0.0,0.0,
Original+Noise_Cora_low_feature_similarity_0.1_GAT_seed0,2026-05-30T21:47:40.130402,noisy_edge,0,Cora,,Original+Noise,False,-,GAT,0,0,11610,11610,0,0,0,1.0,0.7505598664283752,0.7505598664283752,0.794,0.79,0.7786648961511836,97,0.7258777618408203,configs/graca_lite_cora.yaml,,low_feature_similarity,0.1,527,0.0,0.0,0.0,0.0,
Original+Noise_Cora_low_feature_similarity_0.1_GraphSAGE_seed0,2026-05-30T21:47:40.747569,noisy_edge,0,Cora,,Original+Noise,False,-,GraphSAGE,0,0,11610,11610,0,0,0,1.0,0.7505598664283752,0.7505598664283752,0.724,0.753,0.7427029660443004,85,0.46253347396850586,configs/graca_lite_cora.yaml,,low_feature_similarity,0.1,527,0.0,0.0,0.0,0.0,
GraCA-lite_Cora_low_feature_similarity_0.1_GCN_seed0,2026-05-30T21:47:42.942106,noisy_edge,0,Cora,,GraCA-lite,False,-,GCN,0.2,0.1012919896640827,11610,10434,0,2.0,7.706056118011475,0.9711964549483013,0.7505598664283752,0.752731442451477,0.766,0.761,0.7518873975313259,97,0.5356783866882324,configs/graca_lite_cora.yaml,,low_feature_similarity,0.1,527,0.06802721088435375,0.07590132827324478,0.07174887892376682,0.10382720727548314,
GraCA-lite_Cora_low_feature_similarity_0.1_GAT_seed0,2026-05-30T21:47:43.767837,noisy_edge,0,Cora,,GraCA-lite,False,-,GAT,0.2,0.1012919896640827,11610,10434,0,2.0,7.706056118011475,0.9711964549483013,0.7505598664283752,0.752731442451477,0.79,0.785,0.772153219020176,81,0.6719028949737549,configs/graca_lite_cora.yaml,,low_feature_similarity,0.1,527,0.06802721088435375,0.07590132827324478,0.07174887892376682,0.10382720727548314,
GraCA-lite_Cora_low_feature_similarity_0.1_GraphSAGE_seed0,2026-05-30T21:47:44.312835,noisy_edge,0,Cora,,GraCA-lite,False,-,GraphSAGE,0.2,0.1012919896640827,11610,10434,0,2.0,7.706056118011475,0.9711964549483013,0.7505598664283752,0.752731442451477,0.722,0.731,0.7232476416696415,59,0.3910965919494629,configs/graca_lite_cora.yaml,,low_feature_similarity,0.1,527,0.06802721088435375,0.07590132827324478,0.07174887892376682,0.10382720727548314,
Random-Matched_Cora_low_feature_similarity_0.1_GCN_seed0,2026-05-30T21:47:45.008639,noisy_edge,0,Cora,,Random-Matched,False,-,GCN,0.2,0.19999999999999996,11610,9288,87,0.0,6.85967493057251,0.9353766617429837,0.7505598664283752,0.7502153515815735,0.742,0.752,0.7433893943764984,61,0.5406355857849121,configs/graca_lite_cora.yaml,,low_feature_similarity,0.1,527,0.09302325581395349,0.2049335863377609,0.1279620853080569,0.19950738916256158,
Random-Matched_Cora_low_feature_similarity_0.1_GAT_seed0,2026-05-30T21:47:46.352708,noisy_edge,0,Cora,,Random-Matched,False,-,GAT,0.2,0.19999999999999996,11610,9288,87,0.0,6.85967493057251,0.9353766617429837,0.7505598664283752,0.7502153515815735,0.776,0.784,0.7749320744470249,191,1.173950433731079,configs/graca_lite_cora.yaml,,low_feature_similarity,0.1,527,0.09302325581395349,0.2049335863377609,0.1279620853080569,0.19950738916256158,
Random-Matched_Cora_low_feature_similarity_0.1_GraphSAGE_seed0,2026-05-30T21:47:47.012804,noisy_edge,0,Cora,,Random-Matched,False,-,GraphSAGE,0.2,0.19999999999999996,11610,9288,87,0.0,6.85967493057251,0.9353766617429837,0.7505598664283752,0.7502153515815735,0.68,0.698,0.6885031527762104,64,0.4883542060852051,configs/graca_lite_cora.yaml,,low_feature_similarity,0.1,527,0.09302325581395349,0.2049335863377609,0.1279620853080569,0.19950738916256158,
Homophily-TrainOnly_Cora_low_feature_similarity_0.1_GCN_seed0,2026-05-30T21:47:47.736601,noisy_edge,0,Cora,,Homophily-TrainOnly,False,-,GCN,0.2,0.001033591731266159,11610,11598,0,2.0,8.565731048583984,0.9759970457902511,0.7505598664283752,0.7513364553451538,0.778,0.782,0.7716436414834487,58,0.5686824321746826,configs/graca_lite_cora.yaml,,low_feature_similarity,0.1,527,0.3333333333333333,0.003795066413662239,0.007504690431519701,0.0007578628268283441,
